miliseconds,T,L,N,C,I,M
0,10019724.12675423,2000.599087626809,503499.05411673675,41699973878.713394,2012.6752384032818,0.0
100,9843575.165155308,2026.3717577633938,456578.92067361117,41699954171.6503,849.4838536732791,0.0
200,9697717.051828284,2011.8113244252913,414734.41010562045,41699908389.27071,397.25299303764024,0.0
300,9608436.60919052,1998.1522597587896,371047.8162180059,41699893512.20296,236.51650275140864,0.0
400,9495102.464171225,1989.0934139770213,340074.6613986616,41699850256.37364,166.7567069048343,0.0
500,9385634.30608855,1980.7208784152701,314363.74471987155,41699812498.225006,148.9528962802968,0.0
600,9296982.377119018,1970.5305862258688,281493.7888043041,41699780823.029724,129.24788561937433,0.0
700,9230266.677822385,1963.0099558203713,257632.40875188354,41699739429.605865,119.56774242037031,0.0
800,9152541.517452192,1954.975981891193,238698.84073497175,41699690185.507065,118.64620380452567,0.0
900,9094557.84985976,1944.82946488322,212320.2439240309,41699661910.12442,113.86665069749169,0.0
1000,9009180.420199383,1938.1843553424555,199781.37672735774,41699601615.40993,116.13514798108257,0.0
1100,8973971.288305128,1934.3652101473842,182799.32934191206,41699540120.288925,128.34482917081837,0.0
1200,8923435.799904011,1927.1278967467615,174340.98856983165,41699518491.7764,109.24349328120579,0.0
1300,8885526.64564221,1925.4000416379647,151269.60779249866,41699502175.25652,111.02118986697593,0.0
1400,8852511.55418425,1921.0243191885984,143154.5857279674,41699422675.02017,127.63956607321833,0.0
1500,8788558.324052535,1914.5681649794672,130810.36590571882,41699420927.588356,123.9966783725398,0.0
1600,8762405.185589606,1910.1071270839477,124314.33112773277,41699390469.3608,125.84575436181697,0.0
1700,8744550.044606918,1908.711401750875,109655.1665437307,41699323976.19379,111.8512984272619,0.0
1800,8708770.421474747,1906.0160699183923,108226.75300573873,41699313865.49145,109.56114822563579,0.0
1900,8669730.246924529,1903.1095766819617,91049.44524709247,41699238499.234146,130.07470834911769,0.0
2000,8664710.46504778,1901.5315771567607,86785.54486439614,41699192369.461815,126.06609693178044,0.0
2100,8637629.144730382,1895.4783232410525,84748.06204458598,41699147137.03922,123.25359631860927,0.0
2200,8625644.444915466,1894.5263963132159,72584.13622211211,41699143443.594826,107.184415616205,0.0
2300,8572343.814089874,1892.6092578268474,78003.82586952217,41699100171.916435,117.4816929846461,0.0
2400,8556844.441838175,1892.0569892655865,73807.81370899684,41699070430.08557,110.36980392263614,0.0
2500,8552217.655830909,1887.3453043468367,59253.648068650866,41699024923.436134,110.18890794199945,0.0
2600,8520159.623142412,1886.0950685321893,63801.324281028465,41698959382.05983,111.97917787943317,0.0
2700,8528351.77566074,1885.7372868706893,59608.25360951766,41698965385.6006,127.47967830600213,0.0
2800,8514622.790703528,1886.2204455997378,50978.750804884534,41698924202.10255,125.04218887022336,0.0
2900,8496963.503973285,1884.5303235643878,51190.96562934795,41698881833.84396,119.59557469416401,0.0
3000,8484642.153159643,1883.1498480074044,49189.03545826454,41698810160.64157,103.56221086780485,0.0
3100,8488507.762624392,1879.026111225507,40738.612821858056,41698789861.13268,129.43717141746555,0.0
3200,8453821.375845004,1880.7146965017303,47206.76124715168,41698719495.5753,105.78880990823541,0.0
3300,8479729.079669842,1876.1941084973598,36157.251770943054,41698696971.53348,127.6159818882159,0.0
3400,8436797.49381071,1875.5079016620882,39829.611099771275,41698644668.127304,114.04288782179195,0.0
3500,8444022.883832024,1876.7219820198586,29345.093540344522,41698615269.14697,108.1357184101835,0.0
3600,8448941.814322604,1874.5673982677545,35734.970646235786,41698585768.91912,121.2830906575291,0.0
3700,8419579.74775356,1874.147462269659,27981.61222581808,41698540531.86397,119.28771835337548,0.0
3800,8427825.59664528,1871.9508769238334,31068.43162254693,41698531121.89101,111.29730223398444,0.0
3900,8421905.496764673,1873.565535313618,24223.685599068536,41698476824.80146,115.3275950218891,0.0
4000,8396902.36460298,1874.1056805296096,23009.440197531636,41698455711.95923,115.85884207870893,0.0
4100,8406791.308439476,1873.6575942904012,27304.356255440176,41698406874.29522,110.75162940821784,0.0
4200,8403499.73802832,1871.8044056876474,22174.53928597944,41698373670.001114,105.60393241004775,0.0
4300,8392699.981513135,1869.7218634824346,28840.976251515935,41698300970.74708,117.87192500701879,0.0
4400,8370462.928997016,1869.5692078218156,19649.0053189998,41698271182.451385,105.1952950044021,0.0
4500,8367870.173298033,1868.931832509548,21457.649749198707,41698243253.20288,127.33429390401957,0.0
4600,8356068.762806638,1868.8561893707952,25296.019693547885,41698213999.35799,118.48456806572544,0.0
4700,8378607.756482708,1868.75217214423,24942.5608767773,41698175446.86391,123.8792470293881,0.0
4800,8361412.546735523,1867.0311741210767,17997.503222277188,41698124827.74778,125.6590130530337,0.0
4900,8366061.570932301,1865.7209581846616,16437.31011404385,41698072023.16215,126.88320722805491,0.0
5000,8365510.183438722,1868.5475753215228,15487.48177796161,41698072342.256256,113.41698006468457,0.0
