miliseconds,T,L,N,C,I,M
0,9980803.844580187,2000.0808964690389,504788.08234458335,41699985453.1894,1998.1253068659455,0.0
100,9837102.295651058,2028.5641989163983,454149.96253030153,41699969400.91389,857.0354643912045,0.0
200,9718274.34355338,2013.9300229067676,408820.3636546474,41699907663.09452,394.02141668414,0.0
300,9579003.539765472,2001.1381267389347,375831.1795066427,41699856591.205414,240.84729279924616,0.0
400,9483672.965089582,1988.7652357400875,335202.0917508326,41699837534.11649,153.32803387484418,0.0
500,9380779.574128978,1977.6906710304772,309327.53560273733,41699775436.841736,124.56409246340586,0.0
600,9309547.872705169,1967.4943556584856,281044.51987273386,41699754509.92984,129.70200466544605,0.0
700,9235458.582942737,1962.3973898556474,257604.44383995654,41699715882.32472,129.52655304385928,0.0
800,9133902.797276435,1952.542282453969,242857.96800189637,41699708663.00674,129.10481682551537,0.0
900,9097846.558641301,1947.4617703272922,212071.57816499152,41699636232.753624,132.8632641809316,0.0
1000,9012602.289173972,1939.9691076074937,203415.65263867687,41699575139.94684,121.11248937590511,0.0
1100,8956342.607220251,1932.0206028216062,181515.92116974288,41699568394.40848,108.14571708853198,0.0
1200,8937104.087251766,1927.019416946656,174866.490755283,41699497245.5542,111.96247281934994,0.0
1300,8884109.237425726,1924.2754041828623,154799.18165034204,41699492933.33269,107.30216262898328,0.0
1400,8817658.363479441,1921.2223208196351,148324.3033213675,41699462770.48396,106.07636098739323,0.0
1500,8779756.803116843,1914.1464053545496,136539.28923895623,41699430932.9755,126.74109380829921,0.0
1600,8753720.624680202,1910.7649663209872,123905.06623147741,41699341818.18407,115.52375023600685,0.0
1700,8729060.870768346,1906.5513704408966,111551.32572451132,41699326020.80823,126.66889709584507,0.0
1800,8683948.881241618,1903.8448223295486,104259.66813832276,41699290833.905624,124.14018055909995,0.0
1900,8694840.245162891,1901.3595367006596,95428.70294944396,41699241627.41616,123.42228155037746,0.0
2000,8639050.308037266,1900.2329751455707,89129.57018245247,41699223098.45963,106.53255935940194,0.0
2100,8609956.768173335,1898.8259396830877,82149.59810608887,41699190040.34478,119.65330940029288,0.0
2200,8600680.38253946,1896.4587630761105,78460.44289930492,41699147725.72128,106.91291237631236,0.0
2300,8580975.444626568,1892.0634847104823,66795.70257855281,41699086697.703026,103.86770418766297,0.0
2400,8563285.8094896,1889.1628790522154,64000.038755328824,41699049555.74103,111.89587185212018,0.0
2500,8572718.005981939,1887.1999666091713,65008.36116365536,41699000982.16903,121.19050820348887,0.0
2600,8525482.45044757,1888.3955462126196,64206.62609667042,41698952456.734245,110.0179937641412,0.0
2700,8536951.828418707,1883.4045534651223,53012.427292793356,41698939868.481476,111.78091245142294,0.0
2800,8512979.474324102,1883.5851137545972,46075.03436569335,41698911917.04919,122.5336844199648,0.0
2900,8504974.494995529,1882.8757685811925,45614.78387596285,41698870323.492325,127.48143950056341,0.0
3000,8501790.604220899,1881.7454476149426,51956.34340450274,41698808768.68366,129.6325102278391,0.0
3100,8492465.92002338,1881.006329136317,44872.624939191184,41698779467.30238,120.42669180062441,0.0
3200,8460872.295076242,1879.4471810449684,37185.57991139762,41698719726.78006,107.76667497238581,0.0
3300,8447619.610245558,1878.4335098035606,34597.97890391441,41698702620.468895,123.70855668026253,0.0
3400,8442720.175206458,1878.874459505283,34820.39020691112,41698663739.1352,103.89370827655156,0.0
3500,8453462.460207291,1878.3488714829618,33343.12691361148,41698648945.37328,109.93416125427223,0.0
3600,8431228.588722423,1877.5867114147138,29724.348502140416,41698583877.187874,103.64841096227997,0.0
3700,8429922.225212954,1872.7237020470013,28018.015234353716,41698524309.529366,109.88424981474937,0.0
3800,8428238.601650152,1873.9590320840925,27957.8923380127,41698503571.52583,123.06146030899716,0.0
3900,8399958.4351192,1873.0261882888306,25441.52259726474,41698459851.92249,120.32047016435205,0.0
4000,8386972.295484278,1872.7772585812434,30970.87430589888,41698418737.08748,127.57479973836737,0.0
4100,8421068.040943729,1870.5521551784009,31086.16615008784,41698393924.534294,129.1202644528354,0.0
4200,8394457.607245449,1872.6973162265563,29858.579254580523,41698338945.927704,125.65220657102455,0.0
4300,8371612.862467652,1871.0210171140013,23744.191857634876,41698339842.298904,129.1356922746004,0.0
4400,8377123.953824162,1871.99915530298,27641.062937540064,41698285207.958496,119.26193216405765,0.0
4500,8398826.787906142,1868.1932862695342,22964.451144557697,41698272169.098274,125.9098014548088,0.0
4600,8364305.424589723,1869.438541706682,24639.23373576007,41698218367.99563,116.76015190655546,0.0
4700,8365508.585426066,1869.4109320535108,21805.493055676838,41698189569.97133,114.45583310347818,0.0
4800,8351163.266586529,1868.7329282489093,24011.193022696105,41698111426.16314,127.8658590823378,0.0
4900,8373736.018649225,1869.4053653856784,20732.717388651803,41698082385.89572,119.8681519216749,0.0
5000,8376894.218966554,1866.5339496004035,24619.47406078659,41698056843.74323,114.16715635671447,0.0
