miliseconds,T,L,N,C,I,M
0,9992494.515128378,1997.9209574129243,496304.50882215815,41700023137.6197,1994.197613235768,0.0
100,9867128.50625529,2026.7468760694214,457128.58416174137,41699979936.46038,846.2718189199633,0.0
200,9725749.614592424,2012.188421485957,412580.22687711974,41699941958.000244,408.18825381094626,0.0
300,9604137.232278936,2001.951074777096,372853.332539909,41699891525.311584,228.15173225926895,0.0
400,9478696.20548666,1991.0174831279448,345293.6444786832,41699823624.85105,170.24517124856578,0.0
500,9372838.307854138,1980.114322074054,310938.6314385752,41699806671.82099,148.48082421608572,0.0
600,9303628.683125066,1968.7406531423376,288492.36154312035,41699774490.36212,126.0186864115711,0.0
700,9224259.041124003,1959.3851753433398,259694.5848243456,41699730633.2812,135.10849493578834,0.0
800,9135685.427422948,1952.5705213118426,240443.53717206462,41699702939.037834,116.37865198933447,0.0
900,9085290.968838533,1946.2632848162436,222572.9059034078,41699664473.30286,107.8862673569171,0.0
1000,9010171.895063054,1940.1282341153121,198131.7193056699,41699590613.26228,106.40553195321746,0.0
1100,8968553.940700013,1933.6038820571632,180887.77876985262,41699569582.81859,117.70379997582857,0.0
1200,8934531.153655268,1927.568780563079,167732.42744215476,41699526517.553925,122.46302952085998,0.0
1300,8881635.349505275,1922.360692458956,156160.5841333348,41699465002.034386,111.84448821451083,0.0
1400,8814652.428979374,1918.8375034208968,147716.93180045678,41699426308.74815,123.81609710975698,0.0
1500,8801418.470254835,1913.937402004131,129138.32378865623,41699429075.49678,110.11425113411849,0.0
1600,8784911.25141643,1910.125088749234,119080.99348314834,41699357018.92218,108.79325986875912,0.0
1700,8736205.331315532,1907.5336722459726,111868.23946192683,41699347347.1334,129.81068477188998,0.0
1800,8689310.90378394,1904.8369636480727,104481.69009757896,41699297209.329605,112.16939950781986,0.0
1900,8683671.851095462,1903.653800235511,101081.83882469486,41699239983.333435,126.93426710117583,0.0
2000,8657321.40268571,1899.2735335228501,84595.83105719268,41699210986.68703,125.92477147406635,0.0
2100,8613201.673976338,1895.4475244574005,83387.84316957592,41699173832.33899,124.9688006048156,0.0
2200,8614720.983652055,1894.0275724161504,76077.1457697133,41699104945.22909,129.1886567031864,0.0
2300,8580267.82226592,1893.0536601837127,69532.96191308108,41699065419.76462,117.1361501222955,0.0
2400,8573979.295515988,1891.5508940787738,67433.82151918419,41699027894.3185,105.98175003741628,0.0
2500,8540675.959851155,1889.0106242582485,61237.20293213826,41699022376.309135,121.73395626351187,0.0
2600,8560958.379002085,1887.1048274515263,63178.37454003486,41698995643.791794,128.22400957706463,0.0
2700,8505563.845318722,1887.1714592022845,52515.69240512675,41698933414.790276,103.55453580345223,0.0
2800,8522103.096403655,1884.3982967594488,46508.58919045923,41698884513.96747,119.09702228504277,0.0
2900,8519677.736601481,1882.2479693481966,54815.39335624556,41698865733.16436,121.9018350093513,0.0
3000,8471497.231672611,1880.3575882016232,41664.98468646107,41698809256.68615,120.5055136136927,0.0
3100,8484746.09411629,1882.1576867539661,49849.301728521736,41698759269.89359,108.9726301238453,0.0
3200,8455948.23223295,1878.6038286660812,35219.00399064919,41698729041.08745,117.34416094400439,0.0
3300,8458572.915543523,1878.7343436640567,36259.68463040503,41698734063.349014,104.05049557977314,0.0
3400,8465320.954425137,1877.467624602763,32677.813286802633,41698642896.67111,111.50438500965464,0.0
3500,8445757.371788437,1875.9234543139235,31075.496180816208,41698639259.53685,115.50140469864479,0.0
3600,8445878.194816548,1876.699212681984,38399.36759852153,41698610092.911476,125.17004138220207,0.0
3700,8446915.108312018,1876.733486751016,27092.204706277837,41698576927.29928,107.38370908463686,0.0
3800,8419457.779230732,1874.2156197196311,36834.08328810762,41698532839.444115,110.53790065212311,0.0
3900,8418624.162528114,1872.7423130988143,26876.195537665084,41698486176.43202,113.17780668197054,0.0
4000,8388051.205983945,1870.483250304584,27066.522096491226,41698438813.85595,115.67733691008301,0.0
4100,8387215.341787446,1871.3711594378774,31073.475695146903,41698392157.99379,112.2230381915344,0.0
4200,8390228.601048691,1870.9997821980526,24639.87524083264,41698382710.836716,121.91251815160636,0.0
4300,8407272.351807207,1870.622681302918,22897.608497407775,41698309162.5316,117.03731715464993,0.0
4400,8382739.603210782,1869.8853106622157,20124.80450213692,41698285897.18512,128.8727965437654,0.0
4500,8360217.905609935,1870.4068337516717,20925.311752276786,41698225991.17335,119.01680216271387,0.0
4600,8383956.578139333,1868.5212609380942,16944.862351907912,41698210919.26094,121.72448424605979,0.0
4700,8366076.606319934,1869.367116998908,25185.987324339523,41698196315.01593,109.75699234865489,0.0
4800,8364786.821558406,1869.4477526608282,25308.342452526274,41698161031.620476,117.00212162171786,0.0
4900,8374144.481417873,1867.1543570606705,15409.916708872752,41698121817.38959,127.67929977256027,0.0
5000,8362292.525575858,1865.2708016993604,22044.51688940012,41698030899.31394,127.39610722240941,0.0
