miliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.420698292182702e-06,7.436860775838314e-11,1.9046942396234042e-10,3.1102979717199475e-11,3.6755689539586635e-09,1.2021000060071217e-10,1.2020946447156889e-10,1.202110572333999e-10,1.2020881584003217e-10,1.2020924026353712e-10,1.2021153933596032e-10,1.2021081768787724e-10,1.2021097707031165e-10,5.51719910955114e-10,2.4266999987793027e-10,2.428199999626513e-10,2.188499958306269e-10,2.1885000533945315e-10,2.1884999660088012e-10,2.1884999477753502e-10,1.0214062722571538e-07,1.68630090002033e-10,5.252940790371729e-11,2.1190074135244284e-10,3.754351200244129e-09,1.2279048557519274e-10,1.2278926590349333e-10,1.2279055088974004e-10,1.227906723059051e-10,1.2278956698929123e-10,1.2279023959381387e-10,1.2279046481798203e-10,1.227895115632537e-10,2.4149000165368562e-11,2.414900377320444e-11,2.4149003197965806e-11,2.414900680310134e-11,3.25349857029178e-13,1.8085998874870082e-13,4.284399822501736e-05,1.6546001438304622e-07,1.493427784312998e-06,7.009399622276627e-06,7.3372643655958664e-09,1.3642976928920583e-08,5.025402031832661e-08,4.5559124962756353e-07,1.1411003826241991e-07,1.0037994846309235e-08,9.38610006652438e-07,1.5101000328528865e-09,7.10550016416169e-06,9.623003355020152e-05,7.586700755515611e-07,1.1793001038515747e-05,2.431899920301273e-07,8.609800017527156e-07,4.710675029412214e-07
100,5.420750566777981e-06,7.439134113900896e-11,1.9049015103776177e-10,3.111558598999147e-11,3.6765130327087826e-09,1.202422215228701e-10,1.2024268997543494e-10,1.2024304313324416e-10,1.2024286515888114e-10,1.2024398403002778e-10,1.2024130933810854e-10,1.2024377880498145e-10,1.2024354762194022e-10,5.51702564830852e-10,2.4267001752141186e-10,2.428200079719985e-10,2.1885088293434548e-10,2.1885088395331268e-10,2.1885087383489586e-10,2.1885088228783213e-10,1.0209086213960342e-07,1.6860512665293573e-10,5.2507922607757e-11,2.1188668526763297e-10,3.753465752919365e-09,1.227581022190733e-10,1.2275580110113102e-10,1.2275844735622922e-10,1.2275676960928184e-10,1.2275854968253082e-10,1.2275593971322316e-10,1.2275804697276677e-10,1.227588418573945e-10,2.414811415039072e-11,2.4148113945758015e-11,2.4148114365013258e-11,2.4148114842771454e-11,3.2533259373150276e-13,1.8085200059299636e-13,4.284398796291665e-05,1.6546004370735412e-07,1.4934960600664161e-06,7.009370367727597e-06,7.337750024317843e-09,1.3643100934957334e-08,5.025378558605603e-08,4.5558790023795445e-07,1.1410989273752363e-07,1.0037991212235317e-08,9.386099844984073e-07,1.5101006416418277e-09,7.105497541383896e-06,9.62300744003124e-05,7.586754032322882e-07,1.1792999824781801e-05,2.431911351903603e-07,8.609788887899658e-07,4.710673033531811e-07
200,5.4207448934525084e-06,7.439097701163938e-11,1.9048903075315656e-10,3.1115016257203944e-11,3.6764225009549324e-09,1.2023860129985466e-10,1.2023876419865968e-10,1.2024128712314428e-10,1.2023989326742695e-10,1.2024068844834396e-10,1.202398840859894e-10,1.202411818232743e-10,1.2023894084076087e-10,5.51702720497316e-10,2.4267001740828493e-10,2.4282000790595003e-10,2.1885086832519449e-10,2.1885086954035458e-10,2.1885086373637026e-10,2.1885087190424962e-10,1.0209442156681741e-07,1.686082273592522e-10,5.251035241363472e-11,2.1188809714817435e-10,3.7535477634556674e-09,1.2276125656801495e-10,1.22761522471081e-10,1.2276170343757098e-10,1.2276072213495794e-10,1.2276075194722522e-10,1.2276120130828818e-10,1.22759457799063e-10,1.2276122691637022e-10,2.414813110901632e-11,2.414812294198783e-11,2.4148125475922755e-11,2.4148123106743562e-11,3.25332563184653e-13,1.8085210901134412e-13,4.284399813605474e-05,1.6546006175952082e-07,1.4935263041243814e-06,7.009378117572566e-06,7.3377989068801075e-09,1.3643121482571729e-08,5.025379795113093e-08,4.555862709627516e-07,1.1410939947163648e-07,1.0037955978238171e-08,9.386099823394501e-07,1.5101015318842064e-09,7.105499092292168e-06,9.62301766330534e-05,7.586758649187986e-07,1.179300312835329e-05,2.4319114757736463e-07,8.609790572864642e-07,4.710898866142864e-07
300,5.420738538630186e-06,7.438669683014738e-11,1.9048747676007367e-10,3.111362830770349e-11,3.676384680887059e-09,1.202352260381024e-10,1.2023797523884596e-10,1.2023628872646056e-10,1.2023588344967934e-10,1.2023699121547056e-10,1.202352402427269e-10,1.2023520304589148e-10,1.2023692267933597e-10,5.517031073268684e-10,2.4267001732397594e-10,2.428200078190167e-10,2.1885086602218255e-10,2.1885085852520441e-10,2.1885087057709747e-10,2.1885086147008617e-10,1.0209837159568847e-07,1.686106098813137e-10,5.251269040893764e-11,2.1188851976445833e-10,3.7535780402237934e-09,1.227644075128336e-10,1.2276269389482873e-10,1.2276167777070943e-10,1.227640216131707e-10,1.2276407968307234e-10,1.227627957647761e-10,1.2276164090135275e-10,1.2276405092930004e-10,2.4148139042877056e-11,2.4148137761287407e-11,2.414814437185598e-11,2.4148143410865314e-11,3.253327336429624e-13,1.8085209843650468e-13,4.284397161836066e-05,1.6546007321396073e-07,1.4936230154023452e-06,7.009384352378895e-06,7.3382320008531065e-09,1.3643147393880423e-08,5.0253534259278226e-08,4.5558471117568125e-07,1.1410924603453135e-07,1.0037959712932571e-08,9.386099672448913e-07,1.5101018992572125e-09,7.105501555851913e-06,9.623026400977001e-05,7.586762726885418e-07,1.1793007521926394e-05,2.4319115614485805e-07,8.609789359175385e-07,4.711249278976897e-07
400,5.42072888536169e-06,7.438430171410407e-11,1.9048467898129403e-10,3.111319057135124e-11,3.676315072717598e-09,1.202324451160254e-10,1.2023485701390417e-10,1.2023287665456835e-10,1.2023531098002088e-10,1.2023471120395368e-10,1.202330683108998e-10,1.2023494858120444e-10,1.202347778703725e-10,5.517032136675715e-10,2.42670017106246e-10,2.428200078198144e-10,2.188508600564539e-10,2.1885084816988863e-10,2.1885086136119694e-10,2.1885085373568784e-10,1.021080375254496e-07,1.6861308805248223e-10,5.251441791348872e-11,2.11890958595278e-10,3.753699979286634e-09,1.2276559394973343e-10,1.2276537808063332e-10,1.2276654201904722e-10,1.227667939254675e-10,1.2276524571305026e-10,1.227657592000334e-10,1.2276534291385104e-10,1.2276542626457107e-10,2.4148142866150887e-11,2.4148143705955196e-11,2.41481378476296e-11,2.4148146784876277e-11,3.253329149873375e-13,1.8085224958875719e-13,4.284398601862218e-05,1.6546011431237113e-07,1.4936637547913537e-06,7.009386791902347e-06,7.3387754211625755e-09,1.3643167710269097e-08,5.025358885697325e-08,4.555832319331787e-07,1.1410906092468027e-07,1.003794694159804e-08,9.386099463705004e-07,1.5101027759675447e-09,7.105502220578971e-06,9.623031803454403e-05,7.586762889973761e-07,1.1793008542556255e-05,2.4319110171950744e-07,8.609791110546893e-07,4.7116021905136206e-07
500,5.42072291711613e-06,7.438268780582936e-11,1.9048404698899634e-10,3.1111268860506315e-11,3.6761802692985618e-09,1.202304843725311e-10,1.2023237547489412e-10,1.2023168363730617e-10,1.202306226054676e-10,1.2023009464821088e-10,1.2023246787851582e-10,1.2023084132035578e-10,1.2022987321462192e-10,5.517034069918159e-10,2.4267001694037574e-10,2.4282000771244813e-10,2.1885084965913628e-10,2.1885084588391418e-10,2.18850838213741e-10,2.1885083806843767e-10,1.0210935690116414e-07,1.6861466038703365e-10,5.251555054773196e-11,2.118911093490175e-10,3.753826995244484e-09,1.227679839440555e-10,1.227675879420515e-10,1.2276830161472336e-10,1.2276750953740783e-10,1.2276948622597414e-10,1.2276892252320892e-10,1.2276967508034137e-10,1.2276907162975906e-10,2.4148147929864748e-11,2.4148152686599682e-11,2.4148149282937884e-11,2.414815874508478e-11,3.253330678073664e-13,1.8085224828996162e-13,4.2843962105817984e-05,1.6546014307711117e-07,1.4937119702094327e-06,7.0093948899858495e-06,7.338922086018518e-09,1.3643197452919239e-08,5.025350816917255e-08,4.5558268157821454e-07,1.1410878971804896e-07,1.003793515647348e-08,9.38609942657836e-07,1.510103480384222e-09,7.105504435429226e-06,9.623041441495503e-05,7.586766750886521e-07,1.179300704574463e-05,2.4319112831248063e-07,8.609791682101613e-07,4.7117633005421444e-07
600,5.4207182538311524e-06,7.43801734747128e-11,1.9048226928802577e-10,3.110951813850604e-11,3.6761099176790674e-09,1.2022865475051443e-10,1.2022771777467644e-10,1.2022927178232548e-10,1.202293527177507e-10,1.2022906266384498e-10,1.202285422414795e-10,1.202272217438851e-10,1.202285632846882e-10,5.517038005316912e-10,2.426700167551199e-10,2.428200076507934e-10,2.1885083438328867e-10,2.1885083562216327e-10,2.1885083167747402e-10,2.1885083134027697e-10,1.0211305653977074e-07,1.6861631444900443e-10,5.251831691152122e-11,2.1189316909760162e-10,3.753892680610903e-09,1.2277252618543495e-10,1.2277291694559186e-10,1.2277285047839576e-10,1.2277222758785824e-10,1.2277037411411735e-10,1.2277258167302526e-10,1.2277109841039944e-10,1.2277015894471324e-10,2.414816251933897e-11,2.414816678273835e-11,2.414815839230712e-11,2.4148159545724366e-11,3.2533322821156077e-13,1.80852321411919e-13,4.284395327162957e-05,1.6546017354094146e-07,1.4938085205323538e-06,7.009404649678198e-06,7.339561987829087e-09,1.3643229331593472e-08,5.0253484262199236e-08,4.5558088751842175e-07,1.1410877692386226e-07,1.0037925823051012e-08,9.386099287886394e-07,1.5101042225619007e-09,7.1055020803750195e-06,9.623045179952961e-05,7.586772713287176e-07,1.1793010414755067e-05,2.431911407985282e-07,8.609789763815774e-07,4.711884120618787e-07
700,5.42071148838511e-06,7.437917228534296e-11,1.9047876327684814e-10,3.110904634357176e-11,3.6760417668825613e-09,1.2022548823810238e-10,1.202265096193422e-10,1.202258637885834e-10,1.2022655512692998e-10,1.2022698925136666e-10,1.2022646475741502e-10,1.2022486124677554e-10,1.2022536134440566e-10,5.517038652636427e-10,2.4267001686884716e-10,2.4282000761776253e-10,2.1885082865608868e-10,2.1885082946574772e-10,2.1885082055029636e-10,2.1885081982885996e-10,1.0211782319927089e-07,1.686208785262519e-10,5.251905407066065e-11,2.1189428592736507e-10,3.753971654055934e-09,1.2277561474984585e-10,1.227726165263483e-10,1.2277581498939842e-10,1.2277327830535664e-10,1.22775515091635e-10,1.227758166097261e-10,1.2277571111476493e-10,1.227732916304719e-10,2.4148175996963216e-11,2.414817958781059e-11,2.414817155978887e-11,2.4148172876414254e-11,3.253332743482722e-13,1.8085249024415134e-13,4.284393849060075e-05,1.6546017594639783e-07,1.4939280407749166e-06,7.0094135503209336e-06,7.339927380204321e-09,1.3643244457247021e-08,5.025350545772495e-08,4.555808588579837e-07,1.1410879391607768e-07,1.0037913889788013e-08,9.386099127291151e-07,1.5101049634165187e-09,7.105503127954693e-06,9.623052675172857e-05,7.586773270554936e-07,1.1793012158746639e-05,2.4319112141254744e-07,8.609791084594079e-07,4.7122554730068824e-07
800,5.420707625839185e-06,7.437642071591189e-11,1.9047836137890295e-10,3.110807921511205e-11,3.6759295439496337e-09,1.2022325606698218e-10,1.2022408297302542e-10,1.2022302728099154e-10,1.2022310620026187e-10,1.202232922143617e-10,1.202236274130828e-10,1.202224962677198e-10,1.202241517258802e-10,5.517043202445209e-10,2.426700164679158e-10,2.4282000752588365e-10,2.1885081330466835e-10,2.188508095326851e-10,2.1885081685666162e-10,2.1885081580141925e-10,1.0212404123440713e-07,1.686215535100115e-10,5.2521444381047034e-11,2.1189550233547138e-10,3.75404452264303e-09,1.2277836301408795e-10,1.2277574011877805e-10,1.227759966290767e-10,1.2277652597845214e-10,1.2277631300755472e-10,1.227784900162433e-10,1.2277582803637954e-10,1.2277693603242985e-10,2.4148176655444168e-11,2.4148184901876176e-11,2.4148175876375585e-11,2.414819018763449e-11,3.2533354148444587e-13,1.8085249684860942e-13,4.284391712386241e-05,1.6546023544780134e-07,1.4939525385765683e-06,7.0094165064527846e-06,7.340005211928434e-09,1.36432273908257e-08,5.0253337573554045e-08,4.5557829681586046e-07,1.141087493680695e-07,1.0037900460023196e-08,9.386099023127566e-07,1.51010517904611e-09,7.105504377079299e-06,9.623052524249329e-05,7.58677522428246e-07,1.1793016746029253e-05,2.4319107145783334e-07,8.609792043020327e-07,4.712370053849516e-07
900,5.420701912311186e-06,7.437334344584593e-11,1.9047580998484447e-10,3.110653696890306e-11,3.675871378292643e-09,1.2022077826995396e-10,1.2021929186071388e-10,1.2021977874726275e-10,1.2022090857760588e-10,1.202200107977444e-10,1.2021948911434152e-10,1.2021878313416027e-10,1.2022128011271643e-10,5.517044520512681e-10,2.4267001638026073e-10,2.4282000739904186e-10,2.1885080635151212e-10,2.188508065747198e-10,2.1885081151621083e-10,2.1885080051859917e-10,1.0213004724931701e-07,1.686253127571796e-10,5.252378980128919e-11,2.1189624322574048e-10,3.754140309224591e-09,1.227797944456245e-10,1.2277988308586725e-10,1.2277948690377424e-10,1.2278054760354037e-10,1.227807515864647e-10,1.2277962497019311e-10,1.2277957951565156e-10,1.2277904288629065e-10,2.4148184430133942e-11,2.4148184397115095e-11,2.4148188401291213e-11,2.4148197565898208e-11,3.2533351659935585e-13,1.808525813582946e-13,4.284390246706023e-05,1.6546023948836928e-07,1.4940196787292236e-06,7.0094225665091135e-06,7.340573188135626e-09,1.3643263904157572e-08,5.02533845251179e-08,4.5558025548647324e-07,1.1410842599830525e-07,1.0037897291637206e-08,9.386098991121721e-07,1.5101061155190267e-09,7.10551035915297e-06,9.623063834760773e-05,7.586780571815692e-07,1.1793019410255223e-05,2.4319110328261193e-07,8.609792344827987e-07,4.7124691412297665e-07
