miliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.420699930994634e-06,7.436875777889163e-11,1.904692369845237e-10,3.110283844154768e-11,3.6755934995526483e-09,1.2021134496022656e-10,1.2021114196832536e-10,1.2021082218898555e-10,1.2021025721431425e-10,1.2020942849061292e-10,1.2021113314361525e-10,1.2020886351675437e-10,1.2021059900198175e-10,5.51719950786398e-10,2.4266999994111813e-10,2.428200000554744e-10,2.1885000799948537e-10,2.1885000801966612e-10,2.188499963479259e-10,2.1885000542387133e-10,1.0213762340427042e-07,1.6862868069319667e-10,5.2528220638737436e-11,2.119001611883637e-10,3.754407362199505e-09,1.227906471985249e-10,1.227885789005572e-10,1.2278843013684763e-10,1.2279060901284002e-10,1.227891775106997e-10,1.2279103737227596e-10,1.2278878449327263e-10,1.2278896584018858e-10,2.4149001508621633e-11,2.4149004965284092e-11,2.4149008053036567e-11,2.4148992510256263e-11,3.2535007917013015e-13,1.8085996044348456e-13,4.2843989594695986e-05,1.6546000092250274e-07,1.4934228663262721e-06,7.009403048757767e-06,7.337142261047118e-09,1.3643044351278969e-08,5.025408737172414e-08,4.55591073726347e-07,1.1410993623254304e-07,1.0038004331728484e-08,9.386099977736757e-07,1.510099856101892e-09,7.105499408170127e-06,9.622995979606713e-05,7.586698257752321e-07,1.1793000229093082e-05,2.431900272132035e-07,8.609800591823174e-07,4.7106038257874267e-07
100,5.420749721796828e-06,7.439241718110086e-11,1.9049083680562165e-10,3.111643632048872e-11,3.6765823002050197e-09,1.2024241309342393e-10,1.2024173533091184e-10,1.2024127952416867e-10,1.2024288705976624e-10,1.2024155152251806e-10,1.202410908937977e-10,1.2024200724574977e-10,1.2024203700078613e-10,5.517028079796329e-10,2.4267001743029843e-10,2.4282000802971843e-10,2.188508713799932e-10,2.1885087303147247e-10,2.1885088029112013e-10,2.188508746171633e-10,1.0208908053815438e-07,1.6860514486917741e-10,5.250823930974889e-11,2.11886049399225e-10,3.7534227356741836e-09,1.227565517956987e-10,1.2275810801013469e-10,1.2275777672035104e-10,1.227587925984701e-10,1.2275815241693156e-10,1.2275822985187751e-10,1.2275623859512994e-10,1.227565751117051e-10,2.4148127260947243e-11,2.4148125381468604e-11,2.4148121286996818e-11,2.4148129979718257e-11,3.253326468102293e-13,1.8085206403925159e-13,4.284401466773846e-05,1.6546004025369673e-07,1.4934355387299509e-06,7.0093684033922915e-06,7.3374209928931355e-09,1.3643047158546658e-08,5.025383171113984e-08,4.555867773835573e-07,1.1410981079675366e-07,1.0037972869431848e-08,9.386099856523079e-07,1.510100920638833e-09,7.105496313025323e-06,9.623010697150394e-05,7.586755947478989e-07,1.1792997066275458e-05,2.4319116055232257e-07,8.609789647545087e-07,4.7108907126752105e-07
200,5.420743781810448e-06,7.438963476679823e-11,1.9048888076028616e-10,3.111578084209833e-11,3.6764323787655505e-09,1.2024123039311783e-10,1.2023986088056407e-10,1.2024126968512753e-10,1.202399784074241e-10,1.2023838085788456e-10,1.2023894552212224e-10,1.2023954684792418e-10,1.2023932570990008e-10,5.517026463124114e-10,2.426700172429335e-10,2.4282000799148335e-10,2.18850867431455e-10,2.1885087125451039e-10,2.188508652117284e-10,2.1885087641638335e-10,1.0209499604155533e-07,1.686093503288525e-10,5.251002863709889e-11,2.1188833938005559e-10,3.753580526191069e-09,1.2276130228091613e-10,1.2276011744046337e-10,1.2276095062792595e-10,1.2276181437608157e-10,1.2276133284682366e-10,1.2275991391447215e-10,1.2276047536361024e-10,1.2275932422540444e-10,2.414812992058096e-11,2.4148136424884946e-11,2.4148125903846544e-11,2.414812918936796e-11,3.253327627947741e-13,1.8085204920436557e-13,4.284400781984515e-05,1.6546008576404811e-07,1.493551949523855e-06,7.009375281315593e-06,7.337957680131939e-09,1.3643087859296857e-08,5.025378220011607e-08,4.555870226208017e-07,1.1410957448233988e-07,1.0037954847078517e-08,9.386099791567561e-07,1.5101015217848377e-09,7.105496749485355e-06,9.62301705355837e-05,7.586759479744582e-07,1.179299887176432e-05,2.4319111505830257e-07,8.609789517435074e-07,4.711058850490198e-07
300,5.42073551650137e-06,7.438800867247909e-11,1.9048739815188589e-10,3.111326438345707e-11,3.676358275319442e-09,1.2023696883155017e-10,1.2023606155709594e-10,1.202363660474339e-10,1.202373993243382e-10,1.2023620895432122e-10,1.2023759236684702e-10,1.2023600521334948e-10,1.202363652247734e-10,5.517031496301915e-10,2.426700172882483e-10,2.428200078414886e-10,2.1885086166639805e-10,2.1885086694523996e-10,2.1885085795747208e-10,2.1885085610995635e-10,1.0210156542217257e-07,1.686104783458959e-10,5.2513037425981204e-11,2.1188897883029226e-10,3.7536128632426925e-09,1.227630323912005e-10,1.227632697820653e-10,1.227630478329558e-10,1.2276395114123378e-10,1.2276242262054706e-10,1.227617911987326e-10,1.2276459927876648e-10,1.2276388358477686e-10,2.4148129406383667e-11,2.4148129460691694e-11,2.4148133781105157e-11,2.4148133960368905e-11,3.253327767968836e-13,1.8085216274014884e-13,4.284397226088582e-05,1.6546007861489604e-07,1.4936397469344342e-06,7.009383962126449e-06,7.338179302207466e-09,1.3643136778868224e-08,5.025355154443712e-08,4.5558268181174364e-07,1.1410927524052574e-07,1.003794052753419e-08,9.386099604990202e-07,1.5101024179915643e-09,7.105499421766992e-06,9.623024158550478e-05,7.586763263843521e-07,1.1793007655312665e-05,2.431911038532907e-07,8.609789279893279e-07,4.711254934831664e-07
400,5.4207309178873185e-06,7.438557337901718e-11,1.9048457299331252e-10,3.1112774878671677e-11,3.6763365676609177e-09,1.202354524022512e-10,1.202326773366612e-10,1.2023285316270314e-10,1.2023396747420874e-10,1.2023412220283316e-10,1.202341347991685e-10,1.2023490884637055e-10,1.2023371540303185e-10,5.517032011552721e-10,2.426700170501652e-10,2.428200078455796e-10,2.1885084903870054e-10,2.1885085722880785e-10,2.188508561572435e-10,2.188508479633964e-10,1.0210796508232124e-07,1.6861272504158675e-10,5.251317810354061e-11,2.1188976068047302e-10,3.753669747378737e-09,1.2276571674604837e-10,1.2276674915415272e-10,1.2276541455896475e-10,1.2276603894798725e-10,1.2276734145581735e-10,1.2276735640352849e-10,1.2276754909844567e-10,1.2276681909450028e-10,2.4148151058073618e-11,2.414815075461488e-11,2.4148146778073767e-11,2.4148140962268374e-11,3.253327418663947e-13,1.8085216000461707e-13,4.284397548486785e-05,1.6546011080835425e-07,1.4937196658536066e-06,7.009388631203687e-06,7.338503871063323e-09,1.3643201057195062e-08,5.0253451053056484e-08,4.5558334046817083e-07,1.141091236827497e-07,1.0037924272690362e-08,9.38609957620582e-07,1.5101028428626781e-09,7.105500869559376e-06,9.623028594788378e-05,7.586763430520615e-07,1.1793004479989026e-05,2.4319116154360894e-07,8.609791252745259e-07,4.7115629411890754e-07
500,5.4207253605961665e-06,7.438423049260481e-11,1.9048282369801598e-10,3.111171387054172e-11,3.6761628459235637e-09,1.202326354267524e-10,1.2023069160738096e-10,1.202300551543445e-10,1.2023110525845234e-10,1.2023171014921198e-10,1.2023139927617063e-10,1.2023202696404786e-10,1.2023196793472328e-10,5.517034712017572e-10,2.426700170269316e-10,2.4282000769976125e-10,2.188508527427376e-10,2.1885084810341164e-10,2.188508431020693e-10,2.1885085324608199e-10,1.0211031646539536e-07,1.6861485176904917e-10,5.2515513018708135e-11,2.1189118752870368e-10,3.753809649707558e-09,1.2276831201147663e-10,1.227679611593112e-10,1.2276866378744737e-10,1.227683218770512e-10,1.22769858476815e-10,1.2276721141607527e-10,1.2276843036961942e-10,1.227698702836575e-10,2.4148158402862325e-11,2.4148159695303103e-11,2.4148151596392877e-11,2.4148151342090427e-11,3.2533301570367244e-13,1.8085220983557087e-13,4.2843970519425875e-05,1.6546011982093262e-07,1.493750713346147e-06,7.0093936260430925e-06,7.3391822623228725e-09,1.3643184645897734e-08,5.025343329043645e-08,4.5558062212909543e-07,1.1410905172876442e-07,1.0037911785567368e-08,9.386099318448176e-07,1.5101034821561792e-09,7.105502157064229e-06,9.62303969363263e-05,7.586766090149642e-07,1.1793006927511015e-05,2.431911247777341e-07,8.609789065613871e-07,4.7116468544833427e-07
600,5.420720453147417e-06,7.438124589423807e-11,1.904801363274856e-10,3.11102678698789e-11,3.6760891195228116e-09,1.2022702538924513e-10,1.2023012583747304e-10,1.2022725195752308e-10,1.2022922902012215e-10,1.202288085665356e-10,1.2022757266888694e-10,1.202284779037103e-10,1.2022773660539937e-10,5.517037859081892e-10,2.4267001681612727e-10,2.4282000771902474e-10,2.1885082907939932e-10,2.1885083191832477e-10,2.188508405964038e-10,2.1885083022826142e-10,1.0211760772902418e-07,1.6861750271248577e-10,5.251722283576785e-11,2.1189369112727352e-10,3.753893481501195e-09,1.2277203782313726e-10,1.227713235993136e-10,1.2277086466506775e-10,1.2277029650763624e-10,1.2277233627232237e-10,1.2277228487124414e-10,1.2277060465337383e-10,1.227715498267438e-10,2.414816774856238e-11,2.4148160288782733e-11,2.4148165695094037e-11,2.4148161555462748e-11,3.253330488017737e-13,1.8085241397603596e-13,4.2843963879691614e-05,1.6546017081918415e-07,1.4938243490205557e-06,7.009404526697587e-06,7.339391831774901e-09,1.364325629658521e-08,5.0253468978810565e-08,4.5558012899025774e-07,1.141088604231704e-07,1.0037917773045066e-08,9.386099239242248e-07,1.5101040060661464e-09,7.105503549638667e-06,9.623044320752846e-05,7.586770540130727e-07,1.1793012926861417e-05,2.431911193814664e-07,8.609791824717195e-07,4.711907968029007e-07
700,5.420710988460952e-06,7.437860451374022e-11,1.9047932442943544e-10,3.110896090196869e-11,3.6760193597906926e-09,1.202250204349352e-10,1.2022537356667292e-10,1.2022644272052108e-10,1.202245655829382e-10,1.2022660372708043e-10,1.2022411983625177e-10,1.2022509174182937e-10,1.2022541241279613e-10,5.517040112692807e-10,2.426700168216329e-10,2.428200076480649e-10,2.1885082221409313e-10,2.1885082646408053e-10,2.1885082348858091e-10,2.1885082677259812e-10,1.0211857753514401e-07,1.686196283405883e-10,5.2519536458959735e-11,2.1189398432308623e-10,3.753989383995881e-09,1.2277491551832443e-10,1.2277317771615072e-10,1.2277485427593148e-10,1.2277415199405428e-10,1.2277536600337987e-10,1.227740301599131e-10,1.2277546942896245e-10,1.2277325328902977e-10,2.4148169237270815e-11,2.4148174945621814e-11,2.4148173093783706e-11,2.4148166218936035e-11,3.2533340470169186e-13,1.8085236091050286e-13,4.2843937606784763e-05,1.6546017779851343e-07,1.49386127759662e-06,7.0094083468755896e-06,7.339940098300997e-09,1.3643233222904593e-08,5.025334636608598e-08,4.555800909394721e-07,1.1410881472327902e-07,1.0037900114013578e-08,9.38609909110188e-07,1.5101047792028462e-09,7.105506855339261e-06,9.623053799463583e-05,7.586772688739712e-07,1.1793011599183701e-05,2.43191117214598e-07,8.609790266559664e-07,4.712169140099301e-07
800,5.420706591873358e-06,7.437680860338644e-11,1.9047668735020566e-10,3.110818964362468e-11,3.6759713536698373e-09,1.2022208633605433e-10,1.202238628411895e-10,1.2022463921051115e-10,1.2022357178926816e-10,1.2022398485224535e-10,1.2022312702992856e-10,1.202240065584467e-10,1.2022310199698763e-10,5.517042030718628e-10,2.4267001657857345e-10,2.4282000755066815e-10,2.188508195448371e-10,2.1885081916551782e-10,2.188508176852672e-10,2.1885082583580563e-10,1.0212456131347675e-07,1.686210455544422e-10,5.2520511997697835e-11,2.118956870352202e-10,3.754042058760898e-09,1.2277818691108357e-10,1.2277824472948446e-10,1.2277780277343662e-10,1.2277557098754085e-10,1.2277783284795833e-10,1.227777271166845e-10,1.2277601104838329e-10,1.227769107976797e-10,2.4148183849492898e-11,2.414817528569077e-11,2.414817859835245e-11,2.4148189477413827e-11,3.253333876925318e-13,1.8085248311139185e-13,4.284392300071324e-05,1.6546021002878813e-07,1.4939180671876068e-06,7.009417235203692e-06,7.339944170050383e-09,1.3643275935305354e-08,5.025326572657306e-08,4.5558060752385106e-07,1.1410858044741088e-07,1.0037907052784692e-08,9.386098966345884e-07,1.5101056138024148e-09,7.105506520896241e-06,9.623058683229564e-05,7.586777309316944e-07,1.1793013426206363e-05,2.4319110856880713e-07,8.60978948607746e-07,4.712260827175253e-07
900,5.420703231085163e-06,7.437248948414374e-11,1.9047615914349051e-10,3.11059871389666e-11,3.675831525699034e-09,1.2022000642580527e-10,1.2022080508827573e-10,1.202189503781979e-10,1.202218900453326e-10,1.2022017907807634e-10,1.2022015605776901e-10,1.2022162962389359e-10,1.20218881207721e-10,5.517043280022934e-10,2.4267001649878816e-10,2.428200073938358e-10,2.1885081486107084e-10,2.188508153239265e-10,2.1885081422749048e-10,2.1885080345787435e-10,1.021264489890635e-07,1.6862430833291506e-10,5.2522132171107285e-11,2.1189726649690846e-10,3.754157287338329e-09,1.2278001552437781e-10,1.2277967692325217e-10,1.2277898014725014e-10,1.2277953270143678e-10,1.2278106396862246e-10,1.2277940248113515e-10,1.227799658311888e-10,1.2277898317765294e-10,2.4148192837259833e-11,2.4148193906012207e-11,2.414819963485976e-11,2.4148186151713954e-11,3.2533343691840297e-13,1.8085257035400552e-13,4.284390621027337e-05,1.6546023251517814e-07,1.4940546983033358e-06,7.009425006590247e-06,7.340362728390793e-09,1.364325651819903e-08,5.0253378932975605e-08,4.5557934164519077e-07,1.1410842657215048e-07,1.0037906980915695e-08,9.386098927730019e-07,1.5101057584180386e-09,7.105509772280737e-06,9.623065770396591e-05,7.586780285008028e-07,1.1793021466826652e-05,2.4319109755406194e-07,8.609792035599513e-07,4.712624962859015e-07
