miliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.420700516971996e-06,7.436925109267398e-11,1.9046940374105404e-10,3.1103198882062766e-11,3.675641137156547e-09,1.20209440983446e-10,1.2020871330082146e-10,1.2021034361655284e-10,1.2020894519609283e-10,1.202098646698626e-10,1.2020893487495408e-10,1.2020933613644432e-10,1.2020938872362008e-10,5.517198976947278e-10,2.426700000291937e-10,2.428199999746966e-10,2.1884999831195009e-10,2.188500076116914e-10,2.1884999974514113e-10,2.188500035746677e-10,1.0213967264379065e-07,1.6862964276517252e-10,5.2529849673300005e-11,2.1190060335321965e-10,3.75437620076039e-09,1.2279138479492656e-10,1.2279107789095385e-10,1.2278864442181423e-10,1.2279099546345535e-10,1.2279106539250964e-10,1.227904135436042e-10,1.2278901699724496e-10,1.227903774505509e-10,2.4148998077395314e-11,2.4148999527202975e-11,2.414900406306549e-11,2.4148996100590844e-11,3.2534987158647557e-13,1.8085993965808116e-13,4.2844005648904655e-05,1.6545998278829832e-07,1.4934171786667545e-06,7.009397075657605e-06,7.337187530662144e-09,1.3643041158115607e-08,5.025400278211255e-08,4.5558848774309076e-07,1.1410986556111446e-07,1.0038012315078592e-08,9.386099963269573e-07,1.510099981357902e-09,7.105502528757766e-06,9.622998708265326e-05,7.586697979004262e-07,1.1793000078730798e-05,2.4318998203032286e-07,8.6097986895479e-07,4.710738943852637e-07
100,5.420749096375399e-06,7.439308978529103e-11,1.904918987959545e-10,3.111705231799938e-11,3.6765193338616924e-09,1.2024169506811162e-10,1.2024298939050057e-10,1.2024400827249656e-10,1.202410240783161e-10,1.202425753980151e-10,1.2024152588750114e-10,1.202409917781903e-10,1.2024240706583987e-10,5.517027618187933e-10,2.426700175361938e-10,2.4282000805025975e-10,2.1885087426551795e-10,2.1885087824362005e-10,2.1885087049730576e-10,2.1885088252143884e-10,1.0209163005599872e-07,1.68606281065028e-10,5.2507564236394995e-11,2.118862837970196e-10,3.753450632097222e-09,1.2275788872974362e-10,1.2275900099710335e-10,1.227561641686381e-10,1.227577963527892e-10,1.2275605878718962e-10,1.2275815691450226e-10,1.2275818826297704e-10,1.227582516320096e-10,2.414811429875714e-11,2.414811531108768e-11,2.414811888906735e-11,2.4148114808938843e-11,3.25332531271938e-13,1.8085204502881012e-13,4.284400358799892e-05,1.6546005953631742e-07,1.4935020003515719e-06,7.009368859660245e-06,7.337688938578737e-09,1.3643100829411374e-08,5.025392031776376e-08,4.555892219596088e-07,1.1410966941546983e-07,1.0037969299416775e-08,9.386099914918013e-07,1.5101006399659158e-09,7.105496613634662e-06,9.623008029063999e-05,7.586755048367148e-07,1.1792997674902693e-05,2.4319116111215984e-07,8.609789813748483e-07,4.710910664409074e-07
200,5.420743058087345e-06,7.43894117778047e-11,1.9048852494468281e-10,3.1115616808985296e-11,3.676501259978932e-09,1.2024076401069955e-10,1.2024008165807308e-10,1.2023903501596775e-10,1.2024118873348282e-10,1.2023905551875215e-10,1.2024126863948612e-10,1.2024126647527504e-10,1.2023887572064104e-10,5.517029897051377e-10,2.426700174556478e-10,2.428200079894056e-10,2.1885087506697345e-10,2.1885087883985356e-10,2.188508663950354e-10,2.1885087177938637e-10,1.0209638123435438e-07,1.6860897626059643e-10,5.251024068999894e-11,2.1188763227174306e-10,3.753531257346046e-09,1.2276128564175726e-10,1.2276032107582327e-10,1.2275918615543164e-10,1.2275873255547971e-10,1.2276034945969093e-10,1.2275893772117095e-10,1.2275903164742355e-10,1.2276065158057785e-10,2.414813310456957e-11,2.4148134341328242e-11,2.414813678282917e-11,2.4148134337500673e-11,3.253325723365561e-13,1.8085198600145467e-13,4.284399230298222e-05,1.654600548742741e-07,1.4935089419222282e-06,7.009376093931582e-06,7.3381338998747266e-09,1.3643099846311821e-08,5.0253816740234046e-08,4.5558427488882047e-07,1.1410947625544111e-07,1.0037972774527049e-08,9.386099709063831e-07,1.5101013670789416e-09,7.105499941193202e-06,9.623018645722755e-05,7.586757707802605e-07,1.179300127283448e-05,2.4319113762377485e-07,8.609789083043539e-07,4.7111488712566155e-07
300,5.4207355044990494e-06,7.438738887093743e-11,1.904860539533865e-10,3.111360434841794e-11,3.67642064705213e-09,1.2023793151784124e-10,1.2023678606728924e-10,1.2023715779057218e-10,1.2023561060540923e-10,1.202360722607269e-10,1.2023685483560508e-10,1.2023556259322147e-10,1.2023580961786048e-10,5.517029893239754e-10,2.4267001738855993e-10,2.428200078167006e-10,2.1885086276885124e-10,2.1885086121834849e-10,2.188508596315151e-10,2.1885087088353058e-10,1.0210182666556453e-07,1.6860953982677258e-10,5.2511314595152545e-11,2.118895195588127e-10,3.753652514301557e-09,1.2276166481754424e-10,1.2276396531042678e-10,1.2276345046420033e-10,1.2276160377112462e-10,1.227615790057029e-10,1.2276248719542268e-10,1.2276199927062428e-10,1.2276240717040249e-10,2.4148132686572015e-11,2.4148144877615873e-11,2.4148134698889627e-11,2.414814491356611e-11,3.253327991033949e-13,1.8085217136088703e-13,4.284398699029292e-05,1.654601045621003e-07,1.4935853825085362e-06,7.0093840748955804e-06,7.338347543346494e-09,1.3643126403491932e-08,5.02535931401332e-08,4.555826651721042e-07,1.1410930489119203e-07,1.003795674143376e-08,9.386099689604148e-07,1.5101024478445902e-09,7.105498651527275e-06,9.623020518940349e-05,7.586761013962876e-07,1.179300397041903e-05,2.431911378896924e-07,8.609788837572297e-07,4.7113227080680173e-07
400,5.420728641134149e-06,7.438570690600055e-11,1.9048569149031742e-10,3.111241131656175e-11,3.6763076477331808e-09,1.2023411737520416e-10,1.2023357985282602e-10,1.2023380146569733e-10,1.2023524835405115e-10,1.202343328386771e-10,1.202327418012491e-10,1.2023307152036072e-10,1.2023439676059023e-10,5.517031019897532e-10,2.426700171269796e-10,2.428200077761476e-10,2.18850860290708e-10,2.1885084794534678e-10,2.1885085389177126e-10,2.1885084878273237e-10,1.0210623040299518e-07,1.686131910795564e-10,5.25139851257708e-11,2.118901302395002e-10,3.753726662715573e-09,1.2276592307920511e-10,1.2276443021850496e-10,1.2276635801506113e-10,1.2276686229436503e-10,1.227649622053785e-10,1.2276521181195988e-10,1.2276577884639606e-10,1.2276457710127668e-10,2.4148140467552594e-11,2.4148150965922812e-11,2.414813769959015e-11,2.4148138860876635e-11,3.2533291334594596e-13,1.8085215064394538e-13,4.284398241467482e-05,1.6546012205303453e-07,1.4936561015482278e-06,7.009391169572927e-06,7.3387337049894425e-09,1.364316455017874e-08,5.0253612943252856e-08,4.555815819249779e-07,1.141090356424769e-07,1.0037947867422183e-08,9.386099577220436e-07,1.5101030600539216e-09,7.105502651905638e-06,9.623031567213179e-05,7.586765783821355e-07,1.1793005704566065e-05,2.431911223362133e-07,8.609789761236327e-07,4.7114380708499215e-07
500,5.420722869534428e-06,7.43827314959659e-11,1.9048308356263494e-10,3.111134152885556e-11,3.6762405425820013e-09,1.2023235088271685e-10,1.2023052885658195e-10,1.202308703693872e-10,1.2022990375815863e-10,1.2022969917848375e-10,1.2023088615709474e-10,1.20231246026554e-10,1.202326455407841e-10,5.517034463627644e-10,2.4267001708378776e-10,2.4282000780243055e-10,2.188508523386241e-10,2.1885084456365219e-10,2.188508528987953e-10,2.1885083982357628e-10,1.0211288281715032e-07,1.6861418842480922e-10,5.251560563154265e-11,2.118919838832301e-10,3.753815242147504e-09,1.2276886299554375e-10,1.2276859984555812e-10,1.2276721846157055e-10,1.227694349507112e-10,1.2276836367664263e-10,1.227696186389848e-10,1.2276904925084257e-10,1.2276873763854005e-10,2.4148148871333487e-11,2.4148152336985832e-11,2.4148151011573078e-11,2.4148153744803174e-11,3.2533299285536903e-13,1.8085226182338075e-13,4.28439516498032e-05,1.6546012457776806e-07,1.4937502411193908e-06,7.0093980253609e-06,7.338863617079531e-09,1.3643201703731392e-08,5.025340647752382e-08,4.555816414190654e-07,1.1410901852276776e-07,1.0037935339573974e-08,9.386099440482244e-07,1.5101035318440317e-09,7.105500266470513e-06,9.623035861881611e-05,7.586766293040129e-07,1.179300916399788e-05,2.431911430132138e-07,8.60978954746049e-07,4.7115741681040405e-07
600,5.420718546024885e-06,7.437912777069132e-11,1.9048161024773582e-10,3.111069031814681e-11,3.6761441885364474e-09,1.2022742495405222e-10,1.2022690730817732e-10,1.2022879449562292e-10,1.202287352366564e-10,1.2022779911138309e-10,1.2022784014821567e-10,1.2022737354821187e-10,1.2022991456326052e-10,5.517035644809217e-10,2.4267001688946453e-10,2.428200077115745e-10,2.1885083690481983e-10,2.1885083819964752e-10,2.1885084272532377e-10,2.1885083252524872e-10,1.0211315663519593e-07,1.6861649970558593e-10,5.251858073008346e-11,2.1189343222965072e-10,3.753841168556258e-09,1.22770590684313e-10,1.227702098599721e-10,1.227703621358822e-10,1.2277078554611026e-10,1.2277094811446524e-10,1.2277146619527768e-10,1.2277050648956483e-10,1.2277066262088126e-10,2.4148165275110183e-11,2.4148161398285035e-11,2.414815579113749e-11,2.4148163266468662e-11,3.2533307494679033e-13,1.8085232383258826e-13,4.284394259532192e-05,1.6546014574667653e-07,1.493857446448382e-06,7.009403167351709e-06,7.339378921655114e-09,1.3643234222093839e-08,5.025332158198447e-08,4.5557992060003357e-07,1.1410889330102756e-07,1.0037927326827438e-08,9.386099216138426e-07,1.5101039911776196e-09,7.105506066236578e-06,9.62304370957968e-05,7.58677106412403e-07,1.1793011928485427e-05,2.431911357215141e-07,8.609792103935718e-07,4.7119700201469445e-07
700,5.420712100758302e-06,7.437958422597049e-11,1.904792681616957e-10,3.110896017608586e-11,3.676051234708304e-09,1.202266152675691e-10,1.2022665775417873e-10,1.2022514044987848e-10,1.2022596818219109e-10,1.2022424381122812e-10,1.2022429501195592e-10,1.2022482595896182e-10,1.202244487348924e-10,5.517037856451306e-10,2.4267001680255944e-10,2.4282000762604333e-10,2.188508277545963e-10,2.1885083442425062e-10,2.1885083281542748e-10,2.188508237550199e-10,1.0211854682826967e-07,1.6861907617701602e-10,5.251947655432776e-11,2.1189346246924302e-10,3.754004473762729e-09,1.2277455285985854e-10,1.2277423947767644e-10,1.2277467953346372e-10,1.2277270879336122e-10,1.2277265865004e-10,1.22773205289752e-10,1.2277383470748368e-10,1.227753280648495e-10,2.4148176243893767e-11,2.4148173538007386e-11,2.4148170721491018e-11,2.4148168200069323e-11,3.25333172167248e-13,1.8085245893386324e-13,4.284392632645753e-05,1.654602004940458e-07,1.4939211644107275e-06,7.009409920875319e-06,7.339741398545255e-09,1.3643252589513407e-08,5.0253355488634e-08,4.5558009668652654e-07,1.1410886557200065e-07,1.0037894421663256e-08,9.386099166637041e-07,1.5101048312509138e-09,7.105508274513838e-06,9.62304808122627e-05,7.586775498532327e-07,1.1793011607290707e-05,2.4319112726993374e-07,8.609792378858852e-07,4.712005562007662e-07
800,5.420708381098468e-06,7.437560764515821e-11,1.9047670071099845e-10,3.110782471300217e-11,3.6759118162166523e-09,1.2022143754800056e-10,1.2022186795236532e-10,1.202228292669547e-10,1.2022455389642564e-10,1.202217957916772e-10,1.2022183234893097e-10,1.2022187032277666e-10,1.2022149766122621e-10,5.517042786112025e-10,2.426700166504007e-10,2.4282000753077854e-10,2.1885080965656158e-10,2.188508143682989e-10,2.1885081180183896e-10,2.188508106583333e-10,1.0212373188444418e-07,1.6862241558467852e-10,5.2520519074145484e-11,2.1189476176025269e-10,3.753993624212944e-09,1.2277709685195244e-10,1.2277783601558926e-10,1.22778301018318e-10,1.2277605870112302e-10,1.2277598454124973e-10,1.2277535809455717e-10,1.2277806030469573e-10,1.2277838161678857e-10,2.414818396224217e-11,2.414818222905486e-11,2.4148190139096237e-11,2.4148175998154485e-11,3.253334286389072e-13,1.8085245007767633e-13,4.2843912017561694e-05,1.6546022635200034e-07,1.4939576919730132e-06,7.009414603753803e-06,7.340150322474028e-09,1.3643251859212749e-08,5.025327169340917e-08,4.555784775260169e-07,1.1410855827918852e-07,1.0037897181595957e-08,9.386098984904053e-07,1.5101056151881394e-09,7.105505080743643e-06,9.62305380056449e-05,7.586774656206327e-07,1.179301908320033e-05,2.431911076037925e-07,8.60979134761051e-07,4.7123712056614143e-07
900,5.420703496267603e-06,7.437343103243811e-11,1.904757607175901e-10,3.110580568034792e-11,3.675916482279589e-09,1.2021962877028417e-10,1.2021969094590806e-10,1.2021965512633427e-10,1.202210683492268e-10,1.2022152689758897e-10,1.2022009871514799e-10,1.2021992277962984e-10,1.2022065289995125e-10,5.517044227080294e-10,2.426700163146642e-10,2.42820007445756e-10,2.1885080734522146e-10,2.1885081587738043e-10,2.1885080978107105e-10,2.1885080936849125e-10,1.0213137769578725e-07,1.6862526817394308e-10,5.2522328287097714e-11,2.118971740521787e-10,3.754147594322771e-09,1.2278043770361172e-10,1.2278105347679502e-10,1.2278027007092402e-10,1.2277882458249007e-10,1.2278109158231233e-10,1.2277918525741478e-10,1.2278070136023625e-10,1.2278022432499015e-10,2.4148190753218427e-11,2.4148192250179964e-11,2.4148189445277906e-11,2.4148199346843496e-11,3.253334859164702e-13,1.808526436516261e-13,4.284392651214495e-05,1.6546025705807145e-07,1.494046514300025e-06,7.009427133935221e-06,7.340308071131225e-09,1.3643223279385845e-08,5.0253388008693415e-08,4.5558088916715026e-07,1.1410839923974275e-07,1.0037905424025009e-08,9.386098975660805e-07,1.5101059403467963e-09,7.1055051825741125e-06,9.623060982318698e-05,7.586779620593564e-07,1.1793016850696989e-05,2.4319110779967464e-07,8.609792189996806e-07,4.712499260296053e-07
