milliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.420700699354875e-06,7.436902582567718e-11,1.904692811447492e-10,3.1103632223969404e-11,3.6756156782196872e-09,1.202104299328028e-10,1.2020839948399e-10,1.202094524433845e-10,1.202087301130209e-10,1.202099600221333e-10,1.2021037860735335e-10,1.2021033410130327e-10,1.2020876653532037e-10,5.517200615876526e-10,2.426700000158663e-10,2.428199999456908e-10,2.1885000407257207e-10,2.188499988646346e-10,2.188500004106753e-10,2.188499962015437e-10,1.0214270216885522e-07,1.6863112141644244e-10,5.2529401742161595e-11,2.1190003449624257e-10,3.754373365828864e-09,1.2279020709053796e-10,1.2279128400038905e-10,1.2279131556468127e-10,1.2278924197924566e-10,1.2278900588826153e-10,1.2278846824351917e-10,1.227895275418604e-10,1.2279119396794947e-10,2.4149000164774736e-11,2.4148993571000692e-11,2.4149001505365126e-11,2.414899388634882e-11,3.2535004281330585e-13,1.8086006467642426e-13,4.284400395471423e-05,1.65459996470025e-07,1.4934042801073803e-06,7.009403271206616e-06,7.336974708292508e-09,1.3643007966603949e-08,5.0253951292686334e-08,4.5559155193640094e-07,1.1411001725824604e-07,1.0038002512082392e-08,9.386099978530334e-07,1.510100156894607e-09,7.105498394164453e-06,9.623001915261448e-05,7.586698109284467e-07,1.1792998496477323e-05,2.431899839236281e-07,8.609800504889526e-07,4.7107701788327514e-07
100,5.4207498365100845e-06,7.439314722785217e-11,1.9049140626119963e-10,3.11166853938752e-11,3.676569087515695e-09,1.202427228196246e-10,1.202428568097458e-10,1.20243784281298e-10,1.2024140767081218e-10,1.2024262402442368e-10,1.2024269789872369e-10,1.202411290711356e-10,1.20243012321378e-10,5.51702702750308e-10,2.426700174561216e-10,2.42820007963428e-10,2.188508793469622e-10,2.1885087004248738e-10,2.1885088528543864e-10,2.1885087487953042e-10,1.0208915318123638e-07,1.6860569715392222e-10,5.250832910009345e-11,2.1188614605816997e-10,3.753476745249146e-09,1.2275673692165012e-10,1.2275816042799012e-10,1.2275858560232304e-10,1.2275798444380731e-10,1.2275616997903784e-10,1.2275645900569493e-10,1.2275894332051358e-10,1.2275765915927016e-10,2.414812873198818e-11,2.4148129440160224e-11,2.414812867562981e-11,2.414811489364552e-11,3.2533265433676407e-13,1.808519532852648e-13,4.2843987839578843e-05,1.6546002445055901e-07,1.4934895397941898e-06,7.009370804104855e-06,7.337697164068532e-09,1.3643016159674886e-08,5.0253904076407716e-08,4.5558812650451505e-07,1.1410986566702367e-07,1.0037978610395055e-08,9.386099819359537e-07,1.510100468686841e-09,7.10549527311876e-06,9.623010068285531e-05,7.586751818448649e-07,1.1793001422718894e-05,2.431911086989503e-07,8.609789698720845e-07,4.7109211373190736e-07
200,5.420743855407343e-06,7.438872547698346e-11,1.9048936302329706e-10,3.1115523329829654e-11,3.676462217408447e-09,1.2024105242362902e-10,1.2023845212125863e-10,1.2023875982585646e-10,1.2023982123234747e-10,1.2024036792153473e-10,1.2023837430625842e-10,1.2023962718063108e-10,1.2023912329894548e-10,5.51702828461821e-10,2.426700174167863e-10,2.428200079236507e-10,2.188508738363159e-10,2.1885086918429742e-10,2.188508669277497e-10,2.1885087023289523e-10,1.0209649332865833e-07,1.6860867636002047e-10,5.25106295247252e-11,2.118886801648642e-10,3.753579032290665e-09,1.2276179646809918e-10,1.2276177470099778e-10,1.2276112044915018e-10,1.2276147437194777e-10,1.2276171951074493e-10,1.2276072857358935e-10,1.2276011609061967e-10,1.2276133883230852e-10,2.4148122887453648e-11,2.4148132030035296e-11,2.4148129287805084e-11,2.414813698000549e-11,3.253327293875149e-13,1.8085201471925938e-13,4.284398194275097e-05,1.6546005291931618e-07,1.493527289594838e-06,7.009372192444971e-06,7.338054767345959e-09,1.3643139137091614e-08,5.025372114038387e-08,4.5558414275488e-07,1.1410962825272351e-07,1.0037966608702156e-08,9.386099679584104e-07,1.5101012600065347e-09,7.105496983470047e-06,9.623013776003665e-05,7.586759898771747e-07,1.1792999310324228e-05,2.4319112237329143e-07,8.609789609498375e-07,4.7109585750762005e-07
300,5.420737934739656e-06,7.438672584322907e-11,1.9048632600872814e-10,3.111417920469603e-11,3.676397407261134e-09,1.202381920156007e-10,1.2023807941223652e-10,1.2023818402225594e-10,1.2023764731577406e-10,1.2023790640184965e-10,1.2023834103769553e-10,1.202357346588514e-10,1.2023530391075085e-10,5.517029722481056e-10,2.4267001733187867e-10,2.428200079165811e-10,2.1885086273105865e-10,2.1885086196349333e-10,2.1885086256303232e-10,2.1885086607033408e-10,1.0210373702689932e-07,1.6861158123036184e-10,5.2512929812122836e-11,2.1188957365066354e-10,3.753624236938848e-09,1.2276336374987648e-10,1.2276369198916583e-10,1.227622559162757e-10,1.227640384100202e-10,1.2276428226663195e-10,1.2276422663890094e-10,1.2276314375501527e-10,1.2276365471188771e-10,2.4148133304448306e-11,2.414813052019371e-11,2.4148131337604538e-11,2.414813220145832e-11,3.2533282309713845e-13,1.808520851164915e-13,4.284399802463452e-05,1.6546007297065055e-07,1.4936336107174442e-06,7.009382888701185e-06,7.338530095896211e-09,1.3643152523837586e-08,5.025373885056322e-08,4.555828194929501e-07,1.1410922989303947e-07,1.0037955937302761e-08,9.38609962317903e-07,1.5101021730944036e-09,7.105503404789036e-06,9.623021039973764e-05,7.586761345171048e-07,1.1793007948034123e-05,2.431911561836309e-07,8.609791211985952e-07,4.711177162435559e-07
400,5.420729112770646e-06,7.43845059583795e-11,1.904860675010899e-10,3.111308314855568e-11,3.676303342683906e-09,1.2023461146428566e-10,1.202339343168109e-10,1.2023283214401927e-10,1.2023460918088804e-10,1.2023251106401625e-10,1.2023513467057615e-10,1.2023318236965176e-10,1.202324446737529e-10,5.517034328616256e-10,2.4267001712967747e-10,2.4282000782679996e-10,2.1885085608390517e-10,2.1885085005371182e-10,2.1885085148274825e-10,2.1885085608637306e-10,1.0210557703097778e-07,1.686122826280999e-10,5.251322036248222e-11,2.1189011423697495e-10,3.7537020468988356e-09,1.2276488505241572e-10,1.227662315229916e-10,1.227657274210685e-10,1.2276576986320716e-10,1.2276693922955255e-10,1.2276530698136043e-10,1.2276503283991057e-10,1.2276492820549963e-10,2.4148142227898184e-11,2.4148152001698956e-11,2.414814467841107e-11,2.4148139105281015e-11,3.253328790917411e-13,1.808521260436085e-13,4.284398075245837e-05,1.6546010845584605e-07,1.4936852915835414e-06,7.009391815970794e-06,7.3385117352588915e-09,1.3643186030272057e-08,5.0253583109322966e-08,4.555815668948827e-07,1.141092458388716e-07,1.0037944539852597e-08,9.386099572919692e-07,1.5101028352887666e-09,7.105498942986119e-06,9.62303088640952e-05,7.586764532025391e-07,1.1793009782968423e-05,2.4319113695391033e-07,8.609790807698466e-07,4.7115584883741e-07
500,5.4207269752472e-06,7.438254492208226e-11,1.9048213959604497e-10,3.111113680758565e-11,3.676192095045046e-09,1.202316808214066e-10,1.2023132037865712e-10,1.2023172592360184e-10,1.2023259297943316e-10,1.2023215559848716e-10,1.202300698099284e-10,1.2023276464442186e-10,1.202305130953543e-10,5.517036032830617e-10,2.426700170789883e-10,2.428200077301452e-10,2.1885084227694597e-10,2.1885084055968978e-10,2.188508521106082e-10,2.188508491351973e-10,1.021115241224854e-07,1.6861591558825483e-10,5.251560228980765e-11,2.1189166894395154e-10,3.7538023400546445e-09,1.2276946534491488e-10,1.2276771620279641e-10,1.2276897266943094e-10,1.2277015758141216e-10,1.2276787428339948e-10,1.227673847794724e-10,1.227703979996968e-10,1.2277024308896154e-10,2.414814716824922e-11,2.414814897786867e-11,2.414815025584573e-11,2.414815443850877e-11,3.2533306321693334e-13,1.8085229511416209e-13,4.284397420147642e-05,1.654601563659438e-07,1.4937747797366174e-06,7.009398210131077e-06,7.3391271251010095e-09,1.3643208428785336e-08,5.0253561763882565e-08,4.5558195332300055e-07,1.1410911479532959e-07,1.0037931083451324e-08,9.386099456987264e-07,1.510103708034932e-09,7.105501762616573e-06,9.623039341854571e-05,7.586768984002252e-07,1.1793010151897235e-05,2.4319112533727624e-07,8.609791242020457e-07,4.7118269172522816e-07
600,5.420716939886854e-06,7.438156084041304e-11,1.9048118505887404e-10,3.110938970562049e-11,3.676111179901743e-09,1.2022714168484408e-10,1.202297276526981e-10,1.202296784159074e-10,1.202289504061973e-10,1.2022746293491962e-10,1.2022759844612803e-10,1.2022793728673272e-10,1.2022912035324274e-10,5.517038358658458e-10,2.426700167728151e-10,2.428200077195155e-10,2.1885083966443781e-10,2.1885083778649166e-10,2.1885083309400516e-10,2.1885083967434956e-10,1.0211570869351393e-07,1.686178894526454e-10,5.2518384959383986e-11,2.11892556845069e-10,3.753919027916016e-09,1.2277293641936937e-10,1.2277173107243861e-10,1.2277099775700686e-10,1.2277089175571224e-10,1.2277215465397284e-10,1.2277084884230463e-10,1.2277237039177346e-10,1.2277249612381524e-10,2.414816510266523e-11,2.4148170791040916e-11,2.4148170831307897e-11,2.4148168609589658e-11,3.2533307959325785e-13,1.8085236346967258e-13,4.2843961726211055e-05,1.6546014180999353e-07,1.4938536414075277e-06,7.009400853114542e-06,7.339453980080447e-09,1.3643265199298985e-08,5.025347357154456e-08,4.555823101703515e-07,1.1410880257750018e-07,1.00379035920373e-08,9.386099214123893e-07,1.5101043966089095e-09,7.105501470019158e-06,9.623045629548518e-05,7.586772521606213e-07,1.1793014492750472e-05,2.431910952962992e-07,8.609790205492249e-07,4.7119114614067094e-07
700,5.420714980783064e-06,7.437813789506055e-11,1.9047904805841954e-10,3.1108286247953427e-11,3.6760714604151735e-09,1.2022442145457926e-10,1.2022433596929616e-10,1.2022676636560095e-10,1.202266682012824e-10,1.202258615321771e-10,1.2022442349702393e-10,1.2022440381828968e-10,1.2022546786924596e-10,5.517041199886995e-10,2.4267001660981586e-10,2.4282000752750533e-10,2.1885082590633043e-10,2.188508258482249e-10,2.1885083402601388e-10,2.1885081997894456e-10,1.0212092470477089e-07,1.686194908869052e-10,5.251887428601895e-11,2.1189379632864682e-10,3.754004360889502e-09,1.2277275038905158e-10,1.2277303191654575e-10,1.2277539788134498e-10,1.2277552511934912e-10,1.2277586922982637e-10,1.2277334961935742e-10,1.2277328655457435e-10,1.2277485400086076e-10,2.4148173297945132e-11,2.414816878870831e-11,2.4148177650144558e-11,2.414817685229415e-11,3.253332297733291e-13,1.8085240454037422e-13,4.2843943782927165e-05,1.6546018402584994e-07,1.4939295239961987e-06,7.009409019589067e-06,7.339881131523177e-09,1.3643252473071224e-08,5.0253330179342715e-08,4.555803513953221e-07,1.1410853258005509e-07,1.0037901661934887e-08,9.386099116642782e-07,1.5101049114955015e-09,7.1055073935921624e-06,9.623048027158763e-05,7.586775615120989e-07,1.1793012385505655e-05,2.431911044852441e-07,8.609792239425867e-07,4.7120329301947606e-07
800,5.420706294296445e-06,7.437701964276144e-11,1.904776020961493e-10,3.110707439167872e-11,3.675952525881707e-09,1.2022435189725363e-10,1.202229747413399e-10,1.2022330855761142e-10,1.202244105643589e-10,1.202242572054305e-10,1.2022316470557086e-10,1.2022440598267067e-10,1.202216827596513e-10,5.517043291129423e-10,2.426700165650355e-10,2.42820007559192e-10,2.1885081498340912e-10,2.188508148568197e-10,2.1885082074630386e-10,2.1885081155128634e-10,1.0212189687116853e-07,1.6862159328712904e-10,5.2522359362903135e-11,2.118950113831452e-10,3.754012993821805e-09,1.2277639378731102e-10,1.2277686744179706e-10,1.2277625922692106e-10,1.2277677306090363e-10,1.2277725651968344e-10,1.2277767973589482e-10,1.2277751232054895e-10,1.227772443234235e-10,2.4148177032344936e-11,2.4148179420306216e-11,2.414817756335423e-11,2.4148187507691907e-11,3.253335090315148e-13,1.808525676073714e-13,4.284392158171626e-05,1.6546019957754468e-07,1.4939788226880424e-06,7.009417573354881e-06,7.3402851945698966e-09,1.3643201987512622e-08,5.025344481231668e-08,4.555796404085064e-07,1.141087016167431e-07,1.0037909389771835e-08,9.386099079101056e-07,1.5101055488173545e-09,7.1055037198276025e-06,9.623056512501084e-05,7.586777217045964e-07,1.179301471495541e-05,2.43191072613308e-07,8.60978984819756e-07,4.712338898195702e-07
900,5.420699546140135e-06,7.437506368422829e-11,1.9047478693184266e-10,3.110579814182001e-11,3.6759175464856246e-09,1.2021952120570056e-10,1.2021963138193612e-10,1.202191512488357e-10,1.202189458263533e-10,1.202192935551873e-10,1.2022146451221874e-10,1.2021900530231809e-10,1.2021945918297667e-10,5.517045528046449e-10,2.4267001655851195e-10,2.428200074421404e-10,2.1885081454134366e-10,2.188508056002054e-10,2.1885080342112063e-10,2.1885080166564435e-10,1.0212613208124555e-07,1.6862500500169099e-10,5.2523989121375377e-11,2.118970917798031e-10,3.7541094329118285e-09,1.2277902568628395e-10,1.2277955559277835e-10,1.227811262317651e-10,1.227787977102486e-10,1.2277938467920603e-10,1.2278054336925795e-10,1.2277988483084156e-10,1.22779130046413e-10,2.414819243054404e-11,2.4148190263077137e-11,2.414819615346599e-11,2.4148196053265175e-11,3.253335489041755e-13,1.8085263775326024e-13,4.2843910046607756e-05,1.6546024545907896e-07,1.4940270109654521e-06,7.0094265549766465e-06,7.34025309161273e-09,1.3643277946871605e-08,5.0253299117706755e-08,4.5557990448113915e-07,1.1410852212409526e-07,1.0037909264801744e-08,9.386098883792376e-07,1.5101058653248445e-09,7.1055069810007935e-06,9.623066806851746e-05,7.586777970900916e-07,1.179301917902047e-05,2.431910912234264e-07,8.609789667398955e-07,4.712594194946494e-07
