milliseconds,T,C,F_beta,F_gamma,M1,M2
0,10000000000.0,2000000.0,0.0,0.0,0.0,0.0
100,10000314955.980978,4997550.734841731,496236057.67064357,35.53375081970224,0.15388917320314022,0.00999280345474938
200,10000629727.95867,7993003.918398758,742681521.1173131,101.1158508092425,0.3075569054727104,0.019971227628098095
300,10000944173.31363,10986361.018442113,865071308.4741989,196.4200858292814,0.46100351545406965,0.029935293211303254
400,10001258151.17742,13977623.50171684,925858340.8192247,321.12356707576595,0.6142293213341639,0.03988502086585481
500,10001571522.406618,16966792.833941612,956071444.2566956,474.9066973270277,0.7672346408420789,0.04982043122351164
600,10001884149.557339,19953870.479809456,971088279.3317327,657.4531375907544,0.9200197912496999,0.059741544886344186
700,10002195896.86014,22938857.902988486,978559445.5043393,868.449773988221,1.0725850893723698,0.06964838242677727
800,10002506630.19538,25921756.5661226,982284477.7627803,1107.586684995731,1.2249308515695454,0.07954096438763282
900,10002816217.06906,28902567.930832203,984149617.3383106,1374.5571090488972,1.3770573937454542,0.08941931128217237
1000,10003124526.589191,31881293.45771492,985089721.891073,1669.057412608484,1.5289650313497465,0.09928344359413943
1100,10003431429.442226,34857934.606346324,985572201.6113676,1990.7870580580795,1.6806540793781564,0.10913338177780242
1200,10003736797.870361,37832492.835280634,985823700.8933431,2339.448572503988,1.8321248523731501,0.1189691462579968
1300,10004040505.649202,40804969.602051444,985965232.5025287,2714.7475169362588,1.9833776644245722,0.12879075743016707
1400,10004342428.065401,43775366.363172404,986053010.3324201,3116.392454963314,2.134412829170307,0.13859823566040957
1500,10004642441.894999,46743684.574138016,986110456.9188374,3544.0949223707403,2.2852306597969303,0.14839160128551496
1600,10004940425.382326,49709925.689424254,986153838.5244,3997.569397238211,2.435831469040348,0.15817087461300966
1700,10005236258.219,52674091.16248933,986191107.6872203,4476.533269947582,2.586215569186453,0.1679360759211983
1800,10005529821.523369,55636182.44577438,986225105.302363,4980.70681358017,2.736383272071768,0.17768722545920573
1900,10005820997.820284,58596200.99070418,986256800.5297086,5509.813154633749,2.8863348890840945,0.18742434344701916
2000,10006109671.021244,61554148.24768789,986286407.5282031,6063.578244029031,3.036070731163162,0.19714745007553
2100,10006395726.404934,64510025.66611973,986314307.6090167,6641.730828470261,3.1855911088012663,0.20685656550657575
2200,10006679050.598146,67463834.6943797,986341741.6207225,7244.002422130592,3.3348963320439164,0.21655170987298156
2300,10006959531.557026,70415576.77983426,986369552.6391304,7870.127278596474,3.483986710490475,0.22623290327860227
2400,10007237058.548466,73365253.36883709,986397478.8600395,8519.842362951396,3.632862553294805,0.23590016579836395
2500,10007511522.13193,76312865.90672982,986425047.3004342,9192.887324240866,3.7815241691659067,0.2455535174783056
2600,10007782814.14161,79258415.83784258,986452108.6943122,9889.004468241455,3.929971866368559,0.25519297833562077
2700,10008050827.668903,82201904.60549496,986478777.9746588,10607.938730520524,4.078205952723963,0.264818568358699
2800,10008315457.045452,85143333.6519965,986504920.2626039,11349.437649998266,4.226226735610371,0.274430307507167
2900,10008576597.825365,88082704.41864745,986530971.5859094,12113.251341785173,4.374034521963732,0.2840282157119307
3000,10008834146.76979,91020018.3457396,986556567.8139172,12899.132472146846,4.521629618278323,0.2936123128752158
3100,10009088001.828512,93955276.87255679,986582180.9981632,13706.836230784344,4.669012330607389,0.30318261887060977
3200,10009338062.126223,96888481.4373758,986607467.6076972,14536.120307371883,4.816182964563777,0.3127391535431025
3300,10009584227.944677,99819633.47746691,986632545.7859204,15386.74486437398,4.963141825320566,0.3222819367091278
3400,10009826400.70849,102748734.42909466,986657193.1118373,16258.472513168621,5.109889217611703,0.3318109881566042
3500,10010064482.969673,105675785.72751859,986681397.4504364,17151.06828910419,5.256425445732633,0.3413263276449763
3600,10010298378.386255,108600788.80699413,986705090.8161241,18064.299617205736,5.402750813541157,0.35082797490527
3700,10010527991.671421,111523745.10077518,986728344.8527526,18997.936227620823,5.548865624459683,0.3603159496402393
3800,10010753228.701336,114444656.0411088,986751143.3090423,19951.75033395782,5.694770181470521,0.3697902715240599
3900,10010973996.418583,117363523.05923995,986773498.3156346,20925.516473440868,5.840464787120088,0.3792509602026032
4000,10011190202.64086,120280347.58542073,986795396.225939,21919.01118951747,5.985949743527248,0.38869803529397723
4100,10011401756.520187,123195131.04888812,986816864.3958352,22932.013793579015,6.1312253523633,0.3981315163872273
4200,10011608568.055016,126107874.87788793,986837901.4518955,23964.305553612416,6.276291914873416,0.4075514230437284
4300,10011810547.70407,129018580.49969403,986858424.4808605,25015.669048061096,6.421149731893946,0.4169577747983083
4400,10012007607.901094,131927249.34053297,986878478.3533927,26085.89069679202,6.565799103784836,0.4263505911548596
4500,10012199661.8728,134833882.82564282,986898072.374414,27174.75878600877,6.710240330482369,0.4357298915897644
4600,10012386623.935879,137738482.3792583,986917221.328186,28282.06396453417,6.854473711485908,0.44509569555103307
4700,10012568408.72873,140641049.42465058,986935895.1417016,29407.59794014332,6.998499545893212,0.45444802246059834
4800,10012744931.048172,143541585.38413528,986954008.1846201,30551.153202442732,7.142318132407937,0.4637868917148012
4900,10012916108.84872,146440091.67891854,986971615.7831868,31712.52811238119,7.285929769201791,0.47311232267544107
5000,10013081860.226719,149336569.7292519,986988716.6203094,32891.5217846125,7.4293347540531425,0.4824243346787756
