milliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.7105268734171321e-18,1.7105268734171321e-18,3.904632555742072e-20,2.132205341808006e-15,3.1244546775581875e-11,2.4996710162856677e-07,0.05999988000003546,7.849364206791078e-33,8.490107152511339e-14,3.070190715908589e-34,3.904481394510485e-20,1.1998484053915254e-07,7.519657788402683e-11,9.437522407336802e-24
200,1.2516817241687618e-17,1.2516817241687618e-17,4.898924370390712e-19,1.557167538069276e-14,1.2446470462258253e-10,4.998686453494365e-07,0.059999759999857856,8.499028948373585e-31,6.180324649737803e-13,9.807721886430727e-32,4.898618355981418e-19,2.3993947415357667e-07,3.0024168676009357e-10,1.9063739410782172e-22
300,4.378319864572587e-17,4.378319864572587e-17,2.6970267750224168e-18,5.432243905455847e-14,2.7911134099487665e-10,7.497046174352306e-07,0.059999639998907964,2.4807225565289878e-29,2.1464622131180766e-12,3.491773331790542e-30,2.696763889743249e-18,3.598639096271333e-07,6.751691957928004e-10,1.6281092221280816e-21
400,9.524986196615144e-17,9.524986196615144e-17,6.80836164602873e-18,1.1803837722798987e-13,4.951831465413185e-10,9.99475035636707e-07,0.05999951999719826,8.441005765038579e-29,4.6549573622983916e-12,1.2110202840563813e-29,6.8076164417216676e-18,4.797581539834627e-07,1.1999384531853235e-09,4.612143282836025e-21
500,1.800762794474292e-16,1.800762794474292e-16,1.5114937243768628e-17,2.2282901288836948e-13,7.720329338533646e-10,1.2491799077653594e-06,0.059999399994079834,2.599972626139923e-28,8.76580675069321e-12,3.803501414426674e-29,1.5113045091569785e-17,5.996222245641836e-07,1.874534401642708e-09,1.1707436258072163e-20
600,3.006596855660567e-16,3.006596855660567e-16,2.853372523527429e-17,3.7155767771945543e-13,1.109542572346522e-09,1.4988192434344057e-06,0.059999279989441004,7.471200686110264e-28,1.458488584339173e-11,1.239973500627169e-28,2.852975160519715e-17,7.194561390753781e-07,2.698935615728454e-09,2.4548705793276828e-20
700,4.670907262368794e-16,4.670907262368794e-16,4.954967761565172e-17,5.76473177884188e-13,1.5072154598495308e-09,1.7483930605708535e-06,0.05999915998279368,1.8710659324337752e-27,2.2578453693336188e-11,3.383339344817868e-28,4.954208676767886e-17,8.392599320166885e-07,3.673103319973245e-09,4.680419433163709e-20
800,6.883739025142414e-16,6.883739025142414e-16,8.18766532917187e-17,8.48298824917569e-13,1.9646255019213978e-09,1.997901380306538e-06,0.05999903997371097,5.464458085257483e-27,3.314085444776716e-11,1.28579596137319e-27,8.186253429534953e-17,9.590336502955183e-07,4.7969912856394725e-09,8.672381858178301e-20
900,9.73000940078313e-16,9.73000940078313e-16,1.2856765306134636e-16,1.19720945149497e-12,2.481365747367336e-09,2.247344221028021e-06,0.05999891996178767,1.2792388128381818e-26,4.665050046899077e-11,3.373401052468665e-27,1.285430499691451e-16,1.0787773333068146e-06,6.070559408168216e-09,1.5059323389331146e-19
