miliseconds,P
0,10.02940543232244
100,10.048657292849198
200,10.066170677155172
300,10.172518504641353
400,10.247000097850368
500,10.274980017656523
600,10.30467493944538
700,10.39634174358074
800,10.425034047769326
900,10.480934007330001
1000,10.550549189871266
1100,10.612784184013039
1200,10.611804761737988
1300,10.717581019633746
1400,10.764913421993217
1500,10.805820760711248
1600,10.807912668424137
1700,10.897571759184151
1800,10.964162539652207
1900,10.978537391073095
2000,11.035186171969745
2100,11.119072118912042
2200,11.168600615499043
2300,11.193665060280281
2400,11.304741173990601
2500,11.300574223680181
2600,11.353471988957585
2700,11.41292316309979
2800,11.452645339180018
2900,11.533036149175553
3000,11.56041263403779
3100,11.665185844597142
3200,11.66750675164605
3300,11.779392677335872
3400,11.805540687583763
3500,11.876842772457515
3600,11.893685524600432
3700,11.995997613310196
3800,12.023436646444816
3900,12.106561829873508
4000,12.13555504801327
4100,12.196885620019508
4200,12.248719492931793
4300,12.295230458255253
4400,12.331552951231814
4500,12.423809743910564
4600,12.461767938548695
4700,12.535885645595872
4800,12.533676448200996
4900,12.65714237116994
5000,12.677448665660664
