milliseconds,P
0,9.9839230474706
100,10.09245318142586
200,10.12428192651043
300,10.168928182627354
400,10.221472026367856
500,10.29231256944936
600,10.317198213012725
700,10.337092541220782
800,10.40720653193678
900,10.507099251711285
1000,10.511692152539897
1100,10.579241541623944
1200,10.651768633008034
1300,10.696368084617527
1400,10.741628884620777
1500,10.821710864067699
1600,10.841339781052637
1700,10.902941589766968
1800,10.940078744928714
1900,10.990953949672946
2000,11.051287100849407
2100,11.137260202037123
2200,11.163814034342183
2300,11.246678809032908
2400,11.310816074711148
2500,11.309368478629102
2600,11.374081773609623
2700,11.422422468164095
2800,11.495113014565394
2900,11.551372159757268
3000,11.596743476729769
3100,11.619160107450588
3200,11.708846487223722
3300,11.717646000088447
3400,11.793344731059703
3500,11.896222907018963
3600,11.935175464089307
3700,11.993146287574485
3800,12.051705118794477
3900,12.048905566002928
4000,12.100701282530547
4100,12.214733903574496
4200,12.230958151736113
4300,12.272645567067352
4400,12.356742609225904
4500,12.39977703115957
4600,12.484167866438872
4700,12.504570571677952
4800,12.587418899790405
4900,12.604134469931601
5000,12.660405512674233
