miliseconds,P
0,9.981892225641523
100,10.059026180549173
200,10.066358961942969
300,10.122861812847239
400,10.199668116293067
500,10.237113017935776
600,10.289239787503849
700,10.348818966746146
800,10.39365043771
900,10.468519360286509
1000,10.533636746742353
1100,10.55568330935516
1200,10.623843569139186
1300,10.706624287342304
1400,10.71793958507253
1500,10.753924100040503
1600,10.880356182379268
1700,10.929104645928287
1800,10.969792867671345
1900,11.01481158715044
2000,11.030983574878423
2100,11.094393509680991
2200,11.130333562002464
2300,11.208263349169117
2400,11.28960494648539
2500,11.300456660775819
2600,11.395609201080864
2700,11.41115878847003
2800,11.496161092171144
2900,11.56796866081636
3000,11.610778409171138
3100,11.62592791304392
3200,11.726052659225319
3300,11.72643278182017
3400,11.829697070031582
3500,11.876820696691695
3600,11.888787443304839
3700,11.977731675060198
3800,11.998695278928594
3900,12.094744071182756
4000,12.12158459559522
4100,12.210160651780905
4200,12.241211150656675
4300,12.295254662065423
4400,12.352003753791235
4500,12.395197462676487
4600,12.476580982961597
4700,12.53905500820741
4800,12.592877865135007
4900,12.654374422389045
5000,12.697652135205272
