miliseconds,P
0,10.024393787541975
100,10.015545239738634
200,10.135367915537437
300,10.164495136626273
400,10.172381922606013
500,10.281788268413974
600,10.280055558594963
700,10.342469992024252
800,10.387549348791996
900,10.50808003309611
1000,10.550171653474615
1100,10.56672444836724
1200,10.665011015474
1300,10.696959337271943
1400,10.752161578772853
1500,10.775185250683062
1600,10.86424134312561
1700,10.86446087648905
1800,10.960856423391716
1900,10.973076598530922
2000,11.052271735327004
2100,11.12412610365868
2200,11.158672646812454
2300,11.223016996569694
2400,11.258378757768902
2500,11.354634547497731
2600,11.340852830768029
2700,11.471654421982416
2800,11.492873360581873
2900,11.53938243231467
3000,11.565907674462252
3100,11.619356842778073
3200,11.690965809727443
3300,11.731573128524804
3400,11.795822640682012
3500,11.864189111133486
3600,11.93445551125448
3700,11.98109846619875
3800,12.056923280015162
3900,12.076195442581739
4000,12.135380093902327
4100,12.167426268110942
4200,12.214293011685584
4300,12.297094014246616
4400,12.359497783367555
4500,12.402485705360814
4600,12.445177178709702
4700,12.512586677236893
4800,12.60345225167128
4900,12.627708069099304
5000,12.649249582712445
