miliseconds,SAM,A,P,S,D,aS,aD,Vmaxodc,Vmaxssat,Vmaxsamdc,Antz
0,0.01654220275243242,0.009998703215510139,0.17680034556187738,0.009998527242349975,0.011902988738352282,0.01001332414690612,0.01000199862210116,1.418143780943705,0.6828470093517549,0.4206029501275167,0.5744609980451265
100,0.02995289831085668,0.00994286968105462,0.504901785925366,0.010002474367085443,0.020486400407428246,0.0018167577218840556,0.009397050399514748,1.4790268687863528,0.6690274061847654,0.44266138201257116,0.5735618130267115
200,0.057882749404390005,0.009908334538978112,0.6459910440491876,0.010020937151218233,0.01736474035858462,0.0002830765738592605,0.008509139399763705,2.543754293357077,0.6509312822657032,0.5905182241294595,0.5729969497363806
300,0.09921838277587974,0.00974381397591742,-0.05284887328364196,0.01002334760020207,0.01742426647369283,3.061444204212231e-05,0.007941167706003456,2.6675989970494434,0.6374354705462061,0.650101416665173,0.5717270426978788
400,0.10079542192619047,0.009659903669937978,1.2724639468744305,0.010016112227731213,0.01827048375035313,-1.019842339960662e-05,0.007455286009945526,3.298411271122915,0.6253837983654403,0.7978638813953757,0.5694865572053203
500,0.12922686829392488,0.009482898397591723,1.2292937388933811,0.010026835735709932,0.019700425715255793,1.8666581567440927e-05,0.006910745632541425,3.769651001942925,0.6188603873672368,0.8727844531003819,0.5689978533674189
600,0.16774614004875565,0.009218524052365475,1.4165167987784077,0.010058275001735855,0.02265382629490701,-3.1684361302374856e-05,0.006474698744588054,4.202735186495956,0.5981327879796233,0.8817228209656128,0.5675726189429707
700,0.1908322132624415,0.008988979233886613,1.8757055556550386,0.010068978709136037,0.02297993466630749,2.558104669863346e-05,0.005844328256300308,4.597215196846626,0.5886382355152437,1.092823153835987,0.5670167431811485
800,0.19582505265561462,0.00879168425311133,2.098660566947693,0.010076862056932506,0.02425998612101763,3.8339813429811335e-05,0.005668857484794881,5.068422634039303,0.5827136670614358,1.1742710996704235,0.5662426289564425
900,0.2234110183479009,0.008515020435265258,1.865561962892262,0.010110353080931016,0.02200060739407956,-6.623370845667096e-06,0.00521651687461241,5.559736865258975,0.5687031561069072,1.2603989926438177,0.5648773251995748
1000,0.26655045110940656,0.008260230481689779,3.3127864010680437,0.01010604891863633,0.021767610610302208,-3.817094570664483e-05,0.004720356123731034,6.070183072746719,0.5573899418495292,1.3606038403338538,0.5635719860600896
1100,0.29317029996907573,0.00801559441557351,3.1803577469183093,0.01014022641319853,0.025379470666960464,-3.0037834630854705e-06,0.004516733088287012,6.772710542149539,0.5478145238571771,1.4434791479169158,0.561812271366786
1200,0.3019915062979692,0.007696544118598903,3.4090679967484108,0.010116089810591212,0.02522403388743267,6.667394914832943e-05,0.0041188403225726955,6.8058011950878985,0.5388856944144459,1.5245610856360325,0.5617392666557617
1300,0.32230497746598535,0.007476733918532485,5.011410033873235,0.010167111287393098,0.026582624234557133,1.697394207357039e-05,0.003851106122337356,7.248833856717379,0.5267999893564507,1.5778452576023003,0.5592699580684016
1400,0.35106301170036625,0.0073008081088226035,4.897129431467053,0.01018390369721055,0.029187123349712674,-3.095819333064384e-05,0.003508061345883933,7.760907318351351,0.5148824206825714,1.640509160657324,0.5579286747601336
