miliseconds,FH2f,DHFRf,FH4,CH2FH4,CH3FH4,CHOFH4,FFH2,HCHO,FGAR,AICAR,MTX1,MTX2,MTX3,MTX4,MTX5,MTX1b,MTX2b,MTX3b,MTX4b,MTX5b
0,0.0011999742475028825,0.6400046120544364,0.4600012925703663,0.25998821697518837,1.629984465255699,1.0000072612378728,0.00033198478484845886,0.007400095567580809,16.490125415335026,3.695000048428435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0012081721797012836,0.639995329924033,0.45887510146874866,0.2619101762374063,1.6298518949470997,0.9993355893791493,0.0003284752518154041,0.0073874265042809814,16.478008752984202,3.695084538439869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0012083408348022423,0.6399874469475945,0.45892175766748544,0.2619428973013543,1.6297315470542608,0.9994298609410612,0.00032851065324752867,0.007383171341194884,16.479268209009767,3.6950218347424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0012084208983918884,0.6399763906065199,0.4589460027094117,0.26196237877769296,1.6295940089212626,0.9995092092041867,0.00032853285728764704,0.00738154716025627,16.48024560985852,3.6950238574152188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0012085044400049006,0.6399735773963149,0.4589804419005943,0.26196138479193276,1.62950019098022,0.999575089613626,0.000328530163053965,0.007381107729803592,16.481576740934813,3.695027661827591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0012086144846173382,0.639964174073916,0.4590168753518242,0.26199665156895807,1.6294111927983699,0.9996259002384423,0.00032854741531004763,0.007380637101073163,16.482308538419275,3.695030746884264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.001208607533572207,0.6399600415595933,0.4590337631555321,0.2620154396478442,1.6293068127967194,0.9996755614964628,0.0003285788950642421,0.007380798155907995,16.483285784587313,3.695032920753626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0012086422151611263,0.6399520472652455,0.4590618280976844,0.26201167413170834,1.6292377463997572,0.9997229356225269,0.0003285852410223828,0.0073804617577595995,16.484047671524635,3.695035763571439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.001208703538509386,0.6399445112174209,0.45908772897826255,0.26202851361929025,1.6291763753726383,0.9997636756911572,0.0003286216297904562,0.007380356670171369,16.484752518653558,3.6950372690456446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0012087937613687232,0.6399340002848432,0.4591022533876313,0.2620410454115469,1.6291251495360815,0.9998006650808615,0.0003286433787892835,0.007380402506495702,16.485353898134118,3.6950394304295724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0012087997656175559,0.6399271317640398,0.4591231193349349,0.26202986344367557,1.629062559991174,0.9998482969974649,0.0003286365703236137,0.0073803556623853,16.48598290056915,3.695040910943601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0012088890596443913,0.6399239385045908,0.4591340781380397,0.26205689415587274,1.6290347933679088,0.9998697551529948,0.0003286256158122327,0.007380483558756657,16.486311254304624,3.6950427607130716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.001208962271082792,0.6399155925888981,0.45914161234818957,0.2620413651244467,1.628981654167555,0.9998940545584993,0.00032866206356071633,0.007380211348656421,16.486821507131832,3.6950443904184276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0012089574057950908,0.6399059994304224,0.4591562785697147,0.2620494718994423,1.6289402394878563,0.9999137693622361,0.00032869015015833105,0.0073801784304823115,16.487334923132785,3.6950450975035762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.0012090427489295198,0.6398988241831807,0.4591632576487385,0.26207716200464454,1.6289126825810636,0.9999345370080911,0.00032868150518404314,0.007380135930703612,16.487520622939417,3.6950462857627753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.0012090678191753967,0.63989760554087,0.4591805821804036,0.2620836415198536,1.6288943408439367,0.9999566664780242,0.00032867300525945577,0.007380199069504418,16.488149525656272,3.6950466611830395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
