miliseconds,FH2f,DHFRf,FH4,CH2FH4,CH3FH4,CHOFH4,FFH2,HCHO,FGAR,AICAR,MTX1,MTX2,MTX3,MTX4,MTX5,MTX1b,MTX2b,MTX3b,MTX4b,MTX5b
0,0.0012000070995621588,0.6400042139571163,0.4599990782960677,0.2600007729946668,1.6299989041289071,0.9999960662424596,0.0003320125065679027,0.0074000679648914105,16.490065810392572,3.6949998260079693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.001208248683121594,0.6399897673562345,0.4588753272153493,0.2619183374520129,1.6298581231429379,0.9993427187710167,0.0003284833252751822,0.007387533777419592,16.477875178212575,3.695084104898836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0012083304819391655,0.639982091742971,0.4589176953921895,0.2619566117642207,1.6297279452912175,0.9994324622805059,0.0003285016562918461,0.007383075064398675,16.47902249563853,3.695022482015509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0012083455821515938,0.6399810465065294,0.4589570900208526,0.2619485417738974,1.6295953185753436,0.9995106443386029,0.0003284969290096125,0.0073816497566531495,16.48027763583674,3.695023917641424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0012085415694145067,0.6399741568991352,0.45898858585049945,0.2619663318949269,1.6295070134010423,0.9995623148505555,0.0003285466378417397,0.0073810016910244285,16.481608866469703,3.6950273587381863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0012085701534016128,0.6399671642592952,0.45900510366869235,0.26198460293088505,1.629399606027962,0.999635272950989,0.00032858151495762026,0.00738075888933829,16.482375078090577,3.695030956926643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0012085718000321632,0.639957278998044,0.4590441465041155,0.26199990207414964,1.6293326972022868,0.9996847896732012,0.0003285748605786987,0.007380781939952675,16.483183332926327,3.695032975580221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.001208667247581598,0.6399474630392756,0.45906480508100894,0.2620227528550942,1.6292466485316932,0.9997269217517357,0.0003285712048872334,0.00738060817906687,16.483962069660908,3.6950356750621927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0012087423925838722,0.6399407295647701,0.45907822993855457,0.2620103913950273,1.629170845642359,0.9997614372593518,0.0003286276630354214,0.007380479161726312,16.484817703464607,3.6950380855285148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0012088487515883733,0.63993841962548,0.45910729446399856,0.26201796499263863,1.6291112658695976,0.9998144629601414,0.0003286227138496931,0.007380500014044029,16.485437486920183,3.695039085078667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.00120884519903382,0.6399276590593881,0.4591106086629655,0.2620305266726113,1.6290728634008436,0.9998329866473064,0.0003286548263991492,0.007380284279778228,16.48574805376208,3.6950414912803407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0012088858036600882,0.6399241058560792,0.4591358904763377,0.2620438164311997,1.629015725127033,0.9998758714460597,0.00032863144454628197,0.007380462449598173,16.48656703286054,3.695043101448171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0012088933573598522,0.6399119277514693,0.4591499849673746,0.26204609896039244,1.6289894069516675,0.9999043543987539,0.00032863929139567705,0.00738042105167231,16.48695728757953,3.695044570765043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0012089171034375926,0.6399033267120853,0.4591537371232687,0.2620574280138109,1.6289352288148127,0.999926045333947,0.0003286917977200757,0.007380186946020635,16.487338561398374,3.695045226059939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.0012089698757279709,0.6399014286615624,0.45917283317103874,0.2620659168180696,1.6289240460268553,0.9999351624244291,0.0003286849454971098,0.007380164569070017,16.487591048161427,3.6950465182510923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.0012089706815079388,0.639895705302254,0.4591816671642033,0.2620771824827136,1.628898715927449,0.9999701023321483,0.00032870869098432855,0.007380182892898733,16.48811614723998,3.6950469517433815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.0012091165656759881,0.6398858227973767,0.4591900692726178,0.2620796992652348,1.6288530674200674,0.9999737842203646,0.0003286997119085824,0.0073801087479187085,16.4884200411478,3.6950471369117075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.0012091104412407132,0.6398841734036074,0.4591891120622244,0.2620912663058672,1.6288529429212608,0.9999935543998361,0.00032871463933392155,0.007380094103810544,16.48870253274056,3.6950476227004128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
