milliseconds,C,P,Q,Qp
0,2.1689760337867017e-05,41.04820611017205,20.000215714252672,13.073627509822716
100,2.032285922430886e-05,41.10603144303577,20.00033308797845,13.046583653126106
200,2.0810256134933073e-05,41.37124553055002,20.000452215727424,13.062538548681736
300,1.8841757883691773e-05,41.65323866924844,20.000976875213794,13.047514959398356
400,1.8858762617003985e-05,41.64355882494898,20.001245178127213,13.006589196763189
500,1.8453570402980963e-05,41.61822125883994,20.001774670314088,12.99009768915427
600,1.7052022678284088e-05,42.03003801071428,20.001885431653996,12.998055926234763
700,1.6252390431337267e-05,42.117848282787385,20.001902582803627,12.96595610820139
800,1.5635631885654625e-05,42.26608361019522,20.001929813938183,12.943082816103049
900,1.7767123829964204e-05,42.35177335747564,20.002283249103378,12.940896521268272
1000,1.5585878236249438e-05,42.23300030701684,20.003279280062017,12.930946412734443
1100,1.4565337579224223e-05,42.45210368513925,20.00305127837159,12.910175224489139
1200,1.5847734898789968e-05,42.49538901935795,20.003871776784905,12.906297735405536
1300,1.5501943684851026e-05,42.84947122352653,20.003550561224756,12.876100481620831
1400,1.54609932818541e-05,42.85618067164463,20.004191277336353,12.86667910203373
1500,1.3816739282959336e-05,42.79682625155896,20.0045773355053,12.844851026143301
1600,1.5018174035172796e-05,42.88674247691827,20.00454573936599,12.839902812128233
1700,1.347653361561231e-05,43.16415404362573,20.004901166612715,12.830527961451896
1800,1.36836244540921e-05,43.321729325495696,20.005285030561865,12.787574642513995
1900,1.1744494598505337e-05,43.247413928896826,20.00534463058373,12.81141219118291
2000,1.1373440438518162e-05,43.478338896852854,20.00548432515395,12.757331910337298
2100,1.205147664221646e-05,43.62462912129129,20.00619916628337,12.744561954135563
2200,1.2593392625598257e-05,43.67288758635326,20.00633358587941,12.752259466330914
2300,1.0803162015092546e-05,43.7953058311465,20.006873201113276,12.71423921574594
2400,1.0444144143698053e-05,43.849254199579974,20.007342165864387,12.735994838437934
2500,1.0730764431327217e-05,44.03882456105614,20.007000726371377,12.720680065903768
2600,1.0787691850671983e-05,44.26027774683858,20.00734571710383,12.663633963688175
2700,9.434354127571032e-06,44.491678452446884,20.008099605145798,12.653150055245245
2800,9.405220630272614e-06,44.31334509524545,20.008403282185046,12.66089999338942
2900,1.152306346782218e-05,44.488820290756976,20.008271295130072,12.651816220366806
3000,8.576257847973093e-06,44.718910301737424,20.00859648337262,12.635431306646451
3100,1.0357455591101075e-05,44.79363153715626,20.008857658102187,12.616952909873032
3200,9.168355903908979e-06,45.047118425158494,20.008890838704545,12.59800876521585
3300,8.942224798944894e-06,44.80910297109204,20.009609267277344,12.56750113927101
3400,1.0315304421566904e-05,45.143282276320114,20.01028758839272,12.543663054760824
3500,9.905874118948578e-06,45.0530877039313,20.009886872564497,12.55623224127274
3600,9.321466224007266e-06,45.243234541110525,20.010729220789955,12.55562715939524
3700,9.13679853288991e-06,45.44252356781146,20.010475342184417,12.528991010742372
3800,8.194866466531282e-06,45.37445572063702,20.011178137267407,12.482213253592127
3900,7.519084675972961e-06,45.78633804129018,20.011006844947293,12.479980282975578
4000,6.4285024104561344e-06,45.83641097662822,20.011308095755723,12.465318973527047
4100,6.809793820686751e-06,46.00065626387107,20.01191207338361,12.46228527602972
4200,7.1594373882359056e-06,45.861209669089284,20.012288388965935,12.436748939069648
4300,6.3409560475834755e-06,45.921715219223756,20.012236528081388,12.433500309353361
4400,7.965274888718929e-06,46.2637638402447,20.01263053861836,12.41031520329946
4500,6.0621553053482755e-06,46.364820781643566,20.013399481210143,12.404179047823236
4600,7.1743774156071754e-06,46.429293372563805,20.01331348083693,12.40881748430534
4700,7.926153476198794e-06,46.613030473733225,20.01350510649524,12.360306454851212
4800,7.547606178471522e-06,46.60544833421128,20.013551775072088,12.343745867725758
4900,7.604707131549784e-06,46.71367445414356,20.014374007374524,12.354040325718035
5000,4.91377523073868e-06,46.77240108572345,20.01449422980234,12.324574357044076
