milliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.00015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,7.944858583470807e-05,6.295428991224091e-05,0.9994107764423682,0.000497348568267011,7.442701890072557e-13,3.541235965320225e-17,2.7082666384068595e-08,2.813006559157212e-07,7.549675828427729e-06,2.1062413577060832e-05,6.784528873538061e-16,1.1027943862127188e-28,1.3629477039853878e-10,0.0
200,7.94328182726925e-05,6.29022792531914e-05,0.9988678630322706,0.0010149376152589539,3.1031609934521894e-12,1.893209327326677e-16,5.672783633301665e-08,1.1854735709377743e-06,7.564135790526178e-06,4.549029481202396e-05,3.084172079719085e-15,1.0412035188000274e-27,3.484366443864972e-10,0.0
300,7.942485072341065e-05,6.286178676845702e-05,0.9983253125694366,0.0015315545063724761,7.074437514534114e-12,4.711355661168044e-16,8.631468768345668e-08,2.7122072765045976e-06,7.559338515213191e-06,6.991261778022249e-05,7.256086664265754e-15,3.7369016860547446e-27,5.624169076014055e-10,0.0
400,7.941693460161778e-05,6.282138376226616e-05,0.997783110958012,0.0020472178653384823,1.2654625787781736e-11,8.807400883429631e-16,1.1584110053037921e-07,4.860230953856033e-06,7.554475969679419e-06,9.431836628793527e-05,1.319313674334036e-14,9.14365315775355e-27,7.762423483417894e-10,0.0
500,7.940903951804926e-05,6.278102280305774e-05,0.9972412577378619,0.0025619294163320024,1.9840267688058994e-11,1.4178265176683692e-15,1.4530715946011424e-07,7.628275856917676e-06,7.549625949479291e-06,0.00011870751463128632,2.0894122330672606e-14,1.8206237614869536e-26,9.898790744743933e-10,0.0
600,7.940116773196401e-05,6.274070977387075e-05,0.9966997525099012,0.0030756908025640615,2.862791270067912e-11,2.0820827492846254e-15,1.74712992616638e-07,1.1015076359288696e-05,7.544780160616395e-06,0.0001430800865952721,3.03578444428639e-14,3.186765823770261e-26,1.2033285626514921e-09,0.0
700,7.939331974726918e-05,6.27004453758181e-05,0.9961585948714557,0.0035885036707406577,3.901411533672312e-11,2.8731978106038097e-15,2.0405874802347539e-07,1.5019369198185817e-05,7.53993723109771e-06,0.00016743610193634663,4.158310523883364e-14,5.1069739147242806e-26,1.4165915514166366e-09,0.0
800,7.938549472848027e-05,6.266022752634133e-05,0.995617784417867,0.004100369667955902,5.099543614018737e-11,3.7908616310149515e-15,2.3334456152460485e-07,1.9639893785741808e-05,7.535099927272742e-06,0.00019177557799051348,5.456870821723328e-14,7.675288825613955e-26,1.6296680036803695e-09,0.0
900,7.937769192727094e-05,6.262005487264788e-05,0.9950773207459724,0.004611290435644589,6.456844474956026e-11,4.834764860540522e-15,2.625705428088773e-07,2.4875393377541592e-05,7.530270224422834e-06,0.00021609853250134875,6.931345884338145e-14,1.098553781174153e-25,1.8425577908741448e-09,0.0
1000,7.936991245856063e-05,6.257993045486853e-05,0.9945372034564698,0.005121267610521661,7.972970833933745e-11,6.004598025828475e-15,2.9173682664088346e-07,3.0724610321104574e-05,7.525443811955554e-06,0.00024040498684671616,8.581616200149889e-14,1.5131606230306938e-25,2.0552619222545e-09,0.0
1100,7.936215529185552e-05,6.25398509643837e-05,0.99399743214723,0.00563030282696664,9.647581107731579e-11,7.300055203676656e-15,3.2084359981467056e-07,3.718629496561308e-05,7.520624827121496e-06,0.0002646949574150545,1.0407562632729679e-13,2.0206981101737066e-25,2.267780485792064e-09,0.0
