milliseconds,bi,ci,ni,bl
0,15.000057056760447,60.00044785123634,14.014496105576958,32.00115506901247
100,14.999180846320863,59.99945079260564,13.925087854691027,31.997776393538704
200,14.998615762426379,59.99931973597914,13.86826127946546,31.99399930656131
300,14.998268688388311,59.99764238365615,13.802228614164012,31.993865536200072
400,14.997942153894847,59.9974223028865,13.775139974928042,31.990445763998377
500,14.997735838692394,59.997400987528366,13.68805981896287,31.987581553943095
600,14.997740477644195,59.99592627044602,13.678247097143695,31.986514604055916
700,14.997569707861356,59.99551048182475,13.622531116822408,31.98313597030317
800,14.997533713250911,59.995703287154036,13.593774067119075,31.981479485717834
900,14.997363223181905,59.99514136936899,13.522530402508202,31.980606042495523
1000,14.997269989907434,59.99469020789464,13.532545026004268,31.977729303170687
1100,14.997311895353533,59.993678950657674,13.49086194840461,31.976641220672338
1200,14.997181570048484,59.993362990123416,13.459717872691947,31.974690092108254
1300,14.997157579261748,59.99265416464345,13.400457792911771,31.973752874627603
1400,14.997051776108554,59.992080183907326,13.411372898271138,31.971881916029023
1500,14.997096038989008,59.99177179182797,13.372615337774976,31.971431165915902
1600,14.996959148544283,59.991474905495956,13.341849728517186,31.96896652149964
1700,14.996965601647645,59.991533759636525,13.346838413432575,31.969368955285862
1800,14.996922881043242,59.990041463071876,13.31959412849138,31.968862164635688
1900,14.99689053283973,59.98962762972039,13.28074584647271,31.967767721834836
2000,14.996835659499792,59.98892222120127,13.301869492482915,31.96592233864538
2100,14.996890415692754,59.98854193752811,13.281312658020822,31.963431786972176
2200,14.996780216868379,59.98845274665519,13.244399648380647,31.96240571634179
2300,14.996815752766437,59.98795865516189,13.236431895262381,31.961411303092966
2400,14.996670010785785,59.98720999778565,13.250096054007587,31.961321231383646
2500,14.996673791073402,59.98685729847668,13.19970186666034,31.960455125283772
2600,14.996733845508105,59.98683870161248,13.183261146048835,31.961086866688422
2700,14.996669937253955,59.98613373598709,13.174107468709403,31.96032865423081
2800,14.996612330188027,59.98621183969708,13.195912987107045,31.958103499167958
2900,14.996609770594503,59.98616906043794,13.200133871984074,31.958350937308182
3000,14.996567981274598,59.98462534190467,13.174339955699779,31.9583935210421
3100,14.996621620655178,59.98530740106278,13.18744378547204,31.956974151985513
3200,14.996501276675033,59.98374931138913,13.154648942229633,31.95661506201837
3300,14.996523647555119,59.98400319405124,13.155044863665045,31.957712595983114
3400,14.996526072110607,59.98402639261214,13.168006485063543,31.95646881026789
3500,14.996526781876948,59.983056839476625,13.138080377387574,31.954459526951933
3600,14.996499590636223,59.98210972618406,13.14373441980695,31.95489499732059
3700,14.996443172474354,59.98248668876477,13.128025661484854,31.955721843067938
3800,14.996498208273664,59.981772344993274,13.123859031981079,31.953460957145772
3900,14.996420831814495,59.98206900000064,13.102737496005576,31.95539308028892
4000,14.996362199577403,59.98099745745325,13.11511091909127,31.953111812145718
4100,14.996362228502079,59.98109987687149,13.126720153907936,31.954654129358726
4200,14.996355247528427,59.98086081685415,13.111441773056924,31.952394702413486
4300,14.996369882154195,59.97988284229568,13.102371376023129,31.954353037170613
4400,14.99637498654719,59.97904843930276,13.104623639822751,31.952413935787117
4500,14.996280523073995,59.979168337232636,13.101953672788492,31.953509519193524
4600,14.99636960841741,59.97841222464165,13.08944932364476,31.952055966972175
4700,14.996254376318516,59.97773687753638,13.103626481990906,31.952116738149872
4800,14.996328233975929,59.97809564369702,13.074961569260706,31.951700786431502
4900,14.996364203281829,59.97707572478258,13.095403421175398,31.952170138577227
5000,14.996236619672436,59.9770403879223,13.113142830736559,31.953182663306595
