milliseconds,bi,ci,ni,bl
0,15.000009420385393,59.99951038952482,13.997778837847013,31.998951379971178
100,14.999097580719972,59.99982129559113,13.936853817245911,31.997395174263964
200,14.99858853202795,59.999410370299515,13.85210259762482,31.994856050385522
300,14.998189226603758,59.998324058634864,13.815150062414656,31.992685455010328
400,14.998025083564814,59.99773002765456,13.755961074006638,31.991282599958627
500,14.997802969757588,59.99647536967222,13.683825606078598,31.988771039052015
600,14.997611304217225,59.99644609728179,13.664534173777549,31.986039978885724
700,14.997611582022873,59.99652568522371,13.600544661511782,31.983302816505496
800,14.997476444376266,59.99540940590212,13.57918313908831,31.982897569021766
900,14.997417918121723,59.994462604966905,13.53239005308547,31.979610356996314
1000,14.997323683888244,59.99465661072411,13.529948539905279,31.97944607785728
1100,14.997343030739886,59.993304372244324,13.482224298999856,31.977700962534126
1200,14.997232227510617,59.992754515396655,13.470207644415286,31.975612972460887
1300,14.997174864191708,59.992927815951354,13.42394440826186,31.972863601727397
1400,14.997089206010077,59.99215033424758,13.42053639524209,31.971902101347016
1500,14.997077938717116,59.99143965660469,13.356330227999921,31.970235573705114
1600,14.997076689879284,59.99077457784267,13.339921958670129,31.968544701726245
1700,14.996917950122432,59.991166611847156,13.348442324916418,31.969837682967622
1800,14.996997910724037,59.99080473864467,13.321156922501821,31.968224832743328
1900,14.996885583318424,59.9901539315828,13.305356061952121,31.965648074628415
2000,14.996897817554585,59.989553159359396,13.275015333255341,31.964522634453125
2100,14.996762851514854,59.98852343922827,13.248767893423617,31.964090325967152
2200,14.99681014924558,59.98881033840779,13.229554140520323,31.963457393868737
2300,14.99673551770458,59.98759566928887,13.243494529136486,31.962467772241997
2400,14.996724763282108,59.988219231273995,13.235349236842797,31.961438346320154
2500,14.996718588801418,59.98691842969706,13.22960917821273,31.961493154344566
2600,14.996694365684878,59.98624796974183,13.226872641783848,31.961707080653344
2700,14.99667921015248,59.98600164845614,13.217246491510643,31.959199090069355
2800,14.996699558273967,59.98663624183669,13.16837735187753,31.959913541126532
2900,14.99657731743706,59.986131062521444,13.164686785472613,31.95907820202643
3000,14.996542421295644,59.984929120267246,13.166474174600054,31.958244736781545
3100,14.99650381661291,59.98494960002767,13.177363345033601,31.958192160575457
3200,14.996466433737362,59.98387649471318,13.174141251232731,31.955828675920504
3300,14.996510480136736,59.98359832621722,13.14863047463782,31.95573951325359
3400,14.996544995023376,59.98323655185327,13.12466478125148,31.956617153253895
3500,14.996513112329014,59.983241495018504,13.158600912176137,31.954479942327303
3600,14.996483723130986,59.9825158826342,13.156470171225488,31.95627881151519
3700,14.996474376583445,59.98215435258093,13.153928717314473,31.95509835081095
3800,14.99637560442835,59.9813925399834,13.119839707527847,31.954704403864184
3900,14.996469083503891,59.9813816473583,13.13059773185363,31.95348704571261
4000,14.99647561124254,59.98120799888983,13.109462173721095,31.95250413497025
4100,14.99640104814909,59.98098109867444,13.09769256181621,31.954515689709954
4200,14.996429659688001,59.9803421059095,13.115567603268836,31.953859639984547
4300,14.996324998707788,59.9801319162456,13.100237732231767,31.952186734023027
4400,14.996372103652082,59.979854316776844,13.128122736257797,31.95366590127133
4500,14.99631336378134,59.97867597901777,13.108365331992951,31.952931706294226
4600,14.996273188677288,59.97918131247446,13.09474143094939,31.953513463016346
4700,14.99633242758992,59.978707971217695,13.10611573370617,31.952234142138586
4800,14.996306068218422,59.978327239504566,13.088735944538337,31.951419254360182
4900,14.996368981841124,59.97814139999642,13.08010631775068,31.952374616554458
5000,14.996278645952955,59.97760465678661,13.11203407084804,31.95134534595371
