milliseconds,C_m,C_e,H_m,H_e,L,Inflam,B,D
0,9.999889766934821,10.000067076102383,10.000964461706925,9.977170182744644,1599.9946585450543,139.95832335378844,300.0212575365413,0.0
100,9.999873783947905,10.000323255662419,9.99821870029379,10.066371749412305,1599.9998629945655,140.15157210361733,300.0004521005778,0.0
200,9.999903379682124,10.002458753645577,9.99765220595926,10.061244574636467,1600.020674827841,140.36794898636475,300.0156706569454,0.0
300,9.999869036162332,10.002666138404258,9.997968836331706,10.122847664908965,1600.026109397689,140.53816075293526,300.10713427217945,0.0
400,9.999666873368954,10.002151524677075,9.998030884806331,10.119829031881935,1600.0233608333485,140.64824280311157,300.11846459244026,0.0
500,9.999592351279478,10.003201855780027,9.996906980208188,10.149364495843683,1600.0325714760245,140.78300403752738,300.13496093594256,0.0
600,9.999452844317439,10.003903033745926,9.994890479778562,10.261543042529073,1600.0430401594658,140.7904479534522,300.13938202678503,0.0
700,9.999544277416032,10.00694443095679,9.995890725234911,10.34393823856852,1600.0583042774563,140.88227789911667,300.1863690856111,0.0
800,9.99946792761536,10.006826232606619,9.994554093210139,10.392193925924982,1600.0687307799838,141.02697959491366,300.1800341701489,0.0
900,9.999416692721708,10.009493609604412,9.992948188117095,10.391968980180799,1600.0810966915328,141.01428882607482,300.185729188652,0.0
1000,9.999236277480005,10.007626387779045,9.993664037148296,10.429799452555594,1600.0700701206658,141.15857018229022,300.27579155000836,0.0
1100,9.999122135938862,10.01186640942495,9.991329178606923,10.47925595588282,1600.0936556443673,141.2175758639655,300.23912818787,0.0
1200,9.998956020595267,10.012314513434012,9.991898283493857,10.473817025368671,1600.0988403694973,141.23191736880648,300.32795060564393,0.0
1300,9.99900978042072,10.011305074732334,9.990795021194948,10.539519290135422,1600.1098129087454,141.26128556328146,300.2945067875164,0.0
1400,9.998958886715364,10.015516298013006,9.990006476734438,10.643005548055543,1600.1170498582846,141.26877465533707,300.369175700713,0.0
1500,9.998749947339183,10.014517363333306,9.9882819970074,10.592002918838793,1600.1273551797904,141.3763298732476,300.3446737781743,0.0
1600,9.998663424528813,10.014560476871077,9.988323606748375,10.713796304413515,1600.1210870938419,141.3569295042764,300.3727430643228,0.0
1700,9.998715400846256,10.016865159083215,9.98776299215939,10.710852767928708,1600.1270387024817,141.46380222426475,300.4323746588185,0.0
1800,9.998681783111774,10.017829785046946,9.987335561436133,10.761454933436035,1600.1539380822962,141.4497291592115,300.44784598040286,0.0
1900,9.998567850648087,10.021136767582785,9.986219111448731,10.85503792369199,1600.1474519842673,141.43132638902333,300.4294453443801,0.0
