milliseconds,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP
0,300000.0,5900.0,100.0,0.0,0.0,0.0,0.0,6000000.0,0.0,1.0,0.0,0.0,100.0,10000.0,1000.0
100,298700.14322603727,5999.999959554185,4.0174068172045224e-05,0.0008033219596090438,1197.3583138680442,6.516171272729895e-11,1.3578025884705722e-07,5998803.640882279,-4.005750068285801e-12,0.9999999999998136,1.864264334289895e-13,0.1,100.0,10683.385844589187,316.61415541080316
200,297505.67882915353,5999.999959445348,4.033536423207427e-05,0.0008063879266390117,2389.239541696501,1.0961903779067885e-10,1.0948246435257842e-07,5997612.759650862,-8.026781461229135e-12,0.9999999999993747,6.256211336342111e-13,0.2,100.0,10885.707173973864,114.29282602612821
300,296316.70670010155,5999.999959333567,4.049721006297493e-05,0.000809464348431123,3575.6112230150284,1.4179548135038984e-10,8.440022706308348e-08,5996427.387965936,-1.2063144072272638e-11,0.9999999999987487,1.2516454738780951e-12,0.30000000000000004,100.0,10943.449031206757,56.550968793240116
400,295133.1956718776,5999.999959218959,4.065960756735666e-05,0.0008125512584751771,4756.5246521198405,1.6273688540042852e-10,6.04730339008481e-08,5995247.474533213,-1.6114890040394236e-11,0.9999999999979958,2.004490988482102e-12,0.4,100.0,10957.771356579644,42.22864342035453
500,293955.1040652742,5999.999959101631,4.082256014566724e-05,0.0008156487206027045,5932.027487022541,1.7341451403397397e-10,3.764338889582266e-08,5994072.971694675,-2.0182071789022446e-11,0.9999999999971707,2.8296476732546926e-12,0.5,100.0,10959.073242662997,40.92675733700219
600,292782.395696054,5999.999958981688,4.098607051496689e-05,0.000818756786220599,7102.15765671143,1.747299163742773e-10,1.5856661703270885e-08,5992903.841521341,-2.4264742030531042e-11,0.9999999999963226,3.677701037397375e-12,0.6,100.0,10956.482660255773,43.51733974422603
700,291615.0387119081,5999.999958859228,4.115014084408151e-05,0.0008218754964854774,8266.947492826148,1.6751948809463688e-10,-4.9390559142795e-09,5991740.051681569,-2.8362953704857397e-11,0.9999999999954964,4.5039558042071696e-12,0.7000000000000001,100.0,10952.740686396626,47.25931360337277
800,290453.00345094234,5999.999958734347,4.1314773035134526e-05,0.0008250048875360008,9426.426758221865,1.525587498003166e-10,-2.479308647643403e-08,5990581.572412503,-3.247675994216094e-11,0.9999999999947323,5.268084640061872e-12,0.8,100.0,10948.66883121007,51.33116878992819
900,289296.2612685718,5999.9999586071335,4.1479968880437957e-05,0.0008281449934390544,10580.624086011156,1.3056635977205264e-10,-4.3752296408131293e-08,5989428.375081032,-3.660621404601722e-11,0.9999999999940665,5.933800266536546e-12,0.9,100.0,10944.51420145245,55.48579854754934
1000,288144.7840218115,5999.999958477673,4.1645730132099e-05,0.0008312958475020364,11729.567574125977,1.0220787550682584e-10,-6.186121915231333e-08,5988280.431589221,-4.075136948682093e-11,0.9999999999935317,6.468549601110741e-12,1.0,100.0,10940.35020394798,59.64979605202033
1100,286998.5438671124,5999.999958346048,4.181205852945217e-05,0.0008344574827909884,12873.285011453663,6.809927889558474e-11,-7.916217206491277e-08,5987137.714148184,-4.491227989948937e-11,0.999999999993157,6.843228556486372e-12,1.1,100.0,10936.198867019108,63.801132980891225
1200,285857.5131860005,5999.999958212335,4.1978955809072186e-05,0.000837629932319955,14011.803959082343,2.8810266514561203e-11,-9.569536704728498e-08,5986000.195196834,-4.908899908282644e-11,0.9999999999929683,7.031917304353161e-12,1.2000000000000002,100.0,10932.066147317571,67.93385268242764
1300,284721.6645467588,5999.999958076606,4.2146423710053554e-05,0.0008408132291509751,15145.151791227381,-1.513258756674434e-11,-1.1149901775549663e-07,5984867.847360956,-5.328158099941145e-11,0.9999999999929887,7.01162661152898e-12,1.3000000000000003,100.0,10927.95542089713,72.0445791028719
1400,283590.9707132784,5999.999957938931,4.231446397226271e-05,0.0008440074063608846,16273.355686140087,-6.324301080881092e-11,-1.2660943755059393e-07,5983740.643462296,-5.7490079775940205e-11,0.9999999999932383,6.762073818047941e-12,1.4000000000000001,100.0,10923.866181022964,76.13381897703671
