milliseconds,PA_D_Cytosol,PABCa_D_Cytosol,h_D_ERM,PABMg_D_Cytosol,CG_D_Cytosol,D28kB_D_Cytosol,PA_Cytosol,CG_Cytosol,PABCa_Cytosol,D28k_high_Cytosol,D28k_high_D_Cytosol,D28kB_high_D_Cytosol,CGB_D_Cytosol,Ca_D_Cytosol,CGB_Cytosol,D28k_Cytosol,D28kB_high_Cytosol,PABMg_Cytosol,IP3_Cytosol,D28k_D_Cytosol,IP3_D_Cytosol,Ca_Cytosol,h_ERM,D28kB_Cytosol
0,1928.1939600000003,9827.53562,0.8,36404.27644,84566.35334,2510.04502,1928.1939600000003,84566.35334,9827.53562,43952.64608,43952.64608,4207.35392,11753.6286,27.09,11753.6286,45649.95498,4207.35392,36404.27644,96.32,45649.95498,96.32,27.09,0.8,2510.04502
100,1928.1787628809607,9827.699672575109,0.8009905884189398,36404.12758454392,84562.97140024448,2510.6691542258513,1928.1786385966377,84562.94576679092,9827.701282860793,43952.46200431023,43952.46365090956,4207.536349090428,11757.010539755463,27.250913734404456,11757.03617320902,45649.3267028807,4207.537995689738,36404.126098542554,96.32,45649.33084687626,96.32,27.250984427249296,0.8009905765214359,2510.6757105811753
200,1928.154399392132,9828.10296595831,0.801914872066114,36403.748654649564,84560.04933530762,2511.358338208322,1928.153967941519,84559.98745522277,9828.109665309375,43952.03569756908,43952.04241660379,4207.957583396195,11759.932604692332,27.258572911594474,11759.994484777208,45648.63405858545,4207.964302430906,36403.742386749116,96.32000000000002,45648.641671913254,96.32000000000002,27.2587401242602,0.8019148200450739,2511.3764289188557
300,1928.1221609656093,9828.681326397675,0.802777372278795,36403.20253263673,84557.44249443334,2511.973651571017,1928.1212813840777,84557.34026878902,9828.695909590759,43951.46430925406,43951.47865322546,4208.521346774539,11762.53944556663,27.265418879863752,11762.64167121097,45648.01725050308,4208.53569074594,36403.18882902517,96.32000000000004,45648.026381970056,96.32000000000004,27.2656935457213,0.8027772471670535,2512.004555017011
400,1928.0841324169664,9829.387959053578,0.8035823155483538,36402.53392852946,84555.05691713975,2512.5299711948783,1928.0827096978028,84554.91418728104,9829.412400855525,43950.81243150452,43950.835891563474,4209.164108436523,11764.925022860221,27.271688894242157,11765.067752718955,45647.46065236261,4209.187568495478,36402.51090944669,96.32000000000006,45647.470103382686,96.32000000000006,27.272071429460112,0.8035820841762934,2512.573613444333
500,1928.0418880338877,9830.188144002675,0.8043336082529069,36401.77598796345,84552.83408791739,2513.043486078621,1928.039859628807,84552.65229698966,9830.223799064635,43950.12156169179,43950.15484177127,4209.845158228731,11767.147852082551,27.277534911183505,11767.329643010602,45646.947403378035,4209.878438308015,36401.74236130667,96.32000000000006,45646.95664791594,96.32000000000006,27.278021490140258,0.8043332397918609,2513.0993249015746
600,1927.9965228873864,9831.0579632398,0.8050348029301541,36400.95153387282,84550.74301681768,2513.528761483211,1927.9938460341068,84550.52371834476,9831.105777267867,43949.41386035023,43949.45720495398,4210.542795046025,11769.238923182269,27.28304055342503,11769.458221655472,45646.46247877075,4210.586139649652,36400.90639669809,96.32000000000006,45646.47144943674,96.32000000000008,27.283627114269855,0.8050342701955969,2513.5963436449315
700,1927.9488542440854,9831.979440215679,0.8056891856487747,36400.07772554025,84548.75693386697,2513.9901908465445,1927.9454978820745,84548.5014722056,9832.040107834844,43948.70244370247,43948.75589375723,4211.24410624277,11771.225006132978,27.288273833337964,11771.480467794441,45646.00143154661,4211.297556297606,36400.020414283055,96.32000000000008,45646.01011334524,96.3200000000001,27.28895684100278,0.8056884648048629,2514.0691032789964
800,1927.8995443192275,9832.938063164549,0.8062998305244229,36399.168412516236,84546.85468375763,2514.4306843688187,1927.895486534561,84546.56436592208,9833.012087337174,43947.99649908394,43948.059984224885,4211.940015775113,11773.12725624235,27.29328804252588,11773.417574077837,45645.56137495607,4212.003500916182,36399.098446128235,96.3200000000001,45645.56972851642,96.3200000000001,27.294064031347347,0.8062989004499944,2514.5204882946764
900,1927.8490922956298,9833.92298754706,0.8068695555047178,36398.233940157326,84545.02358355495,2514.854281628263,1927.8443186508332,84544.69965965493,9834.010713390717,43947.3012996471,43947.37466271929,4212.625337280719,11774.958356445026,27.298116486197262,11775.282280344954,45645.13821329858,4212.698700352991,36398.15098795845,96.32000000000012,45645.14625453387,96.3200000000001,27.298982146941725,0.8068683974752583,2514.9545755222666
