milliseconds,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,P_ii,P_i,tmito
0,38.23856083615627,5625.3478652509475,9786.296554116063,5716.990001844914,5705.256715513483,63.84950572309675,5601.661902980566,9794.763718615872,914.587406052885,913.1211783247919,0.0
100,49.700452070236736,5614.712701237202,9888.268525298094,5613.243783206496,5610.70058214064,84.38076111788138,5580.928834232029,9882.647991226127,1024.660659366764,1024.5967591244794,0.0
200,51.51845825618,5613.494407628837,9998.425354985544,5497.560080851286,5502.522302249393,88.5255263687299,5577.354799018076,9996.753621499693,1145.3147057696383,1141.6505463761987,0.0
300,51.901626581304434,5613.143256407094,10099.890703667612,5389.527954891089,5396.60041585225,90.83205812774406,5574.962882655419,10099.71773868729,1243.9365750361662,1250.963699074642,0.0
400,52.68912693865146,5612.467308899685,10205.99365328695,5292.035589089284,5287.024706121124,93.04873025107474,5571.84670016705,10207.342734323267,1359.7588048951995,1360.8868492765862,0.0
500,52.65325043118162,5611.804790195842,10312.095897648844,5182.240768538613,5180.697134326946,93.07470923300092,5570.05106734526,10314.733255672132,1467.1629348120152,1465.8607779366107,0.0
600,54.028586331321094,5611.33473215173,10413.19738830871,5083.53233619245,5091.492378536125,97.03748893753668,5567.333035776664,10412.086772052244,1557.966141304616,1564.0962664616889,0.0
700,55.906650702464724,5610.048571966752,10513.445321748864,4991.942104214884,4992.463519884343,99.20307092203048,5565.223066220049,10506.516456866908,1666.23678377508,1662.3104694720857,0.0
800,57.16121899219809,5607.909620585236,10605.765537848523,4894.311730030176,4895.773179867107,101.13608917622055,5564.535296235557,10602.61710255548,1759.7979569986726,1760.933321847844,0.0
900,58.49443318622986,5607.225630747931,10697.526079818368,4798.584876986009,4804.779515774968,103.0679213653656,5561.457181683671,10692.948626831034,1854.4273297692139,1860.0818986392094,0.0
1000,59.69511385212222,5605.146479853585,10793.107518669754,4713.788000283579,4711.95474273796,104.71536299465232,5560.704886769266,10788.869050888346,1945.8849612185995,1952.2032906699949,0.0
1100,60.43607385075182,5604.7084389912,10878.021090052722,4624.001997462916,4618.86675705166,107.50025935186832,5557.692134648209,10878.93872398205,2042.6905631300585,2046.1324891906727,0.0
1200,61.929421604782775,5602.461339335343,10966.92230301864,4540.255204507799,4538.038502005866,110.11036951362577,5556.102648477926,10969.320985031394,2122.0179663465515,2136.5972959756814,0.0
1300,63.051853417646015,5601.536732235225,11047.971429170362,4444.399328179245,4446.070956749963,113.28600343623947,5550.975399095749,11048.134339494305,2219.1461829377495,2222.562725462601,0.0
1400,65.85008463432375,5599.811718467394,11137.452537720139,4367.628478360479,4368.93767147822,115.09135459249731,5548.697491120517,11133.570202951596,2298.545416393994,2305.0145338996135,0.0
1500,66.8864333312936,5598.176330238146,11214.995879430193,4290.062420815629,4285.069147046929,118.60182784080213,5548.4451746837685,11213.87230344779,2386.0250198627564,2384.4871869429626,0.0
1600,68.15193466366152,5596.412946615693,11298.098746240446,4201.017814211526,4201.912313884399,119.96722520019144,5543.931930918108,11301.510933897223,2474.261829711475,2474.82541532471,0.0
1700,69.57185375185392,5595.176580335302,11371.798461967112,4120.871423243627,4118.262427995331,122.94256201865194,5542.852065042896,11379.49579526521,2550.6860431383643,2553.1592052476813,0.0
1800,71.93813799406993,5592.139747185767,11448.523957687425,4047.3478448262385,4046.928947809169,126.22202530776013,5539.117920545977,11452.074178517896,2629.488761998356,2631.758002591412,0.0
1900,73.25267373597102,5590.625370860095,11524.785949724406,3973.6009763914967,3970.0133623292368,128.31516421068966,5535.660761506808,11523.289018547897,2713.532717414472,2711.8145353015943,0.0
2000,75.84108912504388,5588.51825874041,11597.359840906578,3894.084915835933,3894.869323935264,132.2734278908458,5534.655324166496,11607.01856783814,2780.43884713483,2794.8773948657467,0.0
2100,78.14474357229611,5586.370656275358,11669.310521197547,3829.7407865274836,3819.174301177916,134.15876124941252,5531.217502613718,11675.416605159055,2866.1661133990415,2860.7107180343473,0.0
2200,79.45912160835988,5584.666520432323,11747.199905728112,3753.2789159629065,3749.3844575541057,137.3157937057777,5528.859165101277,11743.755961487852,2938.5270593043374,2935.8800633934557,0.0
2300,81.90859528062046,5582.415243283692,11813.642707107774,3687.3963535348257,3679.2162860581625,140.12791763202188,5524.57221835042,11821.49593489526,3004.8608283133817,3019.261369867036,0.0
2400,83.85953039830207,5579.908483062523,11888.922562769507,3619.449472991296,3615.941773389441,143.92075600759827,5522.522796261424,11885.262121819047,3084.86468747826,3085.3757560194776,0.0
2500,86.62383053781848,5578.2374499793095,11953.246274506162,3547.1236734115623,3541.9441788060994,146.4229372397245,5518.290563148097,11958.144330480445,3148.221760117851,3150.242880255567,0.0
2600,89.66821863052569,5575.29684980205,12017.735012223004,3481.0920572607556,3476.483341546987,148.781545338823,5514.6281460046175,12019.972910876835,3219.5548716524436,3224.591159755731,0.0
2700,91.23200425370074,5574.452604967829,12086.119453338362,3413.28189302171,3418.5443870738077,152.61853724903568,5511.879339206538,12086.277876095362,3287.7239817816962,3294.890425151595,0.0
2800,94.24341768562661,5570.541582224486,12148.985523795798,3348.8381731120276,3349.664904402087,156.62349450314625,5508.175396700847,12147.755417910676,3360.6110521972973,3362.742614640928,0.0
2900,96.02102396852051,5569.048658544147,12209.284188652855,3286.170614252709,3291.893876696984,159.74699268756828,5506.384281743281,12212.508516477386,3415.3063043712345,3423.3965175406033,0.0
3000,98.69717568431605,5565.67429694576,12276.594255774922,3231.3180190728353,3225.0800390300365,162.4636205106243,5501.564224389633,12277.703072898768,3481.6325845845045,3488.5756956335417,0.0
3100,100.95116063951359,5563.601354813669,12335.407165121444,3163.4213874518014,3171.14679591798,166.15542047536746,5498.368161040566,12332.356609652383,3552.7589826932303,3553.47637733205,0.0
3200,104.40923656331066,5560.235624240547,12396.022344110466,3107.2124483552716,3108.6436894208905,169.13774956210793,5496.954908619389,12396.960660882998,3609.6754962768723,3613.341594835541,0.0
3300,107.61679231946728,5557.939959607715,12444.579256046436,3052.191242507623,3053.5586777552166,172.6067545943356,5491.802672749392,12447.456161747432,3680.021419251767,3675.9279303403246,0.0
3400,110.02844431871465,5554.343167071991,12505.462246499666,2991.412228487552,2987.886766195259,174.68070388219795,5489.420759738684,12504.036026054448,3739.9532431437706,3736.068464888261,0.0
3500,112.64477794461813,5551.3746996150785,12567.929834101944,2929.8438435592984,2936.669558690155,179.3507611738861,5485.462210000747,12565.097440939868,3798.1066250334056,3802.941358251311,0.0
3600,115.61673200122411,5549.214915915886,12618.31073788354,2883.6100680496174,2878.042871772805,184.23550962562487,5481.673357396064,12614.553023146434,3858.155132039012,3858.754479811042,0.0
3700,118.6226550723707,5545.504868277267,12678.409115041897,2832.1202882466773,2823.5580082449164,186.03537110576352,5477.371226014955,12671.526783792837,3915.944886997172,3910.661777353448,0.0
3800,122.20694856422016,5543.093409701682,12722.215244327514,2773.3602977970577,2767.605565731733,191.6069120930837,5473.750669591595,12729.17979787457,3964.8436155593135,3974.55338375048,0.0
3900,125.20585288857767,5539.720664023353,12773.549342639635,2714.6338962347736,2715.7353512327836,194.22733974428652,5471.741823723033,12783.108143136962,4026.293917280195,4032.948996520217,0.0
4000,128.66860204934878,5536.147255983437,12832.913520480875,2672.0075540884673,2665.0307115740397,197.66066130416766,5465.865516827766,12836.796396847067,4081.3806864179055,4088.0924107932397,0.0
4100,131.6296195540481,5533.389014153935,12880.917704351385,2622.2762045641475,2615.2764734722828,201.83049064642472,5462.317110739277,12882.353889146169,4133.939479277621,4142.5254378830605,0.0
4200,135.9580691965625,5529.680506715601,12928.542648541732,2563.366425842363,2573.2998168959707,207.90213821439247,5457.988323740415,12925.423473966131,4187.348299292601,4189.794554291118,0.0
4300,139.21831096129287,5525.908948551764,12976.602377360072,2517.1206221098305,2521.5406031562243,210.54358268694102,5453.453443760743,12979.613562679528,4234.5549246539895,4250.81450032855,0.0
4400,143.5692377257872,5521.335971128935,13024.665189951418,2472.7461983371986,2477.074525510463,213.90516592589415,5448.477343073193,13027.96244298318,4297.393431817849,4292.8012076221585,0.0
4500,146.20907120667184,5518.072002150987,13073.107245060402,2427.02513367316,2427.1999471584213,219.24848112638074,5445.334822566185,13071.179652398487,4345.836176119126,4350.3872937686665,0.0
4600,150.60171222898148,5514.325605036152,13123.13369812361,2375.733614398245,2379.659827268211,223.02425160288075,5441.222419953033,13120.497492440858,4388.5053628938995,4396.429400102895,0.0
4700,154.9541219461396,5510.574160721404,13165.118317886783,2335.7281190143253,2336.6157747799075,229.29581348121548,5436.770425469447,13162.041361874903,4447.048049244687,4452.983352008574,0.0
4800,157.93780963003002,5506.947799091619,13205.234298524954,2286.5247374230994,2289.7084387939085,234.03936720475977,5433.0312394797875,13207.173146290343,4497.855502727284,4497.965083296205,0.0
4900,162.88115439557845,5502.728866318712,13251.969413958015,2240.58437012621,2242.6704404485895,236.66487518732825,5426.207588627466,13260.468731864961,4544.312853277944,4553.7992464496465,0.0
5000,167.774656491068,5497.697718915979,13297.785455745143,2203.0092295558106,2206.2517233688063,243.34580513010408,5423.229126658629,13302.635372363604,4583.784166553164,4591.802053272931,0.0
