milliseconds,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,P_ii,P_i,tmito
0,42.41997290038158,5623.709236851481,9864.029050897308,5711.558061805321,5675.881284839552,63.21177646789771,5600.435329761607,9732.499278122114,993.3073404359808,843.1835056768202,0.0
100,52.224040212234684,5613.039996865128,9784.154908004355,5717.023155565475,5624.46101692478,89.98037114686016,5582.193129657714,9799.636013012987,1042.0199573641821,1047.9510341891614,0.0
200,49.93387639341153,5617.637969297879,10041.664699199158,5442.237503026316,5492.469818497703,91.94516083978435,5579.261650696829,10068.543589523526,1175.280700037299,1244.6819880588616,0.0
300,49.77269454758619,5616.038285567397,10059.34159992504,5304.9919267530495,5399.402898447938,92.9479145753752,5578.888434663694,10046.647936468253,1332.7120784670026,1155.065505803607,0.0
400,49.321004064515485,5616.122989020604,10268.236539956495,5237.807535864582,5231.993783135949,87.93459378277828,5574.154348355341,10129.468945962535,1432.8714631999608,1386.5811685535928,0.0
500,52.3923741775642,5612.16921817478,10410.34191059527,5180.11154987532,5274.371413472516,90.79944198517451,5570.018250974909,10340.485478560839,1475.9409103847765,1408.003174250172,0.0
600,57.62242652672868,5608.617284690705,10370.28638942506,5175.078109127996,5057.473317034841,100.03510814609903,5564.5081182131225,10345.374691493895,1596.4860528872098,1610.448859629854,0.0
700,58.937730456911524,5607.240965728904,10449.160363419547,5078.748562457975,5002.967455650521,100.12810367293238,5562.030296583689,10536.275286533197,1650.3144764543874,1579.3307232361449,0.0
800,60.1160595111864,5606.05848275004,10555.447833764627,4828.518881391264,4890.722289968941,101.4024551514693,5564.61179531662,10588.07995621733,1674.3380858232736,1859.7430138810707,0.0
900,58.21732103415281,5606.017611280677,10624.170634623044,4856.184857969122,4841.317410971194,102.48872030821953,5563.214597600289,10652.78034419771,1833.4149097850138,1798.211047830441,0.0
1000,59.79663512549086,5607.592068563768,10821.127498862848,4733.949212367488,4631.76378811546,104.89097959406398,5560.659747877082,10817.798965267306,1843.638974221063,1892.0220202757557,0.0
1100,63.45020612237332,5606.091941287523,10881.641477453026,4562.769211514468,4577.968123631237,112.28920084455953,5558.304948916208,10899.17502706896,2122.703007697984,2011.755114030163,0.0
1200,65.16399436693665,5605.413953459036,10985.591277465479,4483.019915259696,4546.213048691161,112.05208931075694,5557.325776186733,11025.02144595704,2194.317777800179,2111.216340509399,0.0
1300,61.883476808454304,5598.749378643721,11100.677340240072,4370.889684469719,4526.147177617812,114.31276323558606,5555.891981426537,11147.398941610702,2248.403198722227,2143.15076336399,0.0
1400,64.4450486186287,5599.114254547727,11056.568097491503,4428.032659164832,4392.560138654229,116.73258880851125,5548.106692907046,11078.934238960273,2354.1545115474446,2256.4246826091958,0.0
1500,66.70051569238541,5595.885156501397,11172.684336724784,4227.029596163826,4319.867589998005,121.77540070071838,5545.419963895671,11268.021898652045,2445.2620568465845,2440.0462811248367,0.0
1600,71.93354668740572,5597.654128014008,11351.699485004952,4141.5041825112685,4173.704300248737,120.3852251437863,5546.32624245738,11346.746075154097,2414.834321139334,2475.9677306061712,0.0
