milliseconds,T,I,V
0,-2429.0207965556538,413832.35259715916,4475500.072928665
100,6731.086416462718,409920.14147737506,4671035.68341216
200,10879.95321969282,403789.6159457425,4702319.594949174
300,17462.19652884861,405970.7217562288,4660277.084309432
400,18686.173802190377,394545.2432297801,4538272.539421671
500,23912.285030638537,392575.19223857776,4521046.628945318
600,28493.539084275217,392931.66561402375,4420668.4789855415
700,38084.229776403445,384027.250592257,4379254.369246522
800,40388.51775689227,382640.3382757107,4407032.370805769
900,36434.11451918673,372594.50571408065,4295524.028220008
1000,44222.42830161294,377059.42139424273,4221825.643784194
1100,51350.85877433761,365570.0857948002,4244054.93094566
1200,58707.0155189645,362897.31259361154,4149727.70548311
1300,56990.96238562354,360218.7383190403,4174105.3171438477
1400,62144.15775476192,359967.30058756354,4052550.2272560494
1500,72250.61767204522,348557.25609113,4045057.0186529956
1600,73109.82365505246,352740.348587455,3964619.201349535
1700,79660.61901258524,344226.36179941933,3947510.4162009764
1800,80512.5008515906,338226.1622819911,3860989.9282942493
1900,83253.15307115925,339735.45065572066,3810580.8886186574
2000,88548.53243899926,330766.98524971295,3800981.878584562
2100,95487.9559405592,328307.1581883283,3784974.8699128088
2200,99293.80561556027,321707.1465155024,3759592.7041616957
2300,97217.848088862,325208.2947487876,3717157.999660024
2400,105533.27502719736,315696.5516393679,3613558.6916643474
2500,111141.11066640717,314464.0055718351,3580038.2468306813
2600,110347.13673495337,307670.4797447687,3559137.2214912972
2700,117167.68249138616,312017.9665555892,3515333.8772965344
2800,113810.14630272474,304930.4467846606,3519328.2320822855
2900,117642.5681005465,303163.02524512657,3519014.4746853756
3000,121248.79605980548,299420.8964241158,3466916.7405938744
3100,126960.32725775566,299979.2836899611,3402914.866517775
3200,127473.90023205036,290499.7865030723,3326025.7489795056
3300,133974.2184000232,289068.75731837866,3313119.637525187
3400,132638.27600120884,282745.40960648144,3250334.612829375
3500,145856.68605659527,288294.8052693703,3217108.775535286
3600,146719.96366418616,284899.3405113968,3231619.572871148
3700,147047.1843123031,280338.8221776638,3159995.722657785
3800,151156.66576128043,279678.762963899,3119465.262762325
3900,158547.76731142862,274106.88462770183,3075186.525112843
4000,151349.93654398705,274454.85605498473,3126794.4453106094
4100,156019.17331231822,262514.62958125205,3061998.9606933803
4200,168026.99971890144,268509.1973969482,3071216.5155727067
4300,164119.32993999834,267052.760165259,3011929.321652504
4400,163498.78999959424,264107.4004713554,2966759.1096589607
4500,175383.70266456652,254411.88182245434,2996048.317750034
4600,176285.46593751688,250575.05274068727,2861298.764648275
4700,178221.89264512615,248263.08647971007,2899220.324654687
4800,179798.70523325226,248794.96096822724,2844396.9312939057
4900,179640.86914435323,244254.9620782141,2847570.8494364023
5000,188709.48993338848,241768.28385030053,2754401.0413707853
