milliseconds,T,I,V
0,-4728.700036558496,418342.2904583309,4424754.079283406
100,1496.9090988063917,411662.5757805698,4630184.079235722
200,11898.894012559722,407177.0067585542,4641042.81177728
300,11642.473507845647,405627.93868548266,4578588.0519687375
400,15062.928983604615,394110.05383066635,4601490.958401715
500,24593.592863147005,391800.98020122666,4498075.610699127
600,31465.244995975576,394609.7331708878,4472595.093255124
700,30069.74705750319,388892.66227907175,4423420.854593794
800,33894.857514236195,382348.9452299952,4346186.205906145
900,38948.169301535905,374240.30554773984,4319384.284066614
1000,46257.18408271409,374379.0404351736,4252874.053851307
1100,51531.5473689306,372779.54741527885,4246389.243985564
1200,55548.32970069996,367465.4763370502,4121057.551603669
1300,61204.12635894443,364641.5894344643,4137864.0875873803
1400,66642.54864172306,351435.8584929244,4134891.109387377
1500,69396.50517390386,355342.59354712523,3994946.546460084
1600,70489.09943673036,351140.3321339592,3985258.5600191955
1700,78370.82696114804,344950.58456146595,3983077.0672447374
1800,77071.55684001061,338288.7744326014,3869591.905060058
1900,79928.08666910253,340568.25701551366,3919634.2456178917
2000,85392.8505095544,335239.01380171784,3780034.1758150994
2100,86313.03364699498,326711.39418541285,3745852.190158485
2200,99574.64676301001,331342.828437107,3744976.8685296997
2300,97409.26461754802,326483.45783351315,3735997.477660543
2400,106525.45870097194,314764.53021932824,3693422.2787103453
2500,103262.48458820238,314091.5292089454,3576120.6208061473
2600,108167.4518482928,308354.81450616865,3528480.517533469
2700,117732.97118191041,309004.3910813702,3515139.866150144
2800,112277.80438589913,301207.7380926439,3516514.4125320003
2900,124948.53077132543,307388.1379167855,3443958.621399303
3000,125409.0594103943,297231.54664133093,3413218.1641844804
3100,126009.83761442252,300441.61105711345,3348467.6600234876
3200,129969.00005850196,295499.71564412577,3354741.151891598
3300,134495.01099359454,294662.14209520037,3303830.7619160805
3400,142305.95148695758,289051.8869934989,3306105.440767987
3500,142821.21964349548,282812.8320457362,3296657.6201407034
3600,139238.0708716788,281430.3758632326,3180386.4829677385
3700,145509.72780778605,273865.7466829541,3203123.2986918706
3800,153924.23830519785,271617.5586276569,3113155.308056662
3900,157894.61546416534,273220.7439810101,3074379.6162398695
4000,152410.03543731777,270568.3056246121,3118914.9743771288
4100,163507.47314864944,269169.74195258284,3121064.928399017
4200,163300.9239204428,269135.96268214646,3065624.7319084145
4300,164164.98559483033,258687.58922216657,2997575.075269901
4400,172458.0240114505,264067.0800634399,2923819.2801663214
4500,166929.16948142502,261337.79774667273,2895518.7094971924
4600,178883.0572511841,256485.38155476228,2865220.9552316074
4700,173991.7999099897,251207.59060983034,2841238.7416764004
4800,185736.27989746328,244644.94561106618,2812910.220067043
4900,187255.14526553545,247363.38498258023,2878521.5224626106
5000,187660.18382949082,249365.6211245931,2850005.4717202694
