milliseconds,T,I,V
0,-3913.445959067715,422134.0786578464,4427880.165040138
100,7958.722303238914,412551.2731921611,4634743.371867077
200,8585.925248766227,405300.60899322684,4658528.832444549
300,9651.469519613423,405628.1090020404,4673896.894125618
400,20449.112317711,402602.51083011983,4535929.871029648
500,18896.996724698012,389138.2245213438,4574053.4097756175
600,32003.252720356915,388318.3390842648,4437577.2482378865
700,35200.67994877844,384659.35610986035,4360846.352386377
800,33041.546309425656,381204.2376499041,4321668.874153958
900,38847.81465447515,379889.2233514573,4307750.564291507
1000,43957.46293710242,375179.33599427453,4221953.711061278
1100,49422.58851958008,367473.3706253531,4222405.227425532
1200,56893.15535538894,360334.13652035507,4178166.402253577
1300,55097.875568864685,355752.126869556,4088139.61015283
1400,61540.50021588795,353791.15908284165,4059923.208656739
1500,61714.24641467331,354836.9899977981,4085047.0167103545
1600,67209.218338765,344274.7256241554,4009518.62401811
1700,71650.03840652149,343921.7402188568,3932550.1921883277
1800,80074.02279396543,337034.0103702213,3959999.7319241455
1900,87364.15653384986,332220.3198320925,3822583.3532406157
2000,89333.19500724212,332596.36908175057,3856269.8940588487
2100,89105.28219611156,328659.65389470296,3776469.014853458
2200,89744.13015725721,323730.8965347977,3794379.475714477
2300,101222.82880297491,323659.25670461066,3683825.250229021
2400,96558.52620688545,322378.17598121637,3669113.911783198
2500,103837.57536428634,315195.70836022875,3618456.893443638
2600,112415.0982817689,316090.82281396154,3549674.0827698256
2700,117683.95184478293,312919.1635719453,3601608.2424375284
2800,114382.65999369993,306236.2518963557,3522560.8900781525
2900,125474.94755991617,301533.77050763025,3496707.507203695
3000,122643.82931867952,297098.4535723892,3429958.9491146486
3100,130115.24303913182,291711.7370856525,3355337.0997145516
3200,126928.4898097122,290456.8830968168,3324049.3794836686
3300,131614.90309222403,288907.37019255344,3271637.957747171
3400,135710.94698174536,289539.60564866284,3282873.242219162
3500,143519.04080853314,286614.54768424964,3229540.8348966953
3600,141475.73986781915,281932.4389415866,3282122.238336192
3700,150990.72273133905,282688.19897311955,3148677.7524083555
3800,152826.7362742954,272559.05006643693,3213297.5950062145
3900,155487.87141067136,268973.1849732963,3092925.625828246
4000,156758.51148574817,268599.07976101415,3098185.267604301
4100,163791.155565447,265531.20597564604,3035054.6257210057
4200,166622.45542288845,263336.8195939549,3023937.0982807493
4300,160775.4337168927,258772.67284000127,3022096.786544132
4400,170195.45689411138,256081.69150092415,2983220.5584581643
4500,166813.36782261517,255199.95395120664,2962186.9550195364
4600,179048.34249866227,257938.73174176013,2915685.291921579
4700,176743.51857155823,247914.0243100587,2891309.033337253
4800,185105.48269403266,244943.50051613784,2837666.9962039543
4900,186425.09432291036,243640.8102844283,2793207.571585235
5000,189547.89926224432,244715.79626586486,2814975.0100201885
