milliseconds,T,I,V
0,-3384.419909044482,414782.1925903472,4424634.491765051
100,6836.312280836396,408946.9437037364,4660711.174795153
200,6146.2518557930725,408590.33968287194,4705809.866116221
300,16881.798490424808,404400.09364598076,4642666.644114341
400,19901.624208125202,396022.0048943945,4593791.9059913885
500,28006.061411914037,389852.69311501697,4538596.4274923885
600,32256.23881584758,390060.9849514275,4490580.22716025
700,32438.782824759335,385588.0270464552,4452809.010960429
800,34269.551320578794,384603.3855050136,4322766.072659561
900,43109.65427621533,374542.6552061826,4303351.494813646
1000,50696.88436110412,376063.73889875814,4250831.631986972
1100,49941.43460077901,365940.17846845626,4256714.121398455
1200,55039.116109230614,363541.27678533987,4228009.93896922
1300,55215.2204919815,360028.8131050808,4159221.692610551
1400,63114.019413511916,355789.32395419007,4052659.828062105
1500,65759.85550145486,357126.96639026434,4056857.04529746
1600,67590.6652323391,346397.4110340261,3976181.867099433
1700,77995.91736514533,349047.8751538667,3941307.721932735
1800,81605.37943614864,342450.7569187448,3957098.8547212183
1900,81381.59310521977,332391.20829872997,3830671.831866034
2000,81755.45278238574,332675.25144641695,3841544.342000867
2100,92360.33516393507,329402.3687230736,3836919.3125969553
2200,96165.09323511313,331110.5415617556,3696741.249183005
2300,102356.9671566146,327219.22166938765,3690791.014560783
2400,101916.46337995456,319691.1467861974,3680436.737057285
2500,110594.33754030308,312991.67702262127,3616530.9661948434
2600,113112.88947314424,313832.5281917985,3590219.162891357
2700,115355.91333937812,304376.243376214,3578856.208650018
2800,117202.72707419546,302915.42735328665,3478026.8930046074
2900,121641.03049792207,298633.0540277843,3469346.093719299
3000,127439.04249274517,304390.46197640273,3472170.873723819
3100,127524.96750800069,296700.39507473627,3358126.577341658
3200,124963.88310560862,293582.4165611465,3366382.7132051582
3300,132551.96096553217,290569.4984792049,3368875.9170226483
3400,141258.5661169059,285057.16503902106,3286828.106387218
3500,143917.16345094139,285878.814568659,3284481.3209286407
3600,145184.8156661792,278050.3729759193,3169723.7796189203
3700,147173.1515551817,276992.98804733687,3190958.2549604736
3800,148992.0279838928,274407.815124909,3210731.9180248943
3900,158603.88686122568,275224.9210209534,3107595.9003093787
4000,153008.99431918876,266068.1434701529,3139465.91916702
4100,163429.40816542087,265690.84905619355,3022744.0815086993
4200,161130.80882898887,262302.817530837,3062425.5169471283
4300,168623.08763339347,264453.2406430795,3028628.1531299655
4400,164561.2807869154,256180.62178094243,3021866.5703394264
4500,172588.65373386734,255189.30962934642,2974066.7712634886
4600,179992.0349193565,255397.78010479992,2907035.9931330234
4700,180945.6282245589,256538.58296068417,2835985.051940167
4800,177991.8239227723,248077.94403182686,2895984.3036258146
4900,179042.97330873465,246150.50109490944,2843449.3493078058
5000,186908.15384241234,247983.7990532876,2815110.3390198066
