milliseconds,T,I,V
0,-4229.614354628544,413043.94823842327,4393824.665893243
100,7165.759167126893,414014.7613637707,4670671.98377035
200,7388.490886116131,411855.72250225005,4635510.8497631075
300,18283.03117387223,403879.58058145945,4617234.293965794
400,21710.81567580004,398238.18078540376,4610550.245652597
500,23052.555405832594,392780.7879503736,4563345.958806804
600,23682.68504724718,394698.22460528725,4509896.587868988
700,28741.162110794718,389947.2700750825,4424523.295901969
800,38358.29244688197,384729.5521296339,4367265.618972337
900,38275.247615479064,373584.2879158201,4332983.36746411
1000,44368.728307293546,371975.4961693648,4236891.545350807
1100,51488.22444445291,373301.76529461175,4246706.723151808
1200,54762.723392667074,363217.58447997994,4146346.4441010454
1300,60134.12016928716,364568.45660894836,4116811.385778446
1400,67950.93633853113,353545.0033754721,4078154.152884575
1500,68625.71523303857,356322.50122063135,4029910.2443252383
1600,72553.98971944393,345392.2239941197,4011720.5940782297
1700,75235.90017638907,341150.59354558313,3966472.436646067
1800,73929.61379997795,336497.4780694009,3884244.2866754527
1900,78906.52823922843,332554.73375327775,3859633.6870709653
2000,89190.61911982071,328547.94528110564,3860246.658065845
2100,94141.24949337427,331784.96414706454,3826873.7570478306
2200,98437.42215576746,326528.16947083315,3789304.9187477883
2300,96281.36084648005,326956.45798786235,3701254.195499294
2400,96818.3144256274,318649.28738278296,3637625.063403195
2500,106850.33049368738,317347.8467240597,3576661.3853072114
2600,104751.2408905385,315919.32175942085,3625509.1470879116
2700,109642.37774646847,313162.8605513257,3515066.893597562
2800,115799.58208252223,306634.338830289,3453472.010831016
2900,117205.3918536339,301014.3991712177,3510071.293316102
3000,121248.6550667012,296709.5851037444,3435354.450860545
3100,126319.51259026043,296890.2520768921,3421355.015151498
3200,129427.61663570523,295516.93787067774,3341530.110381644
3300,131527.38507083792,290537.7163789624,3338093.581139979
3400,135296.89253495354,292380.46856060595,3287127.7199319336
3500,144874.9827439863,287873.93215504516,3235141.4897903353
3600,141320.08694382658,284104.72138771886,3259075.9248691984
3700,145223.23440213644,276567.7991404129,3195965.1561389375
3800,147567.42875507084,279059.8222147574,3156695.7286407063
3900,153257.44292280634,268423.3582695428,3091193.6981797996
4000,152803.64266601493,275085.200084681,3137510.9066344346
4100,162773.99487649873,268443.75435335573,3039451.170555768
4200,157772.97369354923,264435.7979610236,3060888.1602232335
4300,163138.93997169659,262965.94148322404,3027783.233725968
4400,169303.1020244289,255751.55015583555,2942317.5837387256
4500,173624.2081010653,252720.23167009378,2986374.1641737535
4600,179331.02304777352,255810.12698019843,2944757.041249168
4700,181419.66049273673,250265.85732262372,2932746.0656374856
4800,184709.9983967587,247585.60070218463,2821331.439228675
4900,180279.20860023212,242132.81743246687,2797028.183541818
5000,190017.4774173449,243000.50092625595,2801489.311256603
