milliseconds,D_1,E_1,R_1,RS_1,theta_1,X_1
0,0.0015700142259506434,0.013899230531251265,2.498643519314625,0.004421507550053658,-0.0007588053536581741,0.0008663525331626864
100,0.01224781984354278,0.026723026660688647,2.501960413091095,0.0002806538574811682,0.004830919600404891,0.001095138833623761
200,0.02054623551331481,0.04127386445544857,2.5036176413951217,-0.004188331729117029,0.006694523982408429,0.0006379315906001226
300,0.024101913037179123,0.06742012824130186,2.5012600417311615,0.006192138876284946,0.011435435543323626,0.0014960331679450545
400,0.03964595417388994,0.05255830220015048,2.4954370938956663,0.00781260471872059,0.014708915624679962,0.0006550972574350326
500,0.039746954668967584,0.08226952949094371,2.487618318063657,0.0029753460437598684,0.0158706847206848,0.0035062440134644057
600,0.06434812719012885,0.08503512648111722,2.4979546637605057,0.012199061767209881,0.018615822893962915,0.0023287938627435468
700,0.0636049784456131,0.09874152728249228,2.484415712123305,0.012571260975678783,0.01916141914350829,0.006574444053624655
800,0.08084054505235844,0.12794780389230195,2.492047330228052,0.019434677531419087,0.020135352559342467,0.007860727895057072
900,0.07633586796771635,0.12992934391060737,2.479281548655707,0.020660886620514053,0.02166735094858257,0.007895560827999462
1000,0.09572193758359068,0.1503376419764589,2.4773174035668344,0.02323927063141077,0.02450292216004962,0.007264352359498412
1100,0.09552594958704883,0.19044199759912772,2.4694111831563004,0.02692957864845845,0.02445558566490871,0.0080895201675176
1200,0.11335638780246865,0.1869625926765489,2.4698392985631816,0.026999910574313526,0.026017293759898967,0.011107593309375177
1300,0.1256462101289249,0.22413372730014372,2.4642681076336737,0.026860919206998284,0.027563040467102187,0.013985800720844347
1400,0.12162320786591138,0.21908222127771007,2.465924183621203,0.033218756976839556,0.02858542424559022,0.012381833384999454
1500,0.13161683637705934,0.23580291325560998,2.4637644509104564,0.04026542575952695,0.02785352733436324,0.013370216019191618
1600,0.14338205685218758,0.27088863576664113,2.448281067616325,0.042912993595286976,0.029248308970459054,0.017023781456003168
1700,0.16055516092398683,0.29358148553758456,2.4532090592695406,0.04790318600160365,0.030782223257789818,0.018904802936976182
1800,0.164277365851811,0.28827569110359247,2.439850004079282,0.048534990269007504,0.030436852700401827,0.018150699771992677
1900,0.17084946301038836,0.29758551248753984,2.4366257014907777,0.05853948952016986,0.03046060505406929,0.02227537213718157
2000,0.17080943717080369,0.338847396831299,2.4341861111772345,0.05612766465851374,0.030742961563201773,0.02206250820265945
2100,0.19122731044364444,0.3461755510685522,2.432925982620252,0.058894981038406395,0.033302265293422874,0.02242214916431519
2200,0.18407870836593992,0.34674959355300494,2.4282061156327166,0.06654879092901661,0.0335810780250686,0.02576559044562262
2300,0.1962527254819903,0.36969066959749575,2.416218618356607,0.07447387502556686,0.03277758385669751,0.026560510359807655
2400,0.19593670274637817,0.36954284522400954,2.4169337493687517,0.07004392900694179,0.03491562502623113,0.026560226403201725
2500,0.20820058608731787,0.40602344064313306,2.414626991570819,0.08182414232949714,0.03476195663767544,0.031258206557305185
2600,0.2129249750808609,0.4334184398331759,2.4092073497204947,0.08236753303030285,0.03512883809396965,0.02969265780204103
2700,0.22193831971405437,0.4347997537690237,2.3976298673629466,0.08682007414761772,0.035354216146895136,0.03249963636765452
2800,0.22244913247061923,0.4477304105301201,2.3993025066686595,0.08849482488023094,0.03568281965551652,0.03373349750349899
2900,0.2329280210450041,0.4873108037869208,2.386143826472061,0.09055571071057063,0.037789988851736664,0.03392361979191365
