milliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_137_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP,PP2ACa,D34_75_PP2ACa,D34_75_137_PP2ACa,D75_PP2ACa,D75_137_PP2ACa,D34_75_PP2APCa,PP2APCa,D34_75_137_PP2APCa,D75_PP2APCa,D75_137_PP2APCa,PP2ACa_PKA
0,4.98e-06,2e-07,0.0,0.0,1.66e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,3.32e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.65289064215551e-06,8.809281100789714e-08,1.2582022765233663e-07,6.601650895237743e-08,8.695593281887934e-08,8.740812282561604e-08,4.593337370308099e-08,0.0,0.0,0.0,0.0,0.0,9.99620267514364e-13,0.0,0.0,0.0,-1.096429017948586e-10,0.0,1.9871192978054273e-07,1.3038269846315369e-09,0.0,0.0,-5.873715818023494e-10,-3.908665012496335e-10,0.0,2.411350886697648e-09,1.3062207799881204e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2277725148745767e-11,0.0,0.0,0.0,0.0,0.0,-3.3428885509707056e-11,2e-06,3.3075279128897273e-07,0.0,3.7282334172271955e-09,5.191235618803747e-19,0.0,0.0,0.0,2.1191618335410225e-10,1.2462090902399997e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51818069568841e-12,0.0,0.0,3.899766353914085e-14,1.2998309520845603e-16,0.0,0.0,0.0,0.0,0.0,0.0
200,4.381147763293329e-06,3.9235880047289574e-08,1.9580030887687447e-07,1.5443343007632957e-07,5.585738776222955e-08,1.3679549709584101e-07,1.0768874350020819e-07,0.0,0.0,0.0,0.0,0.0,2.5217151851105122e-12,0.0,0.0,0.0,-4.768593441398278e-10,0.0,1.9689842260222623e-07,3.1434180325288988e-09,0.0,0.0,-1.522092483581746e-09,-1.1936966431940128e-09,0.0,5.898035520816911e-09,1.2718720648739996e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1458357416703525e-11,0.0,0.0,0.0,0.0,0.0,-8.524200821686901e-11,2e-06,3.2886605343606276e-07,0.0,3.792365651364354e-09,1.3095790586577188e-18,0.0,0.0,0.0,-6.75184735926251e-10,3.1314248474408424e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0481016081282036e-11,0.0,0.0,9.83783577597668e-14,3.279048611251907e-16,0.0,0.0,0.0,0.0,0.0,0.0
300,4.109404884431148e-06,-9.621050913317989e-09,2.6578039010141226e-07,2.4285035120028167e-07,2.475884270557976e-08,1.8618287136606596e-07,1.6944411329733538e-07,0.0,0.0,0.0,0.0,0.0,4.0438101027066605e-12,0.0,0.0,0.0,-8.440757864847972e-10,0.0,1.9508491542390972e-07,4.983009080426259e-09,0.0,0.0,-2.456813385361143e-09,-1.9965267851383923e-09,0.0,9.384720154936172e-09,1.2375233497598787e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.063898968466129e-11,0.0,0.0,0.0,0.0,0.0,-1.3705513092403099e-10,2e-06,3.269793155831529e-07,0.0,3.856497885501512e-09,2.100034555435063e-18,0.0,0.0,0.0,-1.5622856552066038e-09,5.016640604641684e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.744385146687566e-11,0.0,0.0,1.577590519803927e-13,5.258266270419254e-16,0.0,0.0,0.0,0.0,0.0,0.0
400,4.712770894909001e-06,-1.4565227494950194e-07,2.455275620629157e-07,-2.5326633281611497e-08,-7.064867023627405e-08,1.8358288089685762e-07,5.36175063232811e-08,0.0,0.0,0.0,0.0,0.0,1.161567252955647e-09,0.0,0.0,0.0,-2.4870657321920627e-08,0.0,2.0553462568232743e-07,-1.2163678293500758e-09,0.0,0.0,-1.9289837972961365e-07,-2.526015411488072e-08,0.0,4.509088359447127e-10,1.4508764219077734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26849257911918e-09,0.0,0.0,0.0,0.0,0.0,-1.2538551026722688e-08,2e-06,3.2324151813784786e-07,0.0,-2.4076508583876137e-07,2.9283865708700576e-15,0.0,0.0,0.0,-3.1551770439036972e-09,7.596911680804498e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.864441148218944e-11,0.0,0.0,-1.1340321445998566e-12,1.4760284958853142e-14,0.0,0.0,0.0,0.0,0.0,0.0
500,8.339398191297253e-06,-5.828467811696384e-07,-8.645522851285712e-08,-1.525437795032311e-06,-3.882260357673472e-07,1.3807985191097252e-09,-6.75706143118997e-07,0.0,0.0,0.0,0.0,0.0,6.312758414472555e-09,0.0,0.0,0.0,-1.306338586157346e-07,0.0,2.5835039000418897e-07,-3.518817500599097e-08,0.0,0.0,-1.0380341403852952e-06,-1.2611967769904865e-07,0.0,-5.1392310699850895e-08,2.519971257169094e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2991610094250623e-08,0.0,0.0,0.0,0.0,0.0,-6.760481501705988e-08,2e-06,3.131088173019238e-07,0.0,-1.3307087332323854e-06,1.596145998931683e-14,0.0,0.0,0.0,-7.186380999350549e-09,1.2578408322129238e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.635796648873224e-10,0.0,0.0,-7.093751775948157e-12,7.748712875818956e-14,0.0,0.0,0.0,0.0,0.0,0.0
600,1.1966025487685503e-05,-1.0200412873897719e-06,-4.1843801908862844e-07,-3.02554895678301e-06,-7.058034012984203e-07,-1.8082128385863817e-07,-1.4050297925612751e-06,0.0,0.0,0.0,0.0,0.0,1.1463949575989488e-08,0.0,0.0,0.0,-2.363970599095486e-07,0.0,3.1116615432605053e-07,-6.915998218263186e-08,0.0,0.0,-1.8831699010409706e-06,-2.2697920128321695e-07,0.0,-1.0323553023564688e-07,3.589066092430422e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1714727609381974e-08,0.0,0.0,0.0,0.0,0.0,-1.226710790073967e-07,2e-06,3.029761164659998e-07,0.0,-2.4206523806260095e-06,2.8994533407763605e-14,0.0,0.0,0.0,-1.12175849547974e-08,1.755990496345398e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7851491829245463e-10,0.0,0.0,-1.3053471407296436e-11,1.402139725575256e-13,0.0,0.0,0.0,0.0,0.0,0.0
700,1.5592652784073757e-05,-1.4572357936099054e-06,-7.504208096644013e-07,-4.52566011853371e-06,-1.0233807668294919e-06,-3.6302336623638684e-07,-2.1343534420035535e-06,0.0,0.0,0.0,0.0,0.0,1.661514073750642e-08,0.0,0.0,0.0,-3.421602612033626e-07,0.0,3.6398191864791205e-07,-1.0313178935927257e-07,0.0,0.0,-2.7283056616966523e-06,-3.278387248673853e-07,0.0,-1.550787497714427e-07,4.6581609276917467e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.043784512451341e-08,0.0,0.0,0.0,0.0,0.0,-1.777373429977339e-07,2e-06,2.928434156300758e-07,0.0,-3.5105960280196333e-06,4.202760682621038e-14,0.0,0.0,0.0,-1.5248788910244252e-08,2.254140160477872e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9345017169758684e-10,0.0,0.0,-1.9013191038644713e-11,2.0294081635686201e-13,0.0,0.0,0.0,0.0,0.0,0.0
800,1.9219280080461983e-05,-1.8944302998300388e-06,-1.0824036002401725e-06,-6.025771280284403e-06,-1.3409581323605636e-06,-5.45225448614134e-07,-2.8636770914458284e-06,0.0,0.0,0.0,0.0,0.0,2.1766331899023327e-08,0.0,0.0,0.0,-4.479234624971762e-07,0.0,4.1679768296977346e-07,-1.3710359653591327e-07,0.0,0.0,-3.5734414223523277e-06,-4.286982484515528e-07,0.0,-2.0692196930723828e-07,5.727255762953067e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.916096263964476e-08,0.0,0.0,0.0,0.0,0.0,-2.3280360698807052e-07,2e-06,2.8271071479415185e-07,0.0,-4.6005396754132516e-06,5.506068024465706e-14,0.0,0.0,0.0,-1.927999286569108e-08,2.7522898246103436e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.083854251027184e-10,0.0,0.0,-2.497291066999299e-11,2.6566766015619805e-13,0.0,0.0,0.0,0.0,0.0,0.0
900,2.284590737685021e-05,-2.331624806050171e-06,-1.4143863908159423e-06,-7.525882442035096e-06,-1.6585354978916352e-06,-7.274275309918819e-07,-3.5930007408881033e-06,0.0,0.0,0.0,0.0,0.0,2.6917523060540214e-08,0.0,0.0,0.0,-5.536866637909899e-07,0.0,4.696134472916348e-07,-1.7107540371255397e-07,0.0,0.0,-4.418577183008003e-06,-5.295577720357208e-07,0.0,-2.587651888430341e-07,6.796350598214387e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.788408015477602e-08,0.0,0.0,0.0,0.0,0.0,-2.8786987097840733e-07,2e-06,2.7257801395822785e-07,0.0,-5.6904833228068694e-06,6.80937536631038e-14,0.0,0.0,0.0,-2.3311196821137905e-08,3.250439488742815e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.233206785078506e-10,0.0,0.0,-3.093263030134125e-11,3.283945039555341e-13,0.0,0.0,0.0,0.0,0.0,0.0
