milliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0974841527697046e-11,1.0000086483457999e-10,2.3439013497612493e-17,-5.500007191609508e-16,1.0354055774723581e-15,-1.5628640326849527e-17,4.636343991422218e-21,-1.1153086463723283e-20,1.1604578198010876e-21,-6.031726732363457e-18,-3.6295143288457753e-20,-1.7914601710994997e-20,-2.4718794374836586e-23,9.838328085562788e-25,-2.918465375856712e-25,-2.5628600775178255e-23,-7.719216979282325e-30,5.0355062092599357e-17,3.789572935919045e-15,3.514414197992257e-21,9.609181231298003e-21,-1.3985544522062227e-18,-2.060956786005523e-21,3.889804660415146e-17,-1.9397744637162387e-21,-9.746678988587175e-21,-7.435647616921148e-21,-5.710335269971265e-18,2.092142906834358e-28,1.1857151593023209e-28,-1.4847811772229485e-28,8.895103459819781e-28,-1.103676186084244e-25,-3.7015698005758506e-26,4.166319223660568e-23
100,1.0526711552328245e-11,9.956796653406478e-11,4.156484112491463e-15,2.0359594120749052e-13,2.058660809626735e-13,4.1424203443507e-15,4.03155637576062e-18,8.339864152805476e-18,2.200086083163845e-19,1.2317253814051315e-17,8.386175153065793e-18,4.027144540362204e-18,3.1696667395245623e-23,1.6485543542604278e-22,1.6707136100204348e-22,5.205683902769879e-23,4.598293683275509e-28,2.2931452809626157e-15,3.302251241134248e-15,1.579283459553535e-21,3.1934576762736485e-21,4.941406369073591e-18,9.422388358178418e-20,2.186862325355865e-15,9.375090365675745e-20,9.470571988491517e-21,-2.9270661939337166e-21,-1.82258200007914e-18,2.080329158116623e-28,1.0972705525249261e-28,6.446955234234079e-29,1.2654465706138113e-25,-6.000200489746049e-26,-4.577842511382296e-27,2.04463336965063e-23
200,1.0498656840614723e-11,9.955354974845222e-11,4.234828756748491e-15,2.091827469473576e-13,2.0939910572012721e-13,4.1638279126848305e-15,6.1767240291983254e-18,8.665717797792651e-18,1.987530243718992e-19,2.9322692670001926e-17,8.557331066006584e-18,6.202649390548545e-18,7.739230451248958e-23,2.5488401347320597e-22,2.542110039591209e-22,9.509191015044277e-23,7.001605783366625e-28,3.5149178101561502e-15,1.618523170380371e-14,8.70648222861279e-21,-7.375883417013943e-21,7.415341101868574e-18,1.4170107293500383e-19,3.4884863377122796e-15,1.4622171276109325e-19,-6.241719721977847e-21,2.337644743024976e-21,7.588758132287445e-18,3.7614854694927733e-28,4.6591223496599004e-28,6.331368266428756e-28,1.532917756818244e-25,1.5720987212269074e-25,9.124410913219363e-26,-5.579722500864728e-23
300,1.0474497218101657e-11,9.95428113878586e-11,4.198068271131085e-15,2.096110500884191e-13,2.0955192485011267e-13,4.2230327807896646e-15,6.455412527531868e-18,8.726078603810458e-18,1.9445227767671709e-19,3.9082561387178603e-17,8.708433335622045e-18,6.6631350887149055e-18,7.680141349929135e-23,2.6730910690377286e-22,2.7317393210488163e-22,9.738004659767842e-23,8.574539285393657e-28,3.811224704003854e-15,1.8833953367987035e-14,7.835323811081091e-21,9.074169403590983e-21,3.089212736204477e-18,1.59748642701334e-19,3.8254777747222196e-15,1.5971137165559609e-19,-2.2863932068996844e-21,1.3457903338984158e-20,-1.383934018661767e-18,7.4100405548865615e-28,5.050421641767835e-28,3.914678643124594e-28,9.162054769391068e-26,-4.224383278384003e-27,-5.532851644094134e-26,8.82068997665632e-24
400,1.0455592042920333e-11,9.953333754877323e-11,4.2188498596922026e-15,2.0632283515286067e-13,2.0606382610609057e-13,4.2125090749749565e-15,7.112883894198808e-18,8.575637661926788e-18,1.9254549614355199e-19,4.640979198791126e-17,8.581991676389515e-18,6.8797120015866065e-18,1.075600783090866e-22,2.8941436391972e-22,2.92350370065106e-22,1.3365209033273093e-22,8.236003593662877e-28,4.130939674184648e-15,2.9087092696787394e-14,7.684033126942725e-21,-2.348860325900616e-22,2.0632088879971764e-18,1.6834716671587237e-19,4.0754146718194e-15,1.668231467589955e-19,1.3559673926118654e-20,1.2273156854977678e-20,4.0501082996099416e-18,7.564606870373963e-28,7.178353460358099e-28,7.842545438502954e-28,-9.020285575761013e-27,1.0391828407572443e-25,1.5426451225128952e-25,1.2276825041515197e-22
500,1.0441783877684133e-11,9.953726265313633e-11,4.1705743109616185e-15,2.0612173591252065e-13,2.0667699105284265e-13,4.1408699755869454e-15,7.436416900986523e-18,8.72528880072686e-18,1.9031037409424153e-19,5.883863402942872e-17,8.69916595645735e-18,7.531206947186007e-18,1.3094519257948738e-22,3.0762400130157175e-22,3.05794011563146e-22,1.74960650036692e-22,9.85269803574234e-28,4.331853398472054e-15,3.22603101677048e-14,5.25428725310297e-21,2.6678037152268137e-21,5.71087197721512e-18,1.828437282603919e-19,4.456369435231884e-15,1.8348709645182883e-19,1.2971998266810738e-21,2.0933075982172296e-20,7.062147495756629e-18,7.503194471049681e-28,5.950228076196138e-28,7.654621024058655e-28,3.29617148244794e-26,9.007805474097633e-26,2.4539881566270194e-25,4.57492042548692e-23
600,1.0427844209368949e-11,9.952172962146702e-11,4.1306875288529676e-15,2.0855293977689833e-13,2.0498337525877317e-13,4.158537468614931e-15,7.82012346322411e-18,8.721191680976652e-18,1.8821688134264013e-19,6.699439145335344e-17,8.641183037532868e-18,7.795430511599607e-18,1.980997261203157e-22,3.1925097566566517e-22,3.19619661596559e-22,1.6122072578480946e-22,1.1179685374771364e-27,4.705574127312046e-15,4.517185611951395e-14,6.259305794955212e-21,1.6462310334425437e-20,1.0278278718478421e-17,1.9002614148788489e-19,4.6710367573399855e-15,1.9237091748676145e-19,1.3188245598190988e-20,8.913610059047438e-21,3.771060072314031e-18,6.176722503172973e-28,8.521374604853116e-28,8.97831517836242e-28,1.0009166942147319e-25,7.79465024777715e-26,1.6867566605842643e-25,1.586394015782501e-22
700,1.0416315413881031e-11,9.952262524010855e-11,4.1708402179182494e-15,2.0785682214516097e-13,2.073987163941637e-13,4.185977286975602e-15,8.043460864546148e-18,8.672007878468821e-18,1.830926912623863e-19,8.07685550504437e-17,8.512861450434452e-18,8.028828154257609e-18,2.0790498404899418e-22,3.3021356613554133e-22,3.2524760152224233e-22,2.0388431846004896e-22,1.1456877887521443e-27,4.792891275011088e-15,4.503613812296721e-14,1.6350218034422083e-20,2.565842820412388e-20,1.2477179987769578e-17,1.9760214753708746e-19,4.8359817430151595e-15,1.944482661562024e-19,2.058831614923741e-20,1.5004429472709477e-20,5.1667192640666994e-18,7.792784402311113e-28,7.752242560415206e-28,8.135063263520256e-28,1.6393681357281768e-25,2.6127762465746263e-25,3.205071736641897e-25,1.6805709500603848e-22
800,1.0406250830230262e-11,9.951900891521371e-11,4.1365515901912824e-15,2.0435633551843357e-13,2.0696811673044119e-13,4.1152685495969676e-15,8.114868913318367e-18,8.671827218967589e-18,1.8626204030264253e-19,8.896515487515595e-17,8.480460570371233e-18,8.189179405246787e-18,2.1269575162121537e-22,3.3405557878064104e-22,3.2853120404238252e-22,2.0061407713819325e-22,1.1175799340361395e-27,4.744427327230833e-15,4.816695068581283e-14,3.123992768120947e-20,1.8452598129505684e-20,1.6700685377032516e-17,1.9581234254050966e-19,4.845212969382913e-15,1.9887723658488725e-19,3.797900757667105e-20,1.769603369191261e-20,1.442220761378351e-17,1.0978716595664202e-27,1.27175872055031e-27,1.2718706694503257e-27,1.612935773655557e-25,2.6050065539367736e-25,2.2244994302063345e-25,1.512939482515402e-22
900,1.0411462504306143e-11,9.951510116454938e-11,4.144813885534153e-15,2.0591017604036496e-13,2.0759274533192347e-13,4.1205277122557355e-15,8.109190281842664e-18,8.545088967097196e-18,1.8597541293190826e-19,8.754109067592107e-17,8.588302748161026e-18,8.026369103741738e-18,2.471027151766125e-22,3.321987774577407e-22,3.3313136818287254e-22,2.465919283149435e-22,1.1925163045892773e-27,4.810170771331205e-15,6.011688669881036e-14,3.3013330383068805e-20,2.8465469223779917e-20,1.820878938693251e-17,1.972135286373975e-19,4.848982276696342e-15,1.9350409857553385e-19,4.287278317202157e-20,3.840227167776214e-20,2.098881615873473e-17,1.0431974212637921e-27,1.2247697850384038e-27,1.2820747631466257e-27,3.32620443814672e-25,2.5961109973827422e-25,2.8575889879548404e-25,1.7229830823861702e-22
