milliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0952977072480027e-11,9.999622114501325e-11,2.6166270415419393e-17,-8.1844509228732045e-16,-2.9909097618550714e-16,4.6567384711705205e-17,-2.1851229171426724e-20,-6.10930084555218e-20,7.101531805653526e-22,5.171867489609115e-18,1.126680473376949e-20,-1.0062038735034314e-19,-1.598888959604359e-23,-1.9029355833952583e-24,3.6135225732522724e-24,-2.1961474771368935e-23,-4.1627837786318324e-30,-6.514575677653279e-17,-1.1028637348620926e-15,-4.5612294728364795e-21,6.99083124740851e-21,5.513745630252224e-18,-1.8994449589264478e-21,-7.653217938406757e-17,-1.477980865731233e-21,4.504189819622374e-21,-2.6073291577420234e-21,-2.2450795772699904e-18,-1.9094781055794034e-28,1.2832495137055094e-28,1.731182493466401e-29,-3.844449311624057e-26,-1.2032957511956987e-25,2.0607684396329027e-26,4.241615174279053e-23
100,1.0517888020893894e-11,9.957070289137158e-11,4.150247072361299e-15,2.0362429603268119e-13,2.0690801388099715e-13,4.1502542684382944e-15,3.994705349466155e-18,8.353606122322245e-18,2.223098826286947e-19,1.093675526527526e-17,8.42143050430788e-18,4.158143171836431e-18,4.1058704498001403e-23,1.6995403914335975e-22,1.7316127708732435e-22,3.0014490326416155e-23,5.144723652683781e-28,2.289286394266715e-15,3.480403374718403e-15,2.9290917072766216e-22,-8.771715019680213e-21,3.736259576467804e-19,9.498800765584928e-20,2.3004844423468054e-15,9.419295648806422e-20,8.222593662975374e-21,-1.5326657504527382e-21,7.160851220521385e-18,3.6992421069885226e-28,3.9072263642232793e-28,4.554912217301654e-28,-4.4307296942813084e-26,8.947869393955642e-26,-9.91530598813052e-26,-5.801705898370102e-23
200,1.0505381795680013e-11,9.955628678327388e-11,4.122588859588862e-15,2.0983771651362044e-13,2.0732461229462786e-13,4.1281156537859554e-15,6.1947345363992e-18,8.726919463904347e-18,1.9753423388251203e-19,3.462369541743725e-17,8.690711819856089e-18,6.2019381194263674e-18,8.360788740632046e-23,2.508448190096574e-22,2.461708169386376e-22,6.941451172650934e-23,6.445787474860418e-28,3.4798178330768827e-15,1.4989034921191702e-14,6.162713901898529e-21,1.2716683456544222e-20,-5.364079605060643e-18,1.431596309838218e-19,3.582079065108597e-15,1.4178371084979896e-19,4.545058927627599e-21,9.676322069509509e-21,3.970105281431587e-18,2.87095612519676e-28,4.375243515167858e-28,2.8811332244004084e-28,5.876733251631429e-26,-5.702305336849697e-26,1.258234999642012e-25,5.98198098124535e-23
300,1.0486437258796068e-11,9.954662220404667e-11,4.207515732549075e-15,2.097011141764698e-13,2.0711610585706808e-13,4.179329336537974e-15,6.521143685799065e-18,8.656568843346151e-18,1.9560274975798083e-19,4.3548124824510094e-17,8.678258966505878e-18,6.598336126611544e-18,7.564001266735373e-23,2.7051208625475094e-22,2.690650346837792e-22,8.266032935695805e-23,7.865212644559231e-28,3.8962235532554824e-15,2.6291233786168655e-14,1.334207719350935e-20,1.032176539956732e-20,2.6503990090420565e-18,1.576059406446508e-19,3.8766592227829225e-15,1.5791633338762e-19,1.0445566761798523e-20,1.406623188934107e-20,7.728230897017288e-18,5.412526538053766e-28,4.095045185388738e-28,4.094527929957924e-28,8.906774282091836e-26,1.4354813431807395e-25,8.647878249969891e-26,-2.186320955415224e-24
400,1.046925220431251e-11,9.954483870586469e-11,4.151651908273053e-15,2.0832384671167163e-13,2.0790918645102371e-13,4.1680117068446764e-15,6.993319635158651e-18,8.653392588093715e-18,1.9046489250034004e-19,5.1542261089240564e-17,8.718354778530609e-18,6.933988088436776e-18,1.5078701496062784e-22,2.8737849226288663e-22,2.9242891411564968e-22,1.4254676761814517e-22,8.238584425436039e-28,4.196605928495553e-15,2.9341645933452557e-14,3.2484173097131043e-21,4.310443060617779e-21,7.108462821775779e-18,1.7164963303355192e-19,4.1407559149250564e-15,1.716863164953111e-19,1.3518796403811904e-20,1.3655005508882883e-20,6.600270674006981e-18,3.8161603130173846e-28,8.281969060535104e-28,6.141024728167755e-28,1.7136220232040898e-25,-2.847761558984825e-26,1.5454568261109873e-25,5.1859191298368626e-23
500,1.0457509393428017e-11,9.952874274340566e-11,4.105990249127231e-15,2.091049315795757e-13,2.0776543416182714e-13,4.106894052944234e-15,7.39143544327993e-18,8.716598564896918e-18,1.867001757417765e-19,6.384225276955708e-17,8.663388461256016e-18,7.562361411662079e-18,1.259835312248124e-22,3.008532135641267e-22,3.065299644446193e-22,1.3782008718064855e-22,9.401283797942454e-28,4.453094513514502e-15,3.891659073555411e-14,2.956123098387235e-22,1.3285771925177627e-21,1.0886788325321453e-17,1.822705185520254e-19,4.37446245000786e-15,1.7995207755346861e-19,1.5145526086662067e-20,1.277388259407932e-20,7.24707504456425e-18,7.422425498929772e-28,7.877041993758192e-28,8.723769060117662e-28,9.148118140513636e-26,1.4521559980926508e-25,1.0330284541755941e-25,7.494006155835127e-23
600,1.0430882212050173e-11,9.95186646305744e-11,4.1772132616373235e-15,2.0791643761054332e-13,2.08661832822244e-13,4.141338656685664e-15,7.885577143253453e-18,8.657049072824437e-18,1.8485533084666625e-19,6.949317145571215e-17,8.68730211468715e-18,7.856037598574288e-18,1.6088768099594134e-22,3.270998928907137e-22,3.2292485083236786e-22,1.7059275436623815e-22,1.094927755782656e-27,4.702990375845125e-15,4.0058801900067255e-14,3.869752128612839e-21,2.5495207180842476e-20,5.67019123167014e-18,1.9065112294198482e-19,4.6971992676731e-15,1.9190742165714218e-19,1.6102797227122345e-20,1.0498331471580173e-20,8.509351262543984e-18,8.806103163046652e-28,8.755989737954416e-28,7.776374317553522e-28,7.5295471651399e-26,1.0385527379596486e-25,1.0840987018022113e-25,5.1161953323397473e-23
700,1.0418940055833564e-11,9.951308945717673e-11,4.1601950561019576e-15,2.069060380894993e-13,2.0653021779511755e-13,4.168419485012611e-15,8.125573705208713e-18,8.579559541167468e-18,1.8447940309206815e-19,7.71566048729716e-17,8.557259596438936e-18,8.104726620959397e-18,1.7202149074291146e-22,3.343204735257538e-22,3.340209241728381e-22,2.2385236883146867e-22,1.0901580480706789e-27,4.771106199781782e-15,4.8117631117838974e-14,1.6514436226512416e-20,2.1804105402681026e-20,1.2839524496038232e-17,1.9562228609544416e-19,4.74091044923071e-15,1.988487580342832e-19,2.9624043379118697e-20,2.5376064339304632e-20,1.2809387223748785e-17,7.854376101479354e-28,6.804658627248831e-28,9.845942830779427e-28,1.07747262141495e-25,3.2133525018890504e-25,1.3899712926092058e-25,8.129478702816907e-23
800,1.0411963087693475e-11,9.951151322486601e-11,4.190242277091598e-15,2.052404975594478e-13,2.0614170385883041e-13,4.10310814011381e-15,8.036203167076608e-18,8.62006501393164e-18,1.860144351001575e-19,8.795997594922954e-17,8.62358809116175e-18,8.021299425765708e-18,2.0393127068337502e-22,3.314770287428262e-22,3.3276516979503732e-22,2.385294387286616e-22,1.1565795665870509e-27,4.843931997181919e-15,5.133305346102369e-14,3.0182956223490233e-20,3.776421525913603e-20,1.4889111098380068e-17,1.9892861989001833e-19,4.765234009815239e-15,1.9479814010148665e-19,2.4258147746654676e-20,3.066405353130744e-20,2.0668980966252285e-17,8.996472710443919e-28,9.281667104276705e-28,1.014656515030708e-27,2.7493575329298327e-25,2.1679274702797394e-25,1.606095157342141e-25,9.743346809470337e-23
900,1.0410806786648104e-11,9.951714046765543e-11,4.1916332349714985e-15,2.0648288883266952e-13,2.0677348923488808e-13,4.1909040833234406e-15,8.154189522506865e-18,8.572103961531288e-18,1.9081977059004235e-19,9.285940653544094e-17,8.62446237384347e-18,8.097684138589846e-18,2.280234582134721e-22,3.2975316481170143e-22,3.251498614788896e-22,2.3298512505159896e-22,1.1937191525851328e-27,4.7786388879175824e-15,5.1991856274893553e-14,2.861883150630872e-20,4.502275508108595e-20,1.4156165121771918e-17,1.9767055694734865e-19,4.753760556264402e-15,1.9618138159952565e-19,2.5662951260603348e-20,3.761955273120597e-20,1.5845961191947253e-17,1.1685217587257763e-27,1.1628958799586683e-27,9.90654098484904e-28,3.9934200168209875e-25,3.3172685209275875e-25,2.701257803228065e-25,2.0628755254952704e-22
1000,1.0412469816782156e-11,9.951477864424634e-11,4.123856019827848e-15,2.0948247374296062e-13,2.0806693677184263e-13,4.129649887217166e-15,8.122361969290182e-18,8.521892357743874e-18,1.8895755091940366e-19,1.0531524507719857e-16,8.563046300187828e-18,7.988089776418055e-18,2.707032825372068e-22,3.338844195069398e-22,3.2906193273857423e-22,2.864489077676299e-22,1.2598386770069033e-27,4.8321532707024195e-15,5.758771631510189e-14,3.5660070203112396e-20,5.21790634651708e-20,2.2733373970641102e-17,1.9842612350370434e-19,4.858088027559475e-15,1.9863422240845844e-19,3.365380037474849e-20,3.498632785822523e-20,2.6854997313800438e-17,1.2183982536342595e-27,1.4521787491113302e-27,1.3793143013771237e-27,5.163721171393056e-25,3.831352683446893e-25,5.005235018996593e-25,2.493525686352705e-22
1100,1.0400040880901151e-11,9.950456648555014e-11,4.195503790602181e-15,2.0670577116047604e-13,2.0442000106835743e-13,4.1687964419494876e-15,8.20097498204724e-18,8.605155854491168e-18,1.872646404321199e-19,1.0515188404826744e-16,8.516457962159906e-18,8.138365469498586e-18,2.605769374483888e-22,3.33316952716784e-22,3.248657853616916e-22,2.713571367582438e-22,1.3398254151405005e-27,4.8899688921992774e-15,6.805552075575262e-14,4.656175163022886e-20,5.781475410822918e-20,2.4483854441382212e-17,1.994553654400707e-19,4.7776426958792695e-15,1.9876345421780667e-19,5.330424339397423e-20,4.5449516799247756e-20,3.368367501261934e-17,1.644080623610599e-27,1.3819490787645546e-27,1.3795411287002389e-27,5.007334291997093e-25,4.824346876161686e-25,5.838685135265294e-25,1.986251671185026e-22
