milliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0975064453062854e-11,9.999832188204957e-11,4.245509824121987e-17,-1.8734566238610317e-15,1.7449959834127739e-15,-2.6942789537391442e-17,-2.205645773188333e-20,-1.6702136335095928e-20,-9.669898329088954e-22,-4.804271474228579e-18,4.763430758971916e-20,2.0370540457947706e-20,1.9405430536382598e-23,-4.5474556872389984e-24,4.881280906119741e-25,2.1620803635185972e-23,-5.736594538216281e-29,-6.656902785508286e-17,1.518603761691752e-15,-1.2463958172603116e-21,-8.287428537156165e-21,-4.305433041396336e-18,1.730324943268408e-21,-4.7992189643792445e-17,-2.4327774178374767e-21,7.159784576925456e-21,3.2444643500823468e-21,-5.095598086178513e-18,-8.05437932067423e-29,1.6581479159911784e-28,-2.347211090653838e-28,3.4420406409973285e-26,-4.9396241162473004e-26,1.2284169744006072e-25,2.96212438878028e-23
100,1.0511695572138524e-11,9.956963079534126e-11,4.18586825525658e-15,2.079483696947406e-13,2.0795428619347904e-13,4.202351770421707e-15,4.1064773724603445e-18,8.45341733754159e-18,2.1896210851791864e-19,1.4522277574049766e-17,8.417907272595846e-18,3.99665963758177e-18,5.104821239352212e-23,1.6454331940225442e-22,1.7304131141769746e-22,4.4836554109123277e-23,4.270346915571983e-28,2.266557297074038e-15,3.0846081767644308e-15,1.721610521825116e-21,-7.63724788449174e-21,5.666623520004112e-18,9.121158503227513e-20,2.232174930528987e-15,9.279660696758558e-20,1.446052721414178e-21,1.1869563536942924e-21,-3.2584280239403667e-18,3.421889523621017e-28,3.6509442868658063e-28,3.3168772047638494e-28,-8.088059816476972e-26,8.963163744831174e-26,-7.166184448755581e-26,-2.0819169562450145e-23
200,1.0494204100004213e-11,9.95604929366605e-11,4.122557867205615e-15,2.1083089116206996e-13,2.083035374135961e-13,4.19167857908199e-15,5.968208428328884e-18,8.618376930339984e-18,2.0078497903768817e-19,2.5347340317619648e-17,8.552977229840687e-18,5.980438930382662e-18,6.289832264653668e-23,2.5525164117081222e-22,2.502424504806995e-22,9.580458510570135e-23,7.040089961357364e-28,3.5256414534456273e-15,1.6884810121299662e-14,8.65295019276968e-21,1.21128492115291e-20,2.787831782039673e-18,1.4261218975328333e-19,3.4769020115728535e-15,1.4403286545488615e-19,-4.699534861252592e-22,1.0064070272492714e-20,4.42052251148375e-18,4.520754586075691e-28,6.166953008745117e-28,4.494254559171756e-28,6.374119241666032e-26,6.851388637774408e-26,6.356722452331858e-26,-3.02219948805148e-23
300,1.0474193466369424e-11,9.953697535905331e-11,4.135715817423213e-15,2.0939700705884247e-13,2.1071219120431632e-13,4.117569504594984e-15,6.6724757574532915e-18,8.617519841424158e-18,1.9699228124396811e-19,3.477244145165896e-17,8.629685512400412e-18,6.454398160394387e-18,8.562325710571249e-23,2.725376653194141e-22,2.7038667584520697e-22,1.0042166822969245e-22,7.46083376602025e-28,3.816157734439158e-15,2.3166071521101118e-14,1.2427620375490617e-20,1.2314847715565439e-20,4.625685544936033e-18,1.6110363510334046e-19,3.907171297960943e-15,1.5992135432586511e-19,5.939858561166718e-21,1.530166576160715e-20,9.48317687816815e-19,4.391727207572151e-28,2.872996592045846e-28,3.973562957339937e-28,6.938127974926672e-26,-5.400962662317255e-26,-2.9650891308304726e-26,-8.999044145062745e-24
400,1.0464589016585645e-11,9.953771258867665e-11,4.156199419948812e-15,2.1057673615933638e-13,2.0663023067958887e-13,4.17644679759913e-15,6.981792499086474e-18,8.635403959112872e-18,1.9049073803469418e-19,5.296261207318706e-17,8.544496654367544e-18,6.967796423813789e-18,1.4284522278335851e-22,2.925570591093623e-22,2.8944018117175705e-22,1.01261476939701e-22,8.633024291387601e-28,4.135501290767092e-15,2.5426964431426347e-14,-1.3391288431041633e-21,7.315843033438481e-21,2.3834004784799255e-18,1.6928246029436607e-19,4.1372856322726016e-15,1.6710960926567169e-19,1.0949420059786334e-20,4.3168009981480975e-22,3.963211283821034e-18,6.664365381087425e-28,7.816458764201002e-28,6.125019031353878e-28,8.550461068797033e-26,1.3026023794967881e-25,-6.574717274411294e-27,1.1990435475718895e-22
500,1.0441828684988488e-11,9.953378584855213e-11,4.14047782506536e-15,2.0722487679205922e-13,2.0552508895911474e-13,4.1419408511776094e-15,7.440453221442623e-18,8.588885603717195e-18,1.9038293641129664e-19,6.883926129656377e-17,8.650562987855937e-18,7.357780149426466e-18,1.3079366858855444e-22,3.0365187530289246e-22,3.0554560651691367e-22,1.3873731063058823e-22,1.0262991067616523e-27,4.3794952841561306e-15,3.442013079809676e-14,4.448378178133705e-21,1.4622341819000097e-20,1.2289528038471894e-17,1.8357783842665747e-19,4.4138152661894126e-15,1.8288620602710576e-19,1.3037656702965107e-20,7.939905970582506e-21,1.3660171364669262e-17,7.328044902355732e-28,5.083781120909322e-28,6.740890843025281e-28,2.1141851223913365e-25,2.3739703991174025e-25,4.9569818552247753e-26,6.857784687169575e-23
600,1.0423240239689663e-11,9.953186615840158e-11,4.1627826887616695e-15,2.089804962851782e-13,2.0791768126103859e-13,4.186413113202945e-15,7.955114558143508e-18,8.638911517140777e-18,1.8590790039318397e-19,8.099358744261852e-17,8.670977835455705e-18,7.814709670264084e-18,1.8994814869910205e-22,3.2457267961836243e-22,3.258328895564204e-22,1.4831615132249628e-22,1.0755134975642377e-27,4.682598967138948e-15,4.601523523672761e-14,1.215840300967327e-20,2.5757572720180646e-20,9.567550973694491e-18,1.9213191412633731e-19,4.616361502866689e-15,1.9117454592834327e-19,1.4703117377287473e-20,4.533641667075178e-21,3.506896043432089e-18,5.890582267965087e-28,6.646492345778441e-28,6.4436288562038465e-28,2.4463892760184868e-25,1.024339318079053e-25,1.9163106829936097e-25,5.661807794676273e-23
700,1.0413940268842804e-11,9.951530231994859e-11,4.124777752559424e-15,2.0734194128618914e-13,2.0646654838184012e-13,4.13309612711658e-15,8.01927246079755e-18,8.687879515630487e-18,1.8846478542307559e-19,7.658380317561442e-17,8.691670846138287e-18,8.070698507486336e-18,1.7354250195277592e-22,3.3440076852103307e-22,3.2505636811655497e-22,1.9292968680451982e-22,1.0757462791553701e-27,4.776350149267226e-15,4.963333922545107e-14,1.0109427554857598e-20,2.0962012291442902e-20,6.871324638772232e-18,1.948208794168394e-19,4.734924763101904e-15,1.9962933313275748e-19,2.351724687626236e-20,2.5424334088037868e-20,1.2145482235924195e-17,7.769919134785237e-28,7.273604347971236e-28,9.728454805675872e-28,3.061062889487704e-25,3.138442690932941e-25,2.798306854537482e-25,5.375896288076025e-23
800,1.0421559605684277e-11,9.952031781437802e-11,4.145098650499757e-15,2.0779963257086882e-13,2.0667003078931324e-13,4.184179907762718e-15,8.143184461654762e-18,8.616905258106896e-18,1.8600297163355942e-19,8.21783685074347e-17,8.490748550497836e-18,7.997876652006604e-18,1.932123506228677e-22,3.255061474868283e-22,3.2698195980426065e-22,2.2614426787561045e-22,1.1866154610870114e-27,4.848544738811873e-15,5.562867218289131e-14,3.115928699435209e-20,2.4192855480454755e-20,1.8093640252126163e-17,1.9593690553511155e-19,4.867443087062961e-15,1.9399249804535674e-19,3.0136201176551857e-20,2.3271556156876195e-20,9.830895669541197e-18,9.12774239045078e-28,8.559383176919643e-28,9.980230544163538e-28,3.322638698928562e-25,2.2951397306980745e-25,2.51076679043382e-25,8.782468086368735e-23
900,1.0402547313410331e-11,9.951406499029005e-11,4.100416622139771e-15,2.0579725464245975e-13,2.068786111600551e-13,4.137245482863951e-15,7.97502348248925e-18,8.68566579222631e-18,1.8684685351971822e-19,8.851125635540574e-17,8.525600099042792e-18,8.005465328852035e-18,2.1253400127242905e-22,3.3345052527698847e-22,3.242990700628592e-22,2.3096342805179564e-22,1.2122115196448692e-27,4.767635640364994e-15,5.176510463891621e-14,2.628089830312128e-20,2.8925463671117087e-20,2.4046189186189578e-17,1.9507859526828766e-19,4.827369043571924e-15,1.994438710862135e-19,3.839165662046801e-20,3.03654342930188e-20,2.1106719944947396e-17,1.2885859540064124e-27,1.1146556133559265e-27,9.607824632895394e-28,4.313208292686507e-25,2.813018945369254e-25,3.746425479471787e-25,1.7060252655242404e-22
