milliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.097130825019349e-11,1.0000278809271459e-10,-9.004939533755884e-18,-8.257142268071756e-16,2.867613071697466e-15,3.3681564096595886e-18,6.578132432755522e-20,-1.3330837838319582e-20,2.5675255189285913e-21,4.4611931196669084e-18,1.6340469249585203e-20,-7.20631183701826e-20,-7.696501575928143e-24,2.768795819338335e-24,-6.477510551693159e-25,2.098267901626092e-23,3.438066487775894e-29,3.3498054894955936e-17,-8.194461000201401e-16,-1.0003787986618144e-20,-5.070899668215452e-22,1.2895343221249212e-18,2.2553309865894018e-21,1.2651684961867696e-17,2.193029363319617e-21,6.418458113065028e-21,6.275178068886001e-21,-8.54137995665313e-19,-1.82532339015678e-28,1.453043992613779e-28,-2.169342211799455e-28,9.7036437259025e-27,-9.402422534822822e-26,4.0974851483432145e-26,-1.35135251483746e-23
100,1.0526574632644284e-11,9.957259956414106e-11,4.241055652568994e-15,2.028855254288779e-13,2.0756559131513045e-13,4.175054708358811e-15,4.093647189691355e-18,8.420988801553748e-18,2.2177240622766493e-19,1.9805115468377916e-17,8.515581937196571e-18,3.989655236945292e-18,5.516504186215109e-23,1.660127368598771e-22,1.6744850500667213e-22,3.799592241369417e-23,4.362687687833788e-28,2.1957068062581244e-15,3.4478878901136485e-15,8.81422916570389e-21,5.214983694892513e-21,-3.024221281783848e-18,9.013961265381077e-20,2.3067828586330104e-15,9.103492936270264e-20,-2.585627097427985e-21,-4.552619197638775e-21,-1.0067621106590057e-18,1.8618708578750494e-28,4.844472051454252e-28,3.6873409327610022e-28,8.494739769539434e-26,-7.770264157233166e-26,-7.131308942381615e-26,-2.920392261473319e-23
200,1.0495232743546937e-11,9.954987695625703e-11,4.219564714408901e-15,2.0862103333344288e-13,2.0733749250829433e-13,4.186010079192995e-15,5.983266757741873e-18,8.64098017796201e-18,1.9837889092232128e-19,2.0440751870162562e-17,8.693998986944112e-18,6.19849553261492e-18,4.831321301664451e-23,2.4568296705238957e-22,2.5470897453958125e-22,7.167649776647547e-23,6.633353825716966e-28,3.5804717192536525e-15,1.9537619619095512e-14,-1.3802093161060107e-21,1.344423167522302e-21,5.023508991492986e-18,1.4782757100683374e-19,3.4911373685271236e-15,1.4734701054683587e-19,-8.477785062839431e-21,-3.1638925106959413e-21,4.0710263088016965e-18,5.388693263162755e-28,3.59051981776592e-28,4.374853188708191e-28,1.3067857454878674e-25,1.2316280880899688e-25,1.5997473712696396e-25,6.891358288396979e-23
300,1.0477599276957266e-11,9.954892854986413e-11,4.216793863330293e-15,2.0876055054213798e-13,2.072315283661801e-13,4.1278685985088005e-15,6.451748883851741e-18,8.698159449380883e-18,1.958337454643041e-19,4.356169551754226e-17,8.741271628465708e-18,6.5344051326160126e-18,1.0734759081084566e-22,2.683172814893781e-22,2.677430575777129e-22,9.391070171486861e-23,8.567149946893151e-28,3.861989964827688e-15,2.2632548046206568e-14,2.4692846162891693e-21,1.0596780407730322e-20,8.155338512683798e-18,1.5814110479088374e-19,3.8507076705367104e-15,1.5992949815409447e-19,5.848632637701634e-21,8.493012619641004e-22,7.084254702428968e-18,5.5532672700324715e-28,3.3301739395937514e-28,4.8802235023362245e-28,1.1128598383827446e-25,1.4894207120685298e-25,1.6131926190690368e-25,6.478689215087424e-23
400,1.0467786700760955e-11,9.953888001109353e-11,4.129436060585751e-15,2.0629589296897075e-13,2.0712143506402643e-13,4.11819804446719e-15,6.902853611141595e-18,8.516500000540167e-18,1.9412148938283174e-19,4.423313135421597e-17,8.536752086532744e-18,6.936105350229495e-18,1.3763625847615468e-22,2.8670743800245963e-22,2.896412227077198e-22,1.0474697414559881e-22,8.647013319395338e-28,4.160145019671191e-15,2.5386222678391416e-14,1.853487046153697e-20,3.168618378304279e-21,5.586991154288685e-18,1.6780396061207337e-19,4.047663686972668e-15,1.700702803394309e-19,2.5671295138078824e-21,4.501125856553943e-21,-1.6343328907835288e-18,7.686270146971307e-28,8.252888686944849e-28,7.326751344927182e-28,1.5628898923734902e-25,3.2913112100253926e-26,9.627141835382434e-26,1.3725375161138753e-23
500,1.0461523314274416e-11,9.953791766739727e-11,4.166074416333943e-15,2.05381075336565e-13,2.0933154217428554e-13,4.115257196448231e-15,7.332514176352355e-18,8.597107813458388e-18,1.8805507785840438e-19,5.492644666810912e-17,8.562931520152937e-18,7.562449422405928e-18,1.5393649701114729e-22,3.0899844614779035e-22,3.105353001431884e-22,1.5389230957351443e-22,9.476956978658176e-28,4.360847298109299e-15,3.6418309255489517e-14,1.1441152325113885e-20,5.290962194935719e-21,4.037434114683984e-18,1.8043026392528476e-19,4.4285210996068525e-15,1.8175169922860053e-19,2.0199417348739015e-20,9.178860019337961e-21,4.637082314061991e-18,6.253304487022569e-28,6.3950500033790915e-28,5.83811190413172e-28,1.5490029051094875e-25,1.4968877183047848e-26,1.8154276132533119e-25,5.931731592592739e-23
600,1.0446586766348466e-11,9.952582172830619e-11,4.117354990083962e-15,2.065801247497567e-13,2.0608351838736675e-13,4.159861334504651e-15,7.746011027366017e-18,8.574892776879736e-18,1.8404108719729866e-19,7.626330511794197e-17,8.639634713637046e-18,7.84902081237846e-18,1.726096126679094e-22,3.196295435792807e-22,3.2482878942856684e-22,1.7507386095396453e-22,1.0945099998197942e-27,4.6280977415563595e-15,4.0340578434078386e-14,1.6129842036698316e-20,2.3804397943500308e-20,1.3521903601628136e-17,1.9436174359627619e-19,4.619765381308587e-15,1.9427648106993962e-19,5.149979878185642e-21,1.2214121191613361e-20,1.2665005373739886e-17,5.820986207741854e-28,9.494675497967855e-28,6.1654704045787815e-28,2.7282973308331853e-25,2.624219554046165e-25,6.791958577765777e-26,1.1647962197736788e-22
700,1.04326413521675e-11,9.952112972368072e-11,4.104460953252075e-15,2.0944235813960786e-13,2.0821455821463828e-13,4.143870872455593e-15,8.080181423366567e-18,8.527935016811736e-18,1.8734590688660619e-19,8.20960372081991e-17,8.56217926155644e-18,8.094269059172667e-18,2.0231156248104337e-22,3.272468046734414e-22,3.342276689907462e-22,2.0687040936079607e-22,1.1551584062091794e-27,4.7317621692730755e-15,4.801127552028987e-14,2.832457571470746e-20,1.402067839464062e-20,1.1525527361462131e-17,1.959620973523735e-19,4.874276981160397e-15,1.9417698885368553e-19,2.8798619545727105e-20,1.7908933546218188e-20,1.5727004771663516e-17,1.0002335050977947e-27,1.1186711910165103e-27,8.941128119200835e-28,1.676179378696962e-25,3.05214399531691e-25,1.7267313146891716e-25,1.1066498197642642e-22
800,1.0410106827083607e-11,9.95187758113767e-11,4.131917535122731e-15,2.0914095869408756e-13,2.093015990225796e-13,4.1999039578531e-15,8.183736587936195e-18,8.647385434885158e-18,1.8827896542443774e-19,8.455249465100396e-17,8.661491365841403e-18,8.019335734720552e-18,2.1007075941192622e-22,3.262788028425145e-22,3.254028116558731e-22,2.1386173828694073e-22,1.1326882509145342e-27,4.737537156178729e-15,5.179399976844534e-14,2.6528467768883372e-20,3.4728286770303637e-20,1.040239973015408e-17,1.9887442468873817e-19,4.792742306962225e-15,1.9988945945827484e-19,1.6377776523070322e-20,3.0177319136025244e-20,1.8463975078282838e-17,1.1447299434016345e-27,1.2685632135381773e-27,9.86845082076879e-28,2.128774089283766e-25,3.2733690299001018e-25,2.8703062563611823e-25,1.8322234545511074e-22
900,1.0420512196320847e-11,9.951396863770781e-11,4.176272584178139e-15,2.0849529632588476e-13,2.0480157466485632e-13,4.1256265810447064e-15,7.96099661481954e-18,8.597508040995844e-18,1.8733186078253581e-19,9.483376454114395e-17,8.637874271191169e-18,8.186385305001599e-18,2.2773805054267325e-22,3.3020502295755117e-22,3.277825597533126e-22,2.4069479449253876e-22,1.2066873241493814e-27,4.751364835474313e-15,5.5620641134980385e-14,3.537051779580174e-20,4.003694259864742e-20,2.595187245733329e-17,1.963795160974326e-19,4.778547477117442e-15,1.971829263526695e-19,3.4270806647209825e-20,3.2788702592162666e-20,2.3118172454786905e-17,1.1783464293717566e-27,1.098516681260097e-27,1.0140644987535082e-27,3.3713330617785893e-25,3.6788613711904637e-25,4.3654029912101e-25,2.293542002973821e-22
1000,1.0399898950289042e-11,9.95000204232385e-11,4.177200572443407e-15,2.094055788693018e-13,2.0879376118011225e-13,4.089531021078122e-15,8.141945276126238e-18,8.450780745660323e-18,1.86196494768769e-19,1.0126106287385479e-16,8.657036563173035e-18,7.986693572583049e-18,2.7288510884925766e-22,3.3113191617713896e-22,3.273335744906847e-22,2.8161178421256017e-22,1.248123363891324e-27,4.804366782739638e-15,6.155801857664009e-14,4.483018095575574e-20,3.7870962317625205e-20,2.931573303581059e-17,1.9571169949930766e-19,4.871724278398927e-15,1.9388013657183152e-19,5.286057447396011e-20,4.8086437371172e-20,2.126552761559772e-17,1.169128956203206e-27,1.3398226209289247e-27,1.2171372798378627e-27,4.1068821711806074e-25,4.288217117677192e-25,4.1637844002596715e-25,2.6475066390112034e-22
1100,1.0405603139619707e-11,9.951133440622391e-11,4.092024346496293e-15,2.0691808613663704e-13,2.083281077695326e-13,4.1267950319159665e-15,8.108478164311368e-18,8.66640456044948e-18,1.8963831639133706e-19,1.1248087224523184e-16,8.55002682117485e-18,8.032816912075177e-18,2.742760578381113e-22,3.311621819779248e-22,3.240937182780243e-22,2.7836475018459876e-22,1.2973221684440559e-27,4.813010490232769e-15,6.263773073223647e-14,5.3618180691421726e-20,3.964406007872203e-20,2.6308081141011732e-17,1.9824068905973702e-19,4.771071919107719e-15,1.9588249481508543e-19,4.516948759082739e-20,4.3050485997460544e-20,2.5559692974428165e-17,1.391527631676887e-27,1.3919731793395507e-27,1.5642798714310349e-27,3.806586520313171e-25,3.6346153949586677e-25,4.907591892520258e-25,2.0125765326431456e-22
1200,1.040050928369696e-11,9.950983524324532e-11,4.094556641886763e-15,2.0577037045531326e-13,2.0687902661730639e-13,4.145021395142898e-15,8.00979260829572e-18,8.584105582999931e-18,1.9097104002922632e-19,1.1083654814783763e-16,8.446250625785205e-18,8.20731375897754e-18,2.8138103184958946e-22,3.2769265535700152e-22,3.283772963437512e-22,3.1644913672089273e-22,1.3202261874707169e-27,4.829737573366151e-15,6.923962218751843e-14,5.117866810710471e-20,5.912022823352055e-20,4.032302395486201e-17,1.9664196516208356e-19,4.855512216942967e-15,1.965938112878352e-19,4.9543801329634346e-20,5.3984018932538007e-20,3.5354525531539405e-17,1.4126176941443826e-27,1.4348367812859323e-27,1.3058853388203328e-27,4.525443456665807e-25,6.154488611964098e-25,5.89835484997148e-25,2.599111191446964e-22
1300,1.0380528995222472e-11,9.949435175504048e-11,4.107680531814408e-15,2.090369691132979e-13,2.0781579437118718e-13,4.0975270204320724e-15,8.213423254993515e-18,8.613579396977778e-18,1.9192577628101164e-19,1.2336966221326376e-16,8.552707526376693e-18,8.00989537331235e-18,3.2702184750596623e-22,3.30260396187125e-22,3.2646195492008377e-22,3.466028995003631e-22,1.365899992015613e-27,4.894942265870502e-15,7.241407437522938e-14,5.43195142661072e-20,7.335670860912906e-20,3.9898345121826126e-17,1.958571807502696e-19,4.842822070102939e-15,1.9393798481182821e-19,6.059715227093368e-20,6.062382867381315e-20,4.096174413466639e-17,1.4468885170726403e-27,1.5356935511329035e-27,1.786219807740633e-27,6.724438358558347e-25,6.651051883221917e-25,6.638036264979983e-25,4.1107414614438906e-22
1400,1.0380459339564882e-11,9.948770945022237e-11,4.15400141617155e-15,2.0459198104672985e-13,2.0349057976354418e-13,4.106077747553699e-15,8.261135819290441e-18,8.474628310094918e-18,1.9315000198876048e-19,1.2094221319379197e-16,8.61739893406168e-18,8.126634158490383e-18,3.203926485674338e-22,3.31239718977192e-22,3.2967303045666573e-22,3.135796287097723e-22,1.380277764990352e-27,4.895211527614209e-15,7.71091992699062e-14,6.269545750990455e-20,7.370357732997185e-20,4.160969687927811e-17,1.9874204684222942e-19,4.902174192963308e-15,1.952582042164424e-19,6.917422896264737e-20,7.162288207564024e-20,4.4094885673648775e-17,1.8191504386778566e-27,1.8558847557462517e-27,1.6278827924593826e-27,6.3370358808542805e-25,7.240538554213906e-25,5.594110316521294e-25,4.537783908205838e-22
1500,1.0370286315764794e-11,9.949722171790867e-11,4.0917531619620064e-15,2.0359424318143217e-13,2.0821798907753306e-13,4.171197955697287e-15,8.229039871816678e-18,8.551233288597732e-18,1.9211487258070882e-19,1.276951554223803e-16,8.40673491762749e-18,8.076822394656979e-18,3.6617303064437666e-22,3.293781989081496e-22,3.297157996662515e-22,3.3760679214916654e-22,1.4892167730471558e-27,4.8678510745224214e-15,8.236757668102373e-14,6.752803800444154e-20,7.384899965328114e-20,4.9151350294496985e-17,1.9882069308168338e-19,4.790886827139824e-15,1.9692268707986193e-19,7.49071599332344e-20,7.175405047310051e-20,4.21293270347885e-17,1.6611982073621162e-27,1.755895521912894e-27,1.6681528897844376e-27,8.023921665144422e-25,6.729575475047646e-25,6.157167663208715e-25,3.824473157557349e-22
1600,1.0355690537721483e-11,9.948538486800872e-11,4.131172594700324e-15,2.0514549893843161e-13,2.0392262919855874e-13,4.073520828100869e-15,8.075977977634731e-18,8.559906221202365e-18,1.9668316514957652e-19,1.3325823402005504e-16,8.418436325740697e-18,8.023104387906101e-18,3.932346340000637e-22,3.276483317924174e-22,3.239584647850432e-22,3.7678859596581315e-22,1.4322160182793928e-27,4.871144567311383e-15,7.951229913234653e-14,7.878418931030807e-20,8.798954487650973e-20,4.8449029797424284e-17,1.9367369140998168e-19,4.852261515291685e-15,1.9666504149836955e-19,9.492914340999156e-20,8.069518905212713e-20,4.5290392305289606e-17,2.1873688579008646e-27,2.1929707831210224e-27,1.8603647373017584e-27,8.42109929843006e-25,7.822539825521782e-25,8.327039319580238e-25,5.258676895593253e-22
1700,1.0360409164705104e-11,9.947584303704736e-11,4.143602931078678e-15,2.0751354910720075e-13,2.0676107451250732e-13,4.110351910442362e-15,8.166802292415718e-18,8.492846364860073e-18,1.982581415127769e-19,1.4761387286578976e-16,8.458894862138324e-18,8.05831051411902e-18,4.1722947329884006e-22,3.311912657962019e-22,3.250609758156213e-22,3.8738144550925947e-22,1.4819561171963217e-27,4.817958783541689e-15,8.269541226560805e-14,8.824691262523211e-20,8.12844581012001e-20,5.831122708643802e-17,1.9689985565276397e-19,4.902051209093266e-15,1.9259443596792134e-19,1.0107929446068315e-19,1.0066080342549707e-19,5.885854265776983e-17,2.368500367696143e-27,1.9557573660398954e-27,2.368125300048933e-27,7.0055830609257195e-25,8.181093535627305e-25,8.967249679821812e-25,4.941849100886119e-22
1800,1.035431588676534e-11,9.948711322741549e-11,4.06119018601178e-15,2.039881706455271e-13,2.0486005265843275e-13,4.107260335850904e-15,8.072341494210353e-18,8.57118730790312e-18,1.9441438496320113e-19,1.5082883994700619e-16,8.354856834764764e-18,8.229315332862575e-18,4.2171285858010683e-22,3.2716023215411184e-22,3.2242781579908916e-22,4.2108961272561528e-22,1.5340974739592208e-27,4.8651464534451185e-15,8.71624527447343e-14,9.77304505869228e-20,9.378822406861477e-20,6.273094264421778e-17,1.9529872814289336e-19,4.8480287760146544e-15,1.9836087107785014e-19,1.0475791701386509e-19,9.774797131276345e-20,5.450639897457674e-17,2.2119178624456232e-27,2.0227329863624703e-27,2.3763372410986843e-27,8.04842272705154e-25,8.631983864444816e-25,9.972365161825785e-25,5.231050515556909e-22
1900,1.0330777895205373e-11,9.946925068242024e-11,4.0854515993182994e-15,2.0528397991802667e-13,2.0792467883800302e-13,4.168208275562933e-15,8.193320900428767e-18,8.346176893909326e-18,2.0099498176221735e-19,1.5581195537857896e-16,8.414499408019917e-18,8.191034564306611e-18,4.568476779379494e-22,3.3061250025290756e-22,3.282083926562584e-22,4.490841446790646e-22,1.6564888344782192e-27,4.821585933363076e-15,9.512902621748768e-14,1.046034987834117e-19,1.000813776640113e-19,7.005328400763922e-17,1.9534891759665583e-19,4.917124276203675e-15,1.9599391920754354e-19,1.0375135808158403e-19,1.1146343765917108e-19,6.91650831615986e-17,2.534916943387415e-27,2.384012324240338e-27,2.4551144031281e-27,9.794919276019796e-25,9.279325936878909e-25,9.974983075851417e-25,5.749766219140579e-22
2000,1.0319081777984243e-11,9.947878082102691e-11,4.147829232634494e-15,2.0668010409241925e-13,2.0306459748033442e-13,4.166153235663816e-15,8.301189364777756e-18,8.322505197312716e-18,2.006445065080599e-19,1.627459451749472e-16,8.429561211528624e-18,8.233541859781835e-18,4.399779034398987e-22,3.2563844232514013e-22,3.241262657248142e-22,4.886113698727241e-22,1.647256069358724e-27,4.980256286942661e-15,9.2891334110973e-14,1.0670395587019939e-19,1.167019373229707e-19,7.454963212242578e-17,1.960015835478665e-19,4.904626891276308e-15,1.9641988084201396e-19,1.2195490866970797e-19,1.2328994192392568e-19,7.393059520635731e-17,2.3054930184398827e-27,2.5369560514061e-27,2.263808574717264e-27,1.1017803529969278e-24,9.003563461610753e-25,1.0397308683030738e-24,6.752341754251363e-22
2100,1.0331961639854192e-11,9.946833976457308e-11,4.0597803047830915e-15,2.0482621886997869e-13,2.06182059488189e-13,4.100579123401771e-15,8.193152060828561e-18,8.49541414701576e-18,1.995609916637e-19,1.665831916238562e-16,8.356829663008876e-18,8.141685033220862e-18,5.101346142090323e-22,3.2428706433786896e-22,3.221075948543081e-22,4.969878065456905e-22,1.7158775279329004e-27,4.838453157647087e-15,1.0164545548941069e-13,1.2470466222548268e-19,1.2657675514098006e-19,6.848581909117786e-17,1.9513220600562517e-19,4.852413020674132e-15,1.9394704564511034e-19,1.3225679385681634e-19,1.2843547996487974e-19,7.923626250427027e-17,2.7046834305240092e-27,2.827825506158049e-27,2.8614872487207333e-27,1.1397692811999453e-24,1.155203358232601e-24,1.0695037830214643e-24,5.801053550041028e-22
