milliseconds,UbE,UbE2,Wee1,Cdc25,G2K,R,G1K,IE,PG2,G1R,G2R,PG2R,SPF,MPF,Rum1Total,Cdc13Total,Cig2Total,Mass
0,0.11,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.49
100,0.10086686597100439,2.1399826035036582e-05,0.022700200429378738,2.336763209954679e-05,0.00037266968387130367,0.400609095759319,0.00014422137650555128,7.702927041111831e-06,3.516598475215059e-07,3.0489561161175852e-05,0.001121448907531195,7.599093708160339e-07,0.00040874261099006754,0.0003726872668636797,0.4017617941373822,0.0014952301606208362,0.00017471093766672713,0.4902426100410313
200,0.09180810322239621,3.9221199961825434e-05,0.04534517016370722,4.901606735993653e-05,0.0003893883255690482,0.40075417798795027,0.0002417936592004886,1.2454810070262588e-05,4.7108027338026516e-07,0.00010717722789706674,0.0025868397210625986,2.376574774592427e-06,0.00044986029438283935,0.0003894118795827172,0.4034505715116845,0.0029790757016796197,0.00034897088709755534,0.24524267010210404
300,0.0828366973265467,4.984603386538015e-05,0.06793472511798895,6.994486253410536e-05,0.0003998350584923581,0.40083249848245117,0.0003090973858255781,1.4495627489105158e-05,5.682234843940305e-07,0.00021382368870913375,0.004047100481686804,4.336518569260716e-06,0.00047713781612297235,0.0003998634696665778,0.4050977591714164,0.004451840282232817,0.0005229210745347119,0.24536409527405528
400,0.07396925017621142,5.642526767428897e-05,0.09046767427758406,8.708241532717833e-05,0.0004101403326193344,0.4008632370754838,0.00035677329112194925,1.5507760070751427e-05,6.7014716077607e-07,0.00033988105742082845,0.0054968037610467375,6.618275305547906e-06,0.0004993671627578605,0.0004101738399773732,0.40670654016925695,0.0059142325161323965,0.0006966543485427776,0.24548558056634523
500,0.06522731963078332,6.0778239459855834e-05,0.11294236118110296,0.00010126280510436746,0.0004204087760414535,0.40085463569803115,0.00039172918942897403,1.6139148214402725e-05,7.7787142889632e-07,0.00047850210160112336,0.0069365236576430945,9.23285583652756e-06,0.0005183799669701418,0.0004204476696128983,0.4082788943131119,0.007366943160949972,0.0008702312910300973,0.24560712600874077
600,0.05663942799947147,6.390563757699064e-05,0.1353568076067938,0.00011313722311001501,0.0004306441377710719,0.4008119730114698,0.00041844722659736973,1.662924938220772e-05,8.914939170933841e-07,0.0006252440360453256,0.008366906880280847,1.2192271887860726e-05,0.000535300519116269,0.0004306887124669266,0.40981631619968384,0.008810634783856873,0.0010436912626426954,0.24572873163102357
700,0.04824413780779187,6.635730448138114e-05,0.15770876947017665,0.0001232128886269013,0.0004408492230861955,0.4007386838623363,0.00043983452461731964,1.7066416676570616e-05,1.011088607404824e-06,0.0007772252418394526,0.009788568345781061,1.5508512672167354e-05,0.0005508584086708956,0.00044089977751656575,0.411319985962629,0.010245937170146829,0.0012170597664567723,0.2458503974629901
800,0.04009483007142843,6.843572786199816e-05,0.1799957627020489,0.0001318850573920304,0.00045102763336165425,0.40063702279427943,0.00045777672993469024,1.748341469748086e-05,1.1367331609967145e-06,0.0009325765652774262,0.011202082532878594,1.919350988625803e-05,0.0005655286525033767,0.00045108447001970407,0.41279087540232173,0.011673440409287503,0.0013903532952121165,0.2459721235344515
900,0.03226723389653374,7.030729683195674e-05,0.2022150727763918,0.0001394618647315328,0.00046118329465117666,0.40050849841143626,0.00047349649229689775,1.7892365467004144e-05,1.268508254586229e-06,0.0010900859948519623,0.012607973165876866,2.3259120695795957e-05,0.0005796208431381304,0.00046124672006390597,0.4142298166928609,0.013093684089478426,0.00156358248714886,0.24609390987523366
