milliseconds,Target
0,10.0
100,10.447519224861285
200,10.890608198039256
300,11.32929232940276
400,11.763612720668888
500,12.193611873621071
600,12.619332451064196
700,13.040812007895846
800,13.458091539191557
900,13.871216414786076
1000,14.28022941803187
1100,14.685172079475453
1200,15.086085496968035
1300,15.483010019369122
1400,15.875985104882416
1500,16.26505054084165
1600,16.650244446898217
1700,17.031606052230686
1800,17.409172796223483
1900,17.782982865076715
2000,18.153072692843946
2100,18.51948007550456
2200,18.882242199558316
2300,19.241393808542625
2400,19.596972036496005
2500,19.949013015974778
2600,20.297550746884987
2700,20.642620727299033
2800,20.984257633954147
2900,21.32249538095718
3000,21.65736773247236
3100,21.98890814128204
3200,22.317149922934533
3300,22.642125959357745
3400,22.96386852909336
3500,23.282409652446844
3600,23.597780978976125
3700,23.91001463511984
3800,24.219141804169205
3900,24.52519305319141
4000,24.828198849608313
4100,25.128189319559034
4200,25.425195127388907
4300,25.719245796878337
4400,26.010370515686116
4500,26.29859831742625
4600,26.583957922635555
4700,26.86647838833558
4800,27.146187752297074
4900,27.42311389391571
5000,27.69728445946786
