milliseconds,E,T
0,320000.0,5000000.0
100,320721.1908551821,5071978.034579596
200,321449.3975992101,5144931.634418642
300,322184.7529662117,5218879.2632392375
400,322927.3355640802,5293831.890070059
500,323677.2311190288,5369801.510829095
600,324434.52969874034,5446800.767085503
700,325199.3209189705,5524842.310304037
800,325971.6941761251,5603938.749249702
900,326751.7401487396,5684103.610257296
1000,327539.5487673968,5765349.683391184
1100,328335.2096664651,5847689.448398067
1200,329138.8126484854,5931135.561204037
1300,329950.4475159986,6015700.6777351815
1400,330770.2040715455,6101397.453917593
1500,331598.1721176669,6188238.545677361
1600,332434.4486677654,6276239.079615591
1700,333279.12441391626,6365412.0164416665
1800,334132.2894140414,6455770.099583533
1900,334994.0362045218,6547326.855809983
2000,335864.4640635989,6640097.743947818
2100,336743.66222423955,6734095.344085306
2200,337631.7235017106,6829333.2629133705
2300,338528.7445496494,6925826.190616689
2400,339434.82169683103,7023588.725678015
2500,340350.04700043175,7122634.260794688
2600,341274.5145504335,7222976.762483714
2700,342208.32581306447,7324632.475344354
2800,343151.5737751863,7427615.025205545
2900,344104.3536349321,7531938.720826065
3000,345066.7609593493,7637617.984900297
3100,346038.89135841554,7744667.253381192
3200,347020.84281685384,7853101.869105382
3300,348012.71495855105,7962937.799895103
3400,349014.6022002218,8074189.014826435
3500,350026.601547583,8186870.471969089
3600,351048.81016165036,8300997.185714586
3700,352081.3253587386,8416584.226776259
3800,353124.245725656,8533647.820499308
3900,354177.66871712357,8652202.980656244
4000,355241.6922173724,8772265.047400955
4100,356316.4144093597,8893849.558464516
4200,357401.9336543405,9016972.130550886
4300,358498.3473508907,9141648.39719956
4400,359605.7515374476,9267893.987140067
4500,360724.2460542546,9395724.805410093
4600,361853.92924945697,9525156.745050872
4700,362994.8995778563,9656205.774174917
4800,364147.2556009106,9788887.935966026
4900,365311.0914462811,9923218.608059783
5000,366486.50597719604,10059213.998211375
