milliseconds,CaI,IP3,g,mwaf195932_a72c_4552_8cf2_b349b15d39c4,mw0ebc76ad_49d7_4845_8f88_04d443fbe7f3,mw7cb2644a_384a_4bbb_93fd_fd686e01d7cb,mwd6b792d8_c983_42c1_b3bc_2494d6a3363e,mw013a7c64_a9ec_483c_b3b8_ed658337ee95,CaS
0,0.05,0.0,0.002,0.013,0.266,0.02,1000.0,0.0,2.0
100,0.049953972996574426,0.0045291382184258315,0.0019995122368834457,0.012999999997470887,0.26600000000007545,0.02000000000195169,1000.0,5.920646964624965e-05,1.9999874121428043
200,0.049997771539795476,0.008236883408669996,0.001999023876488562,0.012999999994401379,0.266000000002588,0.020000000004412048,1000.0,0.00011817540114996948,1.999885255009589
300,0.05016902845522687,0.011282312541452646,0.001998562829178069,0.013000000000974102,0.26600000001277635,0.019999999999764685,1000.0,0.0001783446627434489,1.9996541394702168
400,0.05047771981218312,0.013797647276743732,0.0019981631478566634,0.01300000002955355,0.2660000000369858,0.019999999979045984,1000.0,0.00024030404702445897,1.9992831159684985
500,0.0509202167414468,0.015891329472693703,0.001997860879364483,0.013000000093065005,0.26600000008171687,0.019999999933523267,1000.0,0.00030421643031719854,1.9987752560888097
600,0.05148712679256452,0.017651503265454085,0.0019976925292707498,0.013000000204321781,0.26600000015318737,0.019999999855486162,1000.0,0.0003700546928092069,1.9981395985107433
700,0.05216752914342824,0.01914938663077091,0.0019976947785616582,0.013000000375813425,0.26600000025716936,0.019999999738560943,1000.0,0.00043773122758495914,1.9973867928783562
800,0.052951131304977125,0.020442318155562467,0.0019979048279338643,0.013000000619722209,0.26600000039897276,0.01999999957774143,1000.0,0.0005071652377732093,1.9965268761373383
900,0.053829286105108926,0.02157638949399378,0.0019983610460567046,0.013000000948040526,0.26600000058350376,0.01999999936926847,1000.0,0.0005783158880747298,1.9955682187463335
1000,0.05479539746309922,0.02258863520064576,0.001999103806943129,0.013000001372733513,0.2660000008153571,0.019999999110443215,1000.0,0.0006511968908612675,1.9945170987554712
1100,0.0558450992986984,0.023508877916345417,0.0020001764517821275,0.013000001905912769,0.2660000010989183,0.019999998799433635,1000.0,0.0007258844190142522,1.9933775088647852
1200,0.05697629379229644,0.024361252031810332,0.0020016264161091465,0.013000002560022495,0.2660000014384738,0.019999998435084074,1000.0,0.0008025211210007862,1.9921511074877123
1300,0.05818910442526469,0.025165453887571083,0.002003506583649397,0.013000003348034531,0.2660000018383234,0.019999998016746054,1000.0,0.0008813177350066,1.990837257065942
1400,0.05948586630474248,0.02593772004234845,0.0020058769051696057,0.013000004283643944,0.266000002302893,0.019999997544136474,1000.0,0.0009625562407980002,1.9894330233671118
1500,0.06087120575618654,0.026691648961432387,0.0020088064458962072,0.013000005381480046,0.26600000283685016,0.019999997017231333,1000.0,0.0010465958293332364,1.9879330821419816
1600,0.06235218694735557,0.02743889220916147,0.002012375939591941,0.013000006657324247,0.26600000344522806,0.01999999643617311,1000.0,0.001133881872753656,1.9863295549466933
1700,0.06393849909874795,0.02818976140123969,0.002016681093128137,0.013000008128338871,0.26600000413356295,0.019999995801196775,1000.0,0.0012249569004605778,1.9846118011844334
1800,0.06564279897650706,0.02895371524320667,0.002021836957089351,0.013000009813303183,0.26600000490804954,0.019999995112576746,1000.0,0.0013204772808393318,1.9827660475819626
1900,0.0674812105931818,0.029739805250449516,0.0020279837032406854,0.013000011732853532,0.2660000057757208,0.01999999437059004,1000.0,0.0014212359044324756,1.980774852357606
2000,0.06947403550379734,0.030557089356914032,0.002035294547970145,0.01300001390971407,0.26600000674466806,0.01999999357548888,1000.0,0.0015281932955155798,1.9786163472637044
2100,0.07164671627107719,0.031415054490393876,0.0020439866524006567,0.0130000163688974,0.2660000078243123,0.019999992727479356,1000.0,0.0016425189522263474,1.9762632122418655
2200,0.07403116501908662,0.03232406721062518,0.002054336510099799,0.01300001913784476,0.2660000090257486,0.019999991826711146,1000.0,0.0017656471218211363,1.9736812650739477
