milliseconds,Mb,Bc,Bcp,Bn,Cc,Mc,Ccp,Mp,Pc,Pcp,PCc,PCcp,PCn,Bnp,PCnp,In,Mr,Rc,Rn
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.1586302176621161,0.0024530596375872574,8.903987723495891e-05,6.504512336433754e-05,1.485141296245444e-11,3.6103908020205325e-10,1.9143170849109958e-13,4.785361707085287e-10,6.7886559495594726e-12,6.388129417687582e-13,5.0761912727608645e-25,7.312744464636083e-27,2.5103265144796123e-27,1.798258071782433e-06,3.547374630771211e-29,7.936783373270303e-34,2.6584317906883884e-10,4.978183301764903e-12,4.5196672307072645e-14
200,0.29148360521435773,0.008601544860652422,0.0005008203716980159,0.00045062604594343285,2.806623303424459e-09,3.356893298776671e-08,6.920100300728578e-11,4.333751129984503e-08,1.162432639788135e-09,1.9337102698920987e-10,3.2495996041738673e-20,8.854231356458811e-22,3.1019220461715187e-22,2.036768681629122e-05,8.060955774061499e-24,1.3311158765055492e-27,2.5012052020643297e-08,8.277812147734646e-10,1.5051127456584518e-11
300,0.41009855171264786,0.01725998930727619,0.0012401287986645183,0.0013356125956833036,5.445079384165044e-08,4.2733990298175166e-07,1.933818702921041e-09,5.38419179020406e-07,2.0617589171400473e-08,4.604054221902286e-09,1.6673240137150177e-17,6.613369178829056e-19,2.3650622096014415e-19,7.591268990642107e-05,8.89755522574587e-21,4.41882597525009e-24,3.220269486899725e-07,1.4283370664242104e-08,3.9032029114968624e-10
400,0.5193377043336564,0.02769550702043081,0.0022325188095648108,0.0028080429066762325,4.1855777975761867e-07,2.4291557247892753e-06,1.9033469260091442e-08,2.9927977457751026e-06,1.4594492305934743e-07,3.9209016964749744e-08,1.2173302152365304e-15,6.353791613247205e-17,2.3216737798933996e-17,0.00018220134611428456,1.147194503569512e-18,1.2156232308197993e-21,1.850224293370125e-06,9.862013180680388e-08,3.589127301915046e-09
500,0.6217953337524679,0.03941725823764177,0.003406391657304295,0.004901823249443172,1.944913370665106e-06,8.916552534372867e-06,1.061750229758096e-07,1.0762315210746896e-05,6.281915892514688e-07,1.9176108508943015e-07,3.0662526541869476e-14,1.979482797436482e-15,7.394419512498532e-16,0.0003463433976934798,4.519777343883075e-17,8.435722073310227e-20,6.860502252162071e-06,4.152132210835383e-07,1.88143766752251e-08
600,0.719048679502485,0.05208351210200157,0.00470665361734883,0.007617652569540303,6.590156049508256e-06,2.489165598103532e-05,4.1473977937355017e-07,2.9485473549502928e-05,1.9814360846791864e-06,6.641764437176675e-07,3.950150835448334e-13,3.019054152348549e-14,1.1527479707535512e-14,0.0005706961011780102,8.345021827690249e-16,2.4458551555352418e-18,1.933505394146025e-05,1.2845040876430482e-06,6.940937109562924e-08
700,0.8121410340951856,0.06545120684125849,0.00609321613168586,0.010936135165642348,1.7990747051615466e-05,5.764678008831025e-05,1.2695642208686106e-06,6.712430652642737e-05,5.056537259008975e-06,1.8203046389516987e-06,3.222608959240375e-12,2.8331718778686324e-13,1.1056629686000968e-13,0.0008545359014172922,9.210143318397474e-15,3.9129302751848666e-17,4.518018390814893e-05,3.2229999802004637e-06,2.0152993159709755e-07
800,0.9018047429267874,0.07934519036639225,0.007537291005722915,0.014826319575669818,4.198810668789595e-05,0.00011662985824370829,3.2564673958200487e-06,0.00013369579758668257,1.1072763979159745e-05,4.215844171792483e-06,1.8881688673148822e-11,1.8698721284819982e-12,7.45848190073333e-13,0.0011952520148775757,7.003133018311672e-14,4.073322676819937e-16,9.217645608084485e-05,6.954611710994724e-06,4.921384430637549e-07
900,0.9885771484462842,0.0936381651203349,0.009018213281801694,0.019251319823473282,8.703520015183065e-05,0.00021310113455620197,7.307367864237488e-06,0.00024082451802871272,2.1606877239718488e-05,8.605472893837123e-06,8.606671440461548e-11,9.441394888284797e-12,3.8483309690768304e-12,0.0015891589225397156,4.00590506460288e-13,3.0478134658241974e-15,0.00016974518968558563,1.3398538204789788e-05,1.0547794106796778e-06
1000,1.0728662325084548,0.10823709006901013,0.010521110458574233,0.024171993965587654,0.00016444914458560317,0.0003596814984816237,1.4771798326104194e-05,0.00040123436306295127,3.854887325000227e-05,1.592913642000303e-05,3.2260579027561704e-10,3.868587464521721e-11,1.6108708100089895e-11,0.002032039471345374,1.834578352611392e-12,1.7674384130958352e-14,0.0002886050568374519,2.3640235953755944e-05,2.0423304201456534e-06
1100,1.1549903554436072,0.12307371608991591,0.01203525394757326,0.02954931047101733,0.00028850527374094,0.0005698766350117634,2.7467475941977337e-05,0.0006282639160443751,6.403740311882671e-05,2.7283360439897224e-05,1.0341114313029948e-09,1.3413140460275942e-10,5.704090901797889e-11,0.0025195025393067454,7.033035053496428e-12,8.349712366669167e-14,0.0004603861282274813,3.889305197945874e-05,3.6466447766054335e-06
1200,1.2352035545212119,0.13809788927665806,0.013552898039798955,0.03534581911159777,0.0004763890432770712,0.0008576349469724959,4.770678536862975e-05,0.0009354541306264902,0.00010038724887911006,4.3884453255856264e-05,2.917792259125903e-09,4.058158817234748e-10,1.762023688543773e-10,0.0030472127869733486,2.332063359914914e-11,3.3376414019591813e-13,0.0006972518541282745,6.045706572978813e-05,6.095515126580228e-06
1300,1.313712375193609,0.15327274329175639,0.015068455947942863,0.0415265157458452,0.0007480345183202361,0.0012369724188841277,7.829970367037702e-05,0.0013362287021833638,0.00015001853583986353,6.702969571857463e-05,7.404586803566167e-09,1.0961000047816445e-09,4.857265218509598e-10,0.003611032852987288,6.84987012366992e-11,1.1602015971779978e-12,0.0010115615092380593,8.967993446041642e-05,9.647672371200367e-06
1400,1.3906874238971265,0.1685712269508678,0.01657791295328013,0.04805929303008434,0.001125880696095837,0.0017216800043631107,0.00012253576251627197,0.0018436709001218847,0.0002153941638454377,9.80610427441252e-05,1.7188637241198888e-08,2.690796298013383e-09,1.216423038876235e-09,0.0042071048490453745,1.8162217845311537e-10,3.584694320382744e-12,0.0014155914856065603,0.0001279227978279911,1.4586581746869145e-05
1500,1.4662714993603967,0.1839735804251453,0.018078405046370757,0.054915115396549974,0.0016345774737042745,0.0023251140935923453,0.0001841492008635429,0.0024703868114828225,0.00029896914923609885,0.00013833432420956303,3.6990992460008414e-08,6.090599356493004e-09,2.807543718737321e-09,0.0048318908046521974,4.414212667697057e-10,1.002288920933957e-11,0.0019213213565184586,0.00017653286251990947,2.1213774778187697e-05
1600,1.540585578530969,0.19946546221204256,0.019567910534423485,0.062068023017072343,0.002300671100802993,0.0030600612240133398,0.00026727263818679913,0.0032284394509105676,0.00040315265114862416,0.00018919516494725607,7.459372937507386e-08,1.2856924737389683e-08,6.040291585132293e-09,0.005482186898665386,9.953841443987893e-10,2.5710632897447335e-11,0.0025402816949647643,0.0002368228511256607,2.9842340927515707e-05
1700,1.6137331883906425,0.21503658147042226,0.021045027533504398,0.06949501823359135,0.0031522891696926076,0.003938666962887869,0.0003763832685261562,0.004129339681404787,0.0005302824243838999,0.0002519619090570628,1.421803665417812e-07,2.554726515492741e-08,1.2226461349198024e-08,0.006155119277812622,2.103078757929653e-09,6.119933714927098e-11,0.0032834580330514357,0.00031005710019171514,4.079096946984033e-05
1800,1.6858037411471058,0.2306796760817447,0.022508810028594214,0.07717588851780187,0.004218843997683379,0.004972414956273898,0.0005162460838573685,0.005184077856149085,0.0006826101635975542,0.0003279150645956512,2.5800171847752096e-07,4.8151347474981177e-08,2.3462385317069637e-08,0.006848129291410825,4.1973340165970564e-09,1.364451462694529e-10,0.004161241355918488,0.0003974434293646128,5.437884891330804e-05
1900,1.7568750800292408,0.24638975406666522,0.023958647511732573,0.08509299314970671,0.005530765563833769,0.0061721433700056925,0.0006918573724798187,0.006403183271298008,0.0008622958124391113,0.0004182923273499184,4.4838034841490664e-07,8.663698943084681e-08,4.2957389215863336e-08,0.007558952229809643,7.966836004691846e-09,2.871673646012616e-10,0.005183415277949966,0.0005001297696230868,7.092154683402527e-05
2000,1.827015470857268,0.2621635248119141,0.025394176103451464,0.09323103598443835,0.007119271777343938,0.007548087582756004,0.0009083911422791025,0.007796801157633704,0.0010714088474984445,0.0005242881214246741,7.500580434952272e-07,1.4961163992533756e-07,7.54444627402973e-08,0.008285592894579016,1.4463436863726642e-08,5.742885884896037e-10,0.006359170757443279,0.0006192045047413734,9.07279056887866e-05
2100,1.8962851706991717,0.2779989726650131,0.02681521265020015,0.10157683731866445,0.009016179856869876,0.009109939283397287,0.001171150290800154,0.009374778726331372,0.001311934628182925,0.0006470565673319679,1.2128858018362222e-06,2.4910289294038374e-07,1.2767906557266827e-07,0.009026300040052814,2.523703565718875e-08,1.0974129252698234e-09,0.007697139765288405,0.0007556995290764585,0.00011409790341209641
2200,1.9647376832961243,0.2938950356076621,0.028221705902839674,0.11011911362964298,0.011253759844047848,0.010866914595202741,0.0014855236510331964,0.011146754622192922,0.0015857841671272166,0.0007877168911015526,1.9028524450848522e-06,4.014591337569545e-07,2.090301706204684e-07,0.00977954105834322,4.250032199872507e-08,2.013394362732117e-09,0.00920544103499598,0.0009105951552894199,0.00014132137733502566
2300,2.0324207719287406,0.30985136280633047,0.029613700096857036,0.1188482702811584,0.013864629372160129,0.012827825347705856,0.0018569494709844451,0.013122247475163218,0.0018948059709228686,0.0009473604472649386,2.9054487705222753e-06,6.283703758863678e-07,3.3216619584974335e-07,0.010543977765752019,6.932516258404152e-08,3.5612026623282325e-09,0.010891732178167558,0.001084826156900278,0.00017267748405834306
2400,2.099377285003041,0.3258681312009829,0.030991307896134575,0.12775620993307085,0.0168816873663744,0.015001149441447294,0.0022908854044424954,0.01531074100913648,0.0022407988928769863,0.0011270586834601338,4.3293656497917605e-06,9.580087997189019e-07,5.138371457561387e-07,0.011318443775675981,1.0987182455163611e-07,6.094351436018059e-09,0.012763263915733195,0.0012792883777042225,0.00020843475610643524
2500,2.1656458359508473,0.3419459064452335,0.03235469021366185,0.13683615783266564,0.020338083634104866,0.01739509735830861,0.0027927847548902362,0.017721763959740407,0.002625525205611832,0.0013278715404289136,6.310528921412521e-06,1.4262889709026638e-06,7.757536532082932e-07,0.012101923725328735,1.6965185843130923e-07,1.0122219826985431e-08,0.01482693318775957,0.001494845478111583,0.00024885162064381175
2600,2.2312613662475504,0.35808553754044464,0.03370404119166604,0.14608250414111448,0.024267220908602307,0.020017673047678812,0.003368078463717431,0.020364964050280848,0.003050723321011043,0.0015508559109301968,9.016480698817878e-06,2.078249104608156e-06,1.1455634127310372e-06,0.012893534441530689,2.558252101382784e-07,1.6361777016343054e-08,0.017089332969492114,0.0017323355060617515,0.0002941772555126454
2700,2.296255615536718,0.3742880769114322,0.03503957703936554,0.15549066280849796,0.02870278579507445,0.022876728123059156,0.004022162171288001,0.02325017570004088,0.0035181197717656584,0.0017970738997795499,1.2651122697786865e-05,2.969556489444693e-06,1.6579257868006765e-06,0.013692508042791159,3.775319981444372e-07,2.5801226352387835e-08,0.019556797341391614,0.0019925770807849392,0.00034465267304822043
2800,2.36065752040504,0.3905547189193398,0.03636152762929276,0.16505694520384787,0.033678803787535926,0.02598000919729951,0.0047603873351688385,0.026387481747294793,0.004029440262088595,0.0020676007440295855,1.745982483649943e-05,4.168134848504984e-06,2.3556800406510454e-06,0.014498176804039377,5.462573563718112e-07,3.9776538756362965e-08,0.02223544122621759,0.0022763750859364196,0.00040051193406440735
2900,2.424493549066891,0.40688675409774705,0.0376701304133945,0.17477844869450904,0.039229717326128705,0.029335197697966456,0.005588055970415624,0.02978726893521683,0.0045864195631191065,0.002363532268286224,2.3734959515932478e-05,5.755930712112188e-06,3.291116484320207e-06,0.015309959817639999,7.762324278729308e-07,6.006374399872839e-08,0.025131193984382787,0.0025845257528515153,0.0004619834341494957
3000,2.4877879832882597,0.4232855351674361,0.03896562603002292,0.1846529589793733,0.04539048361634738,0.03294994252638746,0.006510418179869543,0.03346027782842386,0.00519081017564238,0.0026859918020224415,3.1821896876327165e-05,7.83083010983993e-06,4.527354924450095e-06,0.01612735130360951,1.0848724784314395e-06,8.898857259929246e-08,0.028249826883205358,0.002917821101582982,0.0005292911947157031
3100,2.5505631650994243,0.4397524499590184,0.040248254924046815,0.19467886296676049,0.052196686478038254,0.03683188643493163,0.00753267115288474,0.03741764782684947,0.005844389862710962,0.0030361366121458445,4.212546011422742e-05,1.0508721318121076e-05,6.139822514450445e-06,0.016949910236851672,1.4932489656627048e-06,1.2955375550582762e-07,0.03159697504296639,0.003277052809267139,0.000602656102415694
3200,2.612839708697208,0.4562889013904743,0.041518254929727536,0.20485507224365984,0.0596846620868215,0.040988686303623026,0.008659959227033847,0.04167095755022067,0.006548967998389507,0.0034151638422094607,5.5116919238057356e-05,1.3925725280636255e-05,8.217841500376267e-06,0.01777725124488365,2.0265989066103286e-06,1.8558750583087893e-07,0.0351781540354159,0.003663015493235151,0.0006822970879330387
3300,2.674636680605342,0.4728962932464155,0.04277585966910883,0.21518095670805878,0.06789163730983624,0.04542802718647914,0.00989737446618902,0.04623226040568175,0.007306390678242252,0.0038243159260006624,7.134160900340147e-05,1.8240622631333303e-05,1.0866342064557344e-05,0.0186090367616643,2.714875744403227e-06,2.6191621886266573e-07,0.038998770987240895,0.0040765094087489235,0.0007684322173957933
