miliseconds,G3P,PYR,ATP,NADHm,NADHc,Vm,Cam,Vp,Cac
0,29.49536111076959,10.51738481560192,3699.7044340176944,59.0084274975651,10.356598793372001,100.20607731409099,0.20002593949935096,-69.99994320867245,0.10000003171208384
100,29.48671521049056,10.524323185755147,3699.693417823121,59.16771543075229,10.369489421327645,100.21018678996519,0.2000265943689922,-69.99977235666697,0.09999992436742379
200,29.47332250696779,10.538439179120852,3699.685261343294,59.2915501091382,10.375082235766648,100.21690570110569,0.2000269579502908,-69.99967650691345,0.09999985059261492
300,29.45774806554413,10.535897572389006,3699.6796378382983,59.55486618419652,10.374436123550172,100.21947740518787,0.2000279549317469,-69.9996183715437,0.09999967739548676
400,29.444805183376275,10.558713519547613,3699.6748287050664,59.616188661062445,10.38232281594378,100.22703498686018,0.20002791812774368,-69.99951641832878,0.0999996640442435
500,29.43796991511683,10.56767000410714,3699.6741272670756,59.68455471826088,10.3914102115916,100.23264795784132,0.20002869928828504,-69.99928526946569,0.09999951705745092
600,29.432947811919387,10.574003064742431,3699.666620633237,59.86559065721767,10.404439435332135,100.23497470068823,0.20002931568150908,-69.9992910067178,0.09999949011359277
700,29.42528634294509,10.587933501675378,3699.6621072572993,59.97955536659922,10.41170947527963,100.2443873300178,0.20002951354574577,-69.99898538906386,0.09999940264878467
800,29.415735908264555,10.588591965096233,3699.65453439921,60.18428198805036,10.412409179903632,100.25155313762748,0.20002986295805722,-69.99890454505287,0.09999924551682242
900,29.405724154115546,10.600820210222217,3699.6443869914647,60.36928272631129,10.424647782338615,100.25699608340466,0.20003038453288685,-69.99881832921076,0.09999913995200693
1000,29.3873922923509,10.609933606875062,3699.642686409334,60.46743318477055,10.423838686226363,100.26179923591182,0.20003097088758678,-69.9985903908833,0.09999908904222803
1100,29.37855693432893,10.621592722363827,3699.636683217652,60.50951754306179,10.437414341115547,100.26756784114399,0.20003165613180177,-69.99854274644404,0.09999900455728987
1200,29.3705458244051,10.629466137051786,3699.6255796242526,60.74468882305,10.447115331926254,100.27331963466152,0.20003215603443833,-69.9984402221736,0.09999883713478845
