miliseconds,H,T
0,0.4980043499407394,9.994237183208154e-05
100,0.5173975660109377,0.00010048022643678199
200,0.528120205990017,0.00010093988435401153
300,0.5405963451619922,0.00010140626657537192
400,0.559804676771102,0.000101980361969542
500,0.5693737502851473,0.00010236280054451331
600,0.585493361033917,0.00010266698120409487
700,0.5980561847948493,0.00010330393764118264
800,0.6146615745865422,0.00010353556297913518
900,0.6269476817737503,0.00010403806996749707
1000,0.6403639250312879,0.00010431250485503137
1100,0.6452576873378614,0.00010455710889706942
1200,0.6630796893115224,0.00010526751256390204
1300,0.6759583041189287,0.00010557962151915759
1400,0.6781323864725111,0.00010575110953219694
1500,0.6886530723556574,0.00010632553818131686
1600,0.7044616966737998,0.00010656108242476737
1700,0.7075046509064308,0.00010681763845181594
1800,0.7188645430344911,0.00010720428460605803
1900,0.7329495331704232,0.00010748762043064601
2000,0.7420631260565154,0.00010774616495728406
2100,0.747476151401654,0.00010809505803959372
2200,0.7520033109905374,0.0001083809451069668
2300,0.7560015736644551,0.00010835583129828953
2400,0.7712662241537819,0.00010877323623913903
2500,0.7712372093886392,0.00010900296442764678
2600,0.7789723164577008,0.00010940031187448928
2700,0.7885276390902245,0.00010961709868239131
2800,0.7929023871671724,0.0001095630864052399
2900,0.7983578337309957,0.00011006548859769443
3000,0.8014103357742163,0.00011025892691755023
3100,0.8040732214738362,0.000110488780285098
3200,0.8093186112688245,0.00011061863232888838
3300,0.8094712145529782,0.00011088216682301834
3400,0.817903919878327,0.00011115779627542897
3500,0.8212706785607149,0.00011135524589501731
3600,0.8239740017506557,0.00011142954310554339
3700,0.8272920914763044,0.00011161137215941731
3800,0.8313508692931635,0.0001118741354457741
3900,0.8352383901726181,0.00011189357274127333
4000,0.8379891869091102,0.00011200125990034284
4100,0.8423895996922334,0.00011241827893443323
4200,0.8465383711660667,0.00011235748148991828
4300,0.8460165880104669,0.00011263462103195146
4400,0.8412555515820674,0.00011275266508379093
4500,0.8469549608832126,0.00011294443399997556
4600,0.8505147495073712,0.0001129845206390949
4700,0.852495520788851,0.00011342599904338488
4800,0.8511929172376287,0.0001135356208452412
4900,0.8513961752208687,0.00011366582230921234
5000,0.857694364845264,0.00011377511494765037
