milliseconds,CaI,IP3,g,mwaf195932_a72c_4552_8cf2_b349b15d39c4,mw0ebc76ad_49d7_4845_8f88_04d443fbe7f3,mw7cb2644a_384a_4bbb_93fd_fd686e01d7cb,mwd6b792d8_c983_42c1_b3bc_2494d6a3363e,mw013a7c64_a9ec_483c_b3b8_ed658337ee95,CaS
0,0.01808953441217153,0.006382651588688933,-0.01069564579549412,0.013000007126463781,0.26600009942326397,0.02000000107705636,1000.0,-0.0002954711483827277,1.9650576092817411
100,0.01529214689271903,0.010524310556865993,-0.0055547443372171955,0.013000007237947604,0.2660000606024933,0.019999999808868713,1000.0,0.001959553670816633,2.018356255231107
200,0.07920684759250331,0.019693829892404743,0.0011987938025680538,0.012999997665953899,0.2659999516974718,0.019999998872739087,1000.0,0.00060005822566897,2.0294942225349275
300,0.046922846006881715,0.013518350135381867,-0.02263843154853146,0.01300000583668685,0.26600000259268164,0.01999999949444366,1000.0,-0.0004681058947060248,1.9992686177022951
400,0.030283653939275488,0.022247661087903964,-0.001503571511311245,0.013000001552102559,0.2660000536898213,0.01999999994526264,1000.0,0.000660627565845236,1.992059223031269
500,0.08306826472083104,0.012429001579050275,-0.009037144089145046,0.012999999883989399,0.2660000563752156,0.019999998503149173,1000.0,0.0012959307411694718,1.9840062210010052
600,0.05133798510918671,0.0057358051208017714,-0.010596719629122633,0.013000003387207606,0.266000081289783,0.019999999747148035,1000.0,0.001702073839323838,1.9582695592949309
700,0.04217032732305205,0.02702679139635401,0.01971064412421328,0.01300000096132889,0.2659999063342971,0.020000000364409617,1000.0,0.0015574275113951885,1.9870980448799398
800,0.08922977494910375,0.010499229208559353,0.009318327410691525,0.013000001168365378,0.2660000922570319,0.01999999848575376,1000.0,0.0010463915799024462,1.971235415727055
900,0.031680892434270705,0.031723756149206916,-0.019096173747383482,0.013000006183644329,0.26599992141082224,0.019999998351875426,1000.0,-0.0003486188446530876,1.981979645108953
1000,0.025114796696307166,0.01372414893840854,0.010651645251683087,0.012999993965976689,0.26599990704376875,0.01999999937229437,1000.0,0.0019732381609772255,2.0170710313060924
1100,0.07400369762742054,0.0266857454484511,-0.008282179601428592,0.012999998647612684,0.2659998998476905,0.019999998267032203,1000.0,0.0006036665692194444,1.9571845893730664
1200,0.08290929428779928,0.02884558712146952,-0.00450858734350221,0.013000001872485548,0.2659999574191149,0.019999997947371943,1000.0,0.0020798141447905052,1.9580736370357086
1300,0.04521659292058211,0.02892941382495625,0.005371947226488528,0.013000008512627559,0.2660000834525877,0.019999997063171276,1000.0,0.0009315050403533937,1.972533795614382
1400,0.05294056055454156,0.030064413227843274,0.009629708030490867,0.012999999533246136,0.26600010498009047,0.019999997106477815,1000.0,0.0007897636657413192,2.029625029705743
1500,0.08069222383676637,0.03667165219701963,-0.008348348945728445,0.013000010470601826,0.2659999518404487,0.0199999959329542,1000.0,-0.0007896837472695004,2.015202473331953
1600,0.04119025457971261,0.015612991583059099,0.01666170798010106,0.013000008042364864,0.26600002479301804,0.019999996992820113,1000.0,-0.0004930272452470892,2.0028431733136887
1700,0.028932785100755844,0.02958685934621649,-0.01921581317590026,0.013000010506964331,0.2659999392039272,0.019999995543015563,1000.0,-0.0005224237366676372,1.9816171173371397
1800,0.09397164791093697,0.025883278585514737,-0.01639856378235014,0.013000013700982686,0.2660001070596464,0.019999996467216608,1000.0,0.0019444442789365293,2.011888016035366
1900,0.09163328837323406,0.020858239536747085,-0.01915992705324484,0.013000006867061549,0.265999924849235,0.019999995046678445,1000.0,0.00022477141167070048,1.965886384933781
2000,0.09035283802015254,0.040552959256441076,0.012971635299396272,0.013000014092018506,0.2660000237889125,0.01999999375008023,1000.0,0.0029096324478345608,2.0144112941049284
2100,0.03731882672945589,0.04035954986103276,-0.00019647737932944895,0.013000018010136083,0.2660000977292806,0.01999999130468572,1000.0,-0.00018830553531347686,1.9975817006738947
2200,0.061495109841299175,0.042103525660954925,-0.0041194895873505975,0.013000026035228549,0.26600005318110265,0.019999992737421538,1000.0,0.002176054559116498,1.9431650514017746
2300,0.07766175933464534,0.026755578857565472,-0.0023985601732124176,0.013000021909281094,0.2659999270348278,0.019999990086135157,1000.0,0.002340523104220125,1.9663148679142708
