miliseconds,A_b,O_b,P_b,L_b,S_b,NAPE_b,NOPE_b,NPPE_b,NLPE_b,NSPE_b,FAAH_b,FAAHinh_b,A_r,O_r,P_r,L_r,S_r,NAPE_r,NOPE_r,NPPE_r,NLPE_r,NSPE_r,FAAH_r,FAAHinh_r,A_m,O_m,P_m,L_m,S_m,FAAH_m,FAAHinh_m,A_p,O_p,P_p,L_p,S_p,PFM_gut,PFM_p,PFM_r
0,0.7182925682125053,36.932427324379546,5.07023030796725,2.9607111634608705,0.6628958531875373,3.9667380207896794e-05,0.0009468526616269564,0.00016522845793329614,7.768511854258802e-05,0.0001357296192180299,15.434459745256417,0.09237370479757437,0.4804792718539393,13.918492002410073,4.137658967307412,1.6252233695207337,2.7379708318586085,4.258149814460628e-06,9.671507718043928e-05,1.8907265334163953e-05,8.252852828144005e-06,1.3960511962940473e-05,2.1518915073728246,-0.008322528813643428,0.7525322294474388,17.55191118570956,6.326842296468011,0.0,0.5113385139145055,10.714205182481187,-0.030169784587120153,0.7739175039619235,5.39132291669821,4.654195028793437,1.8890361379153506,0.2829224266806539,9268.253614891062,-4269.095646023775,29482.294456778378
100,2.776367829283554,59.24743201662708,11.336763509901372,6.036331727922976,5.139759143481718,4.458062877155771e-05,0.0009734100565636877,0.0001832562331857665,8.107253822607467e-05,0.00014766177816974435,0.29266826209311386,15.081845731036081,0.6284259338023386,18.031504094206618,4.717248914459604,1.8867055710335685,3.029859655784517,4.3108053561100565e-06,9.774738093796358e-05,1.923921613788117e-05,8.356692747047683e-06,1.4152270175575791e-05,0.026760216728539826,2.134119403257114,1.8210683707465953,28.608153212806226,8.37157341094612,0.0,6.092419834110877,0.1377975762985979,10.523459948797441,0.9276643935400608,6.222567209412241,5.350535960388267,2.0897053411741036,0.31323298504543723,-1405619.551416089,1413965.645892066,37334.94709584641
200,4.10910679711323,123.67534344126403,28.145258680576518,15.108795984101624,19.424466692884007,5.2220559653741364e-05,0.0011552629147260375,0.0002501489036034947,0.00010217825711036155,0.00018396758232231455,-0.0008851403687391592,15.381556361609269,0.9410676032466843,23.932971069674686,5.672222758368785,2.564696642978499,3.9292210622683843,4.4220395361025524e-06,9.976323880723477e-05,1.9713894490518292e-05,8.593582323657379e-06,1.4478172802772707e-05,0.0037554141984907008,2.173975964080312,2.686645551446645,65.32735552033273,15.529981699323388,0.0,12.09497339536536,0.05653552309838208,10.701083882030883,1.3882522223016573,8.12895655570184,6.41361543020888,3.2587624657655905,0.4627750226993119,-2619068.9672495225,2497084.353019661,74290.73641479203
300,6.350515344476226,158.68483094071195,36.83056702994717,17.01007536035823,23.75089902369701,6.59292899621611e-05,0.0014383135026532566,0.0002699068671981329,0.00012513736697667422,0.00021230668975398258,-0.03547082309629428,15.272990787806439,1.1032514526680581,28.296355455852062,6.794514339880817,3.2459204169709173,4.856576380495076,4.5081664311496396e-06,0.00010225725994646971,2.0033033521532436e-05,8.792905888551277e-06,1.4719666298044588e-05,-0.013743629745577711,2.1514692585949615,3.7509731438144964,110.33073012210123,24.893797622868597,0.0,15.918159062032624,0.03001420607278493,10.64067267835521,1.6850534517719702,10.019670474110796,7.519120061164707,3.5192917396990313,0.5425307603174303,-3545117.487999315,3349934.377816845,61211.15448536465
400,9.68166996863092,206.03040024766412,47.410266629060274,25.79237441936964,37.89051095926818,7.193787509525372e-05,0.0015853306581571766,0.0003349474069480006,0.00014249128247541257,0.00024027259986331056,-0.023716419756929945,15.394763206860276,1.2798748371725117,33.470935228560975,7.3467436214410595,4.131842452926351,6.056543130589933,4.583150708857792e-06,0.00010420045865564592,2.055860821387339e-05,8.928836437507696e-06,1.505457103219057e-05,0.007694250264548762,2.15532339629709,5.57228681520211,140.60514260366708,30.68190611258147,0.0,21.94908367375288,0.04281820906517293,10.711165513385568,1.9457977264351078,11.958289195084761,8.637500155755179,4.644314924213948,0.6050093096053695,-4275402.68344764,4046545.9267372424,142814.4543387335
500,11.13258164804582,270.7595296364891,54.51634734343225,33.51486334948369,43.12909274485584,8.213653029717003e-05,0.0017766744941485207,0.00037159204088951645,0.00015837878240657,0.00025820464558574285,0.09831840493215901,15.39830654279197,1.5404542830562185,37.68662066308002,8.252836948666458,4.351990290696745,6.513055414063627,4.663268409168314e-06,0.00010611619067800135,2.09552191753509e-05,9.084614451159434e-06,1.5370211022922464e-05,0.01240445191643019,2.1516142958856737,6.197268128029632,182.55561389848106,39.98634026765648,0.0,30.05955517031746,0.06399582274790462,10.641142610748727,2.3445500273047126,13.546271601519994,9.485224489550342,4.915172844859279,0.7098738067272835,-4934386.077897562,4592692.35285785,203855.09496811515
600,12.860660413399827,332.26494100108977,70.23079135370241,36.615976642043535,48.44925813585966,8.951827986190036e-05,0.002029078479162236,0.0003890898600292305,0.0001724154411562798,0.00028864389171435475,0.003352372778679682,15.420135643361645,1.7214797932721893,41.468272690519065,9.015750741040618,4.97395784573634,7.1767305763898435,4.752466773613693e-06,0.00010765634289273287,2.130640566396351e-05,9.250739714056284e-06,1.561367674606856e-05,0.012179840064439314,2.1753171085993714,7.436686955522246,219.20508895236983,42.39769013055038,0.0,36.474518274428384,-0.02984742752427497,10.688170710768382,2.4634832974838754,14.509539884746896,10.479716225857057,5.766637563792649,0.8094966325287728,-5346513.232254995,4926341.487865345,294267.66987244476
700,15.328955833210674,364.0721641606996,75.09348498882264,45.72237666208142,59.47257494297824,9.439788860181385e-05,0.0022026591922987954,0.00042769293529736215,0.00018844724954571518,0.0003151711495980197,0.03876099634209454,15.433515686021758,1.874066299795402,45.20061499021331,9.78894040799858,5.637299518173398,7.958261746680684,4.80711193489853e-06,0.00010996880585516304,2.158064607775874e-05,9.347553008022174e-06,1.5830888821066463e-05,-0.014604003488669418,2.1746620102787304,7.8150643176559065,241.4494632346094,50.09013376337725,0.0,40.899428337778026,-0.06036674671249307,10.67086059487287,2.850739221477746,15.758280782350509,11.37874405689933,6.46209040785715,0.8676361365636238,-5731385.795441034,5213090.582886168,384400.8578779487
800,17.335486608129294,402.014891871753,85.16494944996796,51.39160723664116,66.77664886973841,0.00010567552888007901,0.002328884674586376,0.00046834940679439045,0.00020527681029808306,0.00034317767610918937,0.08605637839631844,15.457761045365219,2.0819849628357314,49.52543580724101,10.324842663409346,6.330006894898506,8.76415290057731,4.887580955433258e-06,0.00011126415976559714,2.1926845936432424e-05,9.482280562166188e-06,1.602466900257356e-05,-0.008673549627685658,2.1515721535289636,8.78270764869574,270.1007920245152,57.60484091384975,0.0,46.76941406153334,0.02335706718200366,10.631970135420827,3.1671931244385823,17.284684166208265,12.017223431913928,6.635506878215944,0.9623292174889625,-6067389.902095618,5328401.435209041,475296.9527940984
900,19.669241364250595,461.7512765712789,94.52120969660947,57.05940353229264,78.5124938283372,0.0001094477581802338,0.0025626503707541,0.0004870346130293262,0.00022001134628809942,0.00036166076447759617,-0.07003893500414375,15.269569029268293,2.1762637458842398,51.900090326635,10.92316545024119,6.472468639251999,9.767025141998326,4.942935233394891e-06,0.00011260087521613309,2.213014076885555e-05,9.599027749173187e-06,1.627523355997709e-05,0.011158179288467032,2.1525309822143326,9.931509797988882,293.3179286165321,62.299653666572986,0.0,52.03300394155982,-0.048909333567221235,10.684164546612697,3.274405846684261,18.431986771048617,12.809065201613427,7.289928543652887,1.0642735577478668,-6313666.924444077,5404347.655541185,633466.7252219189
