miliseconds,Normal_T_cells,CAR_T_cells,Antigen_presenting_tumour_cells
0,5.879389882374612,0.048391062917071404,94.97113737275019
100,6.969315711162622,0.383966030523172,93.87243869993677
200,7.768655362825626,0.299586607296566,91.557414819617
300,8.341832842006076,0.37535314425164357,90.99741921078288
400,8.733756209163376,0.5858815733856878,89.02201189481868
500,8.677358295385504,0.6422108714902514,89.29014979723094
600,8.84341615742801,0.9228368358644184,88.06689065303169
700,9.884591043135739,1.3826215548661867,84.27342931475572
800,9.980760210974237,1.54571238534509,83.47237807091268
900,10.846889499014845,1.6420620474049252,81.56542247376768
1000,11.773339971960635,1.7263695976147286,79.82447666531787
1100,12.302114877611771,1.4798710611060346,77.57990488455508
1200,13.466052223268091,2.1607779917727807,72.70886869681037
1300,13.994970151571247,2.629915840630055,71.619611241533
1400,14.727879849149879,2.3407589450348874,67.36545139569769
1500,15.488608498751551,2.787697680156356,65.68597985591323
1600,16.63488263661044,2.9093937612594285,60.994408477126875
1700,17.585197237384595,3.71015915406718,58.08395786207999
1800,18.149522830977002,3.721373788386748,54.76240753244518
1900,19.184348791015104,4.034784103368168,51.998562100268494
2000,20.860579254284566,4.814640296353453,50.2406575505676
2100,21.910500814905355,5.427816592569688,46.13989634226772
2200,22.2343669524511,5.637961836654565,42.645061150250996
2300,23.809373132618994,6.022393601810126,40.620751784293574
2400,25.08312802572878,6.625079072371024,38.43510211924446
2500,25.465505172647816,7.697694774363119,34.125333358152
2600,27.74672861828926,7.675877749294649,31.524266909905133
2700,29.251490663773534,8.654404416256096,30.52193652949448
2800,30.11466755548143,9.441239496875058,29.471277185843743
2900,31.307181031888188,10.075823223657283,26.31007745945869
3000,32.42154164013108,10.23857974039596,23.847747177702637
3100,34.73395363979245,11.320714824665384,20.623892114477407
3200,35.31170976963507,11.62085391612368,21.225202639680276
3300,36.10625364455046,12.251813973698862,19.717829037925068
3400,39.015176978208835,13.436685078525406,15.431267810598936
3500,40.08725012748969,13.94295281310921,17.09617985795947
3600,41.47741380372119,14.353518233597121,13.913350020974505
3700,43.261122748186935,15.42281766867718,12.617406206236279
3800,44.2185099456792,15.915828399946081,12.989703412486776
3900,46.5801900771187,16.591821543302757,12.333087782981
4000,47.66425131854199,17.749569942961152,8.326159890026146
4100,49.129131391606144,18.589414876556106,9.09730544154427
4200,50.44795501281443,19.184136031601824,7.937667254752838
4300,52.560470364341924,19.558255472035576,8.238567939536036
4400,54.24917785478552,20.252651778932236,8.228339402813848
4500,56.040296337327604,21.137377394451683,6.877983879696611
4600,58.62412562109757,21.97931004429129,6.368925964811572
4700,59.76154947917488,22.09911215402306,5.1770405342938925
4800,62.19600794470379,23.472603861112663,5.9202636189550475
4900,64.49513127929534,23.91292280064892,5.169157321948427
5000,65.85299388426247,24.227032352546903,5.138883761210373
