miliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,12.0,90.00010205676301,126.99991633936492,223.99999999877681,1909.0000004732588,3315.9999999748948,0.00932251317893244,-0.0026623288135278955,3.7018699658741354e-05,-2.5539896212918562e-08,9.366781791807286e-10,-4.915731260160655e-10,6.222165786624991e-09,-2.6830035580793804e-07,7.912778568101946e-07,-1.150768588722541e-08,2.908821978636018e-08,16.6
100,12.0,89.97614613039873,127.00357307424534,223.9999999935042,1909.0000002916415,3316.0000000033056,0.038678874173813604,0.0034849511676255567,3.9821601285310185e-06,7.800527289625747e-08,7.934045600656154e-09,1.6001923775765055e-10,2.1321448503331422e-08,-8.89911239035151e-07,-8.484411202951431e-07,-1.0491406622115426e-09,7.291722225493246e-10,16.6
200,12.0,89.91307497525719,127.00176164432773,224.00000000471564,1909.0000006248204,3316.000000029721,0.0689452267176496,0.0018393495177016373,-6.496335686680409e-05,-9.300092369312642e-09,4.54209375796972e-09,5.68925569161247e-10,-3.648427090238726e-08,5.584331667926341e-07,-5.2470140791002364e-08,1.6082326758429525e-08,2.5175058092704845e-08,16.6
300,12.0,89.90142652929366,126.99814024877037,224.00000003342552,1908.9999999064225,3316.000000024395,0.12366954516743695,0.0033005014668247776,-6.049170821871332e-05,-3.477240653135795e-07,6.921672778705105e-09,5.745309478286026e-11,-3.602437007919636e-08,-8.699324907793127e-07,5.066866483169385e-07,-1.7206386001074064e-08,-2.2129819266709353e-08,16.6
400,12.0,89.84920956693449,126.99510683219486,223.99999998178663,1909.0000007809347,3316.000000023992,0.15300280470658856,0.0006398568391546668,3.893356781613802e-05,2.9540655658295065e-07,-1.2682745603035152e-09,-4.21038801328943e-10,7.799110449831472e-09,-4.727371451545212e-08,-6.076325886711024e-07,-3.1046290968010744e-08,2.676688980855009e-08,16.6
500,12.0,89.81634424097156,126.99798526389355,224.00000000660583,1909.0000003052887,3316.0000000163154,0.15979686081735972,0.00393856127592202,5.251420693783151e-05,-1.6477870706742958e-07,1.450737362837925e-09,-3.71792579506606e-10,1.0214702634653557e-08,6.828224628729846e-07,-3.121134616552791e-07,-1.8871724532876596e-08,2.0879483843158178e-08,16.6
600,12.0,89.80133036570233,126.99537232162419,223.9999999964846,1908.999999602409,3315.999999996054,0.19852889566460877,0.007713513076432229,2.540614500289157e-06,-1.8585278796739144e-07,-5.606598049801544e-09,2.1214401874623865e-10,-2.6768651286489553e-08,-3.3450384460753936e-07,-4.7181244506751447e-07,-1.3018577064710943e-08,-2.5599519984962416e-08,16.6
700,12.0,89.75372491260086,126.99438677340557,223.99999999150592,1908.9999995595242,3315.9999999810248,0.2508664076727524,0.0048630544435303655,-1.488317565165372e-05,-3.2275341919101225e-07,-6.380424780251139e-09,-2.840565345743265e-10,-2.0943916446450783e-08,6.400084744096485e-07,6.607469424219763e-07,7.84406075953122e-09,1.664677227700736e-08,16.6
800,12.0,89.70000777786679,126.99609275010845,223.99999997272022,1908.9999998716494,3315.999999987417,0.2679765649113356,0.008815736920881143,-1.669600067175798e-05,1.9199301535736423e-07,8.521168057927332e-09,2.0339898495370629e-10,-1.2855290506788737e-08,-3.9712371637335013e-07,-1.098467409773257e-07,-2.6608774559067634e-08,8.807630840328053e-09,16.6
900,12.0,89.68991804274465,126.99218031846263,224.00000002357504,1909.0000009072428,3316.000000022208,0.3305749122984807,0.012117562302639691,4.84988507489043e-05,1.3647023592702095e-07,4.054956825502001e-09,-4.894345366542925e-10,1.1983341002656411e-08,5.971711436232535e-07,1.7906804285042253e-07,3.567478483911566e-10,-2.137441377312972e-08,16.6
1000,12.0,89.62746002320011,126.98894818829787,223.99999996467395,1908.9999994504697,3315.9999999803626,0.33601638663029726,0.014541654537201264,7.55281798846158e-05,-3.3368144267233293e-07,1.0461627410647213e-09,-4.0842379306015375e-10,2.3450571863085113e-08,-3.329229569353448e-08,-8.463165616574399e-07,2.097031177123711e-08,2.980286571488238e-08,16.6
1100,12.0,89.61126570788268,126.9845510160801,223.999999997813,1909.0000007796334,3316.00000000822,0.36865484398691556,0.016040222969296407,7.299366188865045e-05,-2.516309799567264e-07,6.578914920206322e-09,3.680377253265055e-11,-5.91866820995799e-09,2.5464045142333887e-07,-7.131096352625955e-07,2.3758170156144705e-08,-3.902737409799424e-09,16.6
1200,12.0,89.56104105904268,126.98692197498313,223.99999996891782,1908.9999997997497,3316.00000001045,0.3915709887572788,0.013652353711067076,0.00012315189904240275,-3.4557067649869486e-08,-6.724583426388882e-10,1.3066024581200554e-10,-1.3590214342943824e-08,8.306722539484685e-07,-8.924571550398464e-07,5.20503862290975e-09,-3.2814192250915875e-10,16.6
1300,12.0,89.5200674956669,126.98442525952164,224.0000000185396,1909.0000006675707,3315.9999999975835,0.4571425985622413,0.019937555699282124,4.950635606638277e-05,-2.965415695579531e-07,5.978099530942279e-09,1.4120936899313547e-10,6.519209958011833e-09,3.3237922972237714e-07,-7.287556376207946e-08,-1.7074965774079748e-08,5.602603459059527e-10,16.6
1400,12.0,89.510216693013,126.98213087866667,224.00000000007745,1909.0000006158941,3315.9999999783026,0.48038110131787964,0.01985118958124693,6.403095432693472e-05,2.7212735639638398e-09,5.5616516102919485e-09,-4.073993738980482e-10,1.5171798138702062e-08,1.679257944605171e-08,4.4857076282540895e-07,-3.3779651789733e-09,-2.8759155791755414e-08,16.6
1500,12.0,89.47899478655133,126.97308722978165,224.00000001824137,1908.9999995589785,3315.9999999852953,0.5186243654867058,0.026762277087601385,0.00013167947788701753,2.92141240450985e-07,3.5992064729293723e-09,5.164545103219697e-10,3.924576725986666e-08,4.853416194097634e-07,-5.304827362851838e-07,8.793187095781915e-09,2.8903338410760104e-08,16.6
1600,12.0,89.41153583188304,126.97386563799405,223.99999998572926,1909.0000001005462,3315.9999999817874,0.5289644398427626,0.028735673550662515,0.00011405283999698211,2.6132233301913755e-07,3.5540637756676733e-09,3.4814497565482257e-10,-4.557537336340773e-09,-4.3401491730293763e-07,-4.03160410075157e-07,2.2900544329703566e-08,-1.0616877260569798e-08,16.6
1700,12.0,89.4166924676416,126.97057888973113,223.99999998909345,1908.9999995849362,3316.000000011905,0.5818926838268761,0.031027855726230787,0.00016203501922168324,6.955404832959527e-08,5.250351031922137e-09,9.889483237173404e-11,1.3814556019677473e-08,-1.1870252743840928e-07,-3.349665802185203e-07,9.546708445158689e-10,1.539008424813792e-09,16.6
1800,12.0,89.35068397306962,126.9644875222213,224.00000000135265,1908.9999995034038,3316.000000017192,0.6177371968807872,0.03253151697622475,0.0002786920833238399,1.4840675654898935e-08,5.253601182658741e-09,1.6120728098373094e-10,1.0909104297211704e-08,8.211052524281968e-07,1.9187494422644422e-07,-1.9096570979108625e-08,-7.404961122438882e-09,16.6
1900,12.0,89.32009720342084,126.95979221353325,223.9999999950766,1908.9999990229892,3315.99999999044,0.6303981806299387,0.04155960962133443,0.0002930755793635185,-8.010776632553302e-08,3.6763384344003324e-09,3.097453856197262e-10,1.034913296134246e-08,8.369374781089174e-07,5.421133018721695e-07,-2.990825705907551e-09,-2.651206695468977e-08,16.6
2000,12.0,89.26575717114663,126.95682807932364,223.99999995480448,1908.9999991237771,3315.999999998488,0.6726369419120921,0.04321492389097251,0.0003904282011105512,1.9221558303770623e-07,-7.693426551622499e-10,-2.2871599046192292e-11,2.9720547982147292e-08,3.270094489452101e-08,4.056743951311919e-08,3.3729331331071027e-08,3.139109003103923e-08,16.6
2100,12.0,89.2567793570329,126.95427374997514,223.99999997094187,1908.9999995566504,3315.999999978953,0.7065498063992011,0.046042121362717604,0.0004324482422284168,7.578505592609576e-07,-1.698670909760011e-09,6.383885769228061e-10,2.7541644044564678e-08,1.2282098125112119e-06,-2.0523756629407921e-07,-1.8430607386964698e-08,-5.171101549244521e-09,16.6
2200,12.0,89.20824205360044,126.94898770938745,224.00000000572481,1909.0000000713744,3315.9999999812167,0.7202234943181886,0.04800074198765701,0.00046390156256829616,5.688046023177627e-07,7.519522798839142e-10,1.9511492723243157e-10,2.1318545358602867e-08,9.843975504468675e-07,8.230292548912288e-07,-1.1468455100807131e-08,2.061771283525303e-08,16.6
2300,12.0,89.19251030499264,126.94335475619059,223.99999997640253,1908.999998917731,3315.999999962369,0.7544512194067634,0.05854005191065557,0.0005219361592183986,5.182228233544832e-07,4.455716785634322e-09,-7.717614601620072e-11,1.5142245673181168e-08,1.533258716857956e-06,-2.686683257449001e-08,2.9535062303766442e-08,5.307847800091037e-09,16.6
2400,12.0,89.15854331853842,126.93986625557798,223.9999999661306,1908.9999997940154,3315.999999973302,0.7840167505598609,0.05859360023137005,0.0005065666826966474,4.575242125901471e-07,4.536790909546547e-09,6.344665712050617e-10,1.7564839136558295e-08,2.338429632674588e-07,9.794782951873148e-07,1.9325678521661186e-08,1.0820821071718884e-08,16.6
2500,12.0,89.0903174595174,126.93483041360975,223.99999992183396,1908.9999984912845,3315.9999999986503,0.8264765309240235,0.06762849578371985,0.0006118661543926649,1.0325370014271281e-06,8.901952018721867e-09,3.0291842736904723e-10,4.3919770668152716e-08,1.599604859616877e-06,1.7571714521271639e-06,1.0824075601733316e-09,4.724633619936199e-08,16.6
2600,12.0,89.08262737023462,126.92961029505211,223.99999991096132,1908.9999986402213,3315.99999997658,0.8378415640967585,0.07168994260301326,0.0007365876450113302,1.3106903520648058e-06,6.973442747571003e-09,6.627621035427403e-10,7.674426484330494e-08,8.446085508651508e-07,1.9268845365146906e-06,1.78297492124474e-08,4.3698297145696864e-08,16.6
2700,12.0,89.05265767139082,126.92030772733595,223.9999998965626,1908.9999986109608,3315.999999959366,0.8991600818971236,0.07889330765298228,0.0008414117902084159,1.52859639659913e-06,2.2286214458924208e-08,4.5167034772393e-10,9.936973078528698e-08,1.4510191627139018e-06,1.1420661903976972e-06,2.5178629927803734e-08,8.277825743085094e-09,16.6
2800,12.0,88.98575199103465,126.91934596222876,223.99999994041212,1908.9999978671865,3315.999999934931,0.9273033017213422,0.0797661842927496,0.0009361981251694262,1.6474970255654811e-06,2.1322687303145966e-08,5.117229036968571e-10,8.138473328721674e-08,1.8501619658739467e-06,2.8023679081791823e-06,6.09714222238085e-08,3.7688081811230085e-08,16.6
2900,12.0,88.95699111479617,126.91580878469692,223.99999984647954,1908.9999972351334,3315.999999950509,0.9197248564946507,0.08805722464702335,0.001010924330896667,2.0446149484495376e-06,2.1361778137749056e-08,7.849894481233053e-10,1.5217640289752442e-07,3.4104776371819794e-06,2.4985737800312613e-06,3.447578261133147e-08,8.387544096131528e-08,16.6
3000,12.0,88.95003969492318,126.9073552267493,223.9999998733854,1908.9999969661085,3315.9999999145552,0.9517327306426366,0.09270278567408909,0.001109505915224413,2.4227174261638124e-06,3.2416920503382396e-08,2.02311271260273e-09,1.318430592031791e-07,3.6551112592474186e-06,2.9209531129283467e-06,6.873041222702123e-08,9.623451323479332e-08,16.6
3100,12.0,88.89598493497674,126.90301832128674,223.99999986060078,1908.9999956538302,3315.9999999018814,1.0141580063452356,0.10044048939253364,0.0011253043584392225,3.128512027666172e-06,5.074748247902053e-08,1.7328008910926935e-09,1.531700701338401e-07,3.71530482540782e-06,4.660014559574982e-06,1.2894983523529118e-07,9.861587200622631e-08,16.6
3200,12.0,88.88354146980885,126.89212653051658,223.99999977085915,1908.9999939846555,3315.999999880188,1.0074542738562502,0.10525707666995705,0.0012626807478965856,3.2584029351302946e-06,5.694500489106296e-08,1.8533441152333098e-09,1.9515217913601143e-07,5.078631877951669e-06,4.555700936237807e-06,1.3168429224718984e-07,9.606969014168451e-08,16.6
3300,12.0,88.82325649848629,126.89080470094197,223.99999973197913,1908.9999931084699,3315.999999827461,1.0596863299776367,0.10758368052104411,0.0014838386691552038,3.482399490645026e-06,6.385275792487982e-08,2.466834231474187e-09,2.8354319777099434e-07,5.429031024712941e-06,6.139189976488113e-06,1.4363377239771407e-07,1.3644100090385117e-07,16.6
3400,12.0,88.81507745116302,126.88140033427635,223.99999969023813,1908.999993339081,3315.999999830162,1.1015845188716555,0.12035674728861238,0.0015864537028967799,4.531654593725604e-06,6.827352793986557e-08,3.577466798703206e-09,3.0867313969996624e-07,7.643561581257284e-06,7.859991516484783e-06,2.0917846460268592e-07,2.1484906121139028e-07,16.6
3500,12.0,88.75087160335724,126.87204458590348,223.99999960401692,1908.9999908697578,3315.9999997710242,1.105703676528523,0.12376899497016941,0.001727454002758152,4.811142202984767e-06,8.325051108435258e-08,4.570626695156826e-09,3.5143933332028946e-07,9.722470791086894e-06,9.380189280723631e-06,2.3394655540700293e-07,1.9973548039707833e-07,16.6
3600,12.0,88.71368741925636,126.86401045083717,223.99999957203792,1908.9999887970696,3315.9999997070113,1.1443135381463843,0.12746274503947935,0.001773629996716747,5.44976821751458e-06,1.0305320630992213e-07,5.623370635363596e-09,4.36518056192694e-07,1.0731247464858875e-05,1.0242119183430906e-05,2.731087853495858e-07,2.611427253829354e-07,16.6
3700,12.0,88.70972375208716,126.86165867593691,223.9999994816085,1908.9999880083287,3315.999999677366,1.159425747741189,0.14147616480113884,0.0020328687000437844,6.205058317226085e-06,1.2869134595197353e-07,5.85035767411308e-09,4.819493573779757e-07,1.2101426228504624e-05,1.1548259088078818e-05,3.0714263133393575e-07,3.0425043337523895e-07,16.6
3800,12.0,88.68857311031765,126.8498230810617,223.9999993941235,1908.999985350839,3315.9999995866515,1.1758383714433425,0.14626498384645337,0.002164184094615191,7.1731255135920384e-06,1.428952924922009e-07,7.038174134775441e-09,6.166202604982742e-07,1.3757193963052937e-05,1.5185989733498115e-05,4.165281675464968e-07,3.7599708629908315e-07,16.6
3900,12.0,88.62315064870621,126.8455013230859,223.99999932173895,1908.999984202339,3315.9999995360427,1.2056726543777507,0.1554667825328825,0.002397034539128962,8.673943615390657e-06,1.568836847163209e-07,8.514968872347659e-09,6.654149252514473e-07,1.657109743940612e-05,1.6588470784592033e-05,4.961236981067094e-07,4.5581657610348353e-07,16.6
4000,12.0,88.60611430970634,126.8380506868874,223.99999921295887,1908.9999801578708,3315.9999994266573,1.2409826639837895,0.15712630688077414,0.00256722468475128,9.2233756689204e-06,1.9148975615119318e-07,1.020871656804847e-08,8.162185084129947e-07,2.0226869248094168e-05,1.855254648118456e-05,5.596542241254406e-07,5.717694616944016e-07,16.6
4100,12.0,88.5621073845206,126.82888265932462,223.99999912527255,1908.9999775427136,3315.9999993665238,1.2640746407081618,0.1642912188826659,0.0027617244510546096,1.077522611741191e-05,2.2081168684089927e-07,1.210462662225467e-08,9.447414028966933e-07,2.2584219640341873e-05,2.1992558797689855e-05,6.896011461749369e-07,6.892351549474771e-07,16.6
4200,12.0,88.54560779624697,126.82490510481081,223.9999989574949,1908.9999738484482,3315.9999992157345,1.277070324923053,0.1783359828380748,0.0028332335932473906,1.2477071895671932e-05,2.5489521807690197e-07,1.4106283744708178e-08,1.0616565377721441e-06,2.4909207472741147e-05,2.6031911329023993e-05,8.051367659912842e-07,7.711864134208897e-07,16.6
4300,12.0,88.49146281600144,126.81493815646111,223.99999882761145,1908.9999706284552,3315.999999067378,1.314927913999129,0.18367766890640772,0.0030880317378733993,1.382861616848631e-05,2.942199972797081e-07,1.7147359369308903e-08,1.2170451210138723e-06,3.004052315357451e-05,2.9595752471775824e-05,9.050800673076396e-07,8.958489286133519e-07,16.6
4400,12.0,88.46800449159483,126.80246886520574,223.9999986040494,1908.9999658310571,3315.999998902008,1.3461419789521638,0.19178536082008765,0.0033615050077198906,1.4862513707542214e-05,3.252838779553455e-07,1.991229620388121e-08,1.3677412377979362e-06,3.3526523253934204e-05,3.466739373092138e-05,1.1027055626577392e-06,1.06527758492422e-06,16.6
4500,12.0,88.41590144648794,126.79801419187883,223.99999841200184,1908.9999607261127,3315.9999987547303,1.3612024515569952,0.20014812473506385,0.0035097005411585504,1.6629800616912078e-05,3.7023934847526736e-07,2.3281813541347478e-08,1.6002413062005588e-06,3.886003460787652e-05,3.7896768348137885e-05,1.2629351460480164e-06,1.259885904351414e-06,16.6
4600,12.0,88.39200669640663,126.78817303164507,223.99999818239309,1908.999955613402,3315.9999985509153,1.3881637752124705,0.20942791690138618,0.003757913718144627,1.8432625449643976e-05,4.175709239139796e-07,2.7577059444480302e-08,1.7639351696681366e-06,4.320917054679111e-05,4.3246297651041434e-05,1.4709282704492172e-06,1.4479619456007254e-06,16.6
4700,12.0,88.37513303528674,126.779433345431,223.9999979992096,1908.999950243479,3315.9999982993895,1.4129633742445653,0.2137940068123207,0.004060994218022634,2.097618029839154e-05,4.761013325606299e-07,3.115683619714895e-08,2.0437993460984686e-06,5.0211297514765974e-05,4.964003921409877e-05,1.6679843003477892e-06,1.656165044602854e-06,16.6
4800,12.0,88.3314922396338,126.77117622741292,223.99999771908773,1908.999943096433,3315.9999980717607,1.4455829921135672,0.22660661150904338,0.0043340670043578835,2.3167759009038458e-05,5.488489032291412e-07,3.6393512611385144e-08,2.2829152388442706e-06,5.6056705067351976e-05,5.686024754728509e-05,1.940723287089106e-06,1.907042934639975e-06,16.6
