miliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,12.0,90.01341871772765,126.99741854846157,223.999999974961,1909.0000001118153,3315.9999999794,0.01914998247790468,0.0005304926584583266,4.310853697587055e-05,9.96797888702121e-08,-4.193461541296014e-09,-5.88320397843807e-10,1.719902965036788e-08,-2.520574938527437e-07,-1.7859555805153132e-07,6.13336565909276e-10,1.7531321529330737e-08,16.6
100,12.0,89.9592074482528,127.00273751362936,223.99999997188596,1908.9999999699608,3315.9999999892025,0.034930367631992885,-0.003025526190043163,6.730345705352848e-05,6.590909953676593e-08,-7.158739979304995e-10,-1.8053773158644902e-10,6.082079633755948e-09,-8.903265924912397e-07,-7.913829394875792e-07,1.0218303517952379e-08,2.427149108162763e-08,16.6
200,12.0,89.92360659100684,126.99608176003626,224.00000001723726,1908.9999993796691,3316.0000000123464,0.08136946856496807,0.0014673512501246636,-6.394354995578414e-05,-6.166346354947856e-08,-8.077096811261981e-09,1.1556806618470077e-10,1.6525293545602345e-08,-8.200503292057259e-07,-6.43637105436752e-07,2.9011384781589062e-08,-2.6339224433069133e-08,16.6
300,12.0,89.87234851162022,127.001041127555,224.0000000016303,1909.0000001692902,3316.0000000069904,0.12443426007523349,0.0028196563822016065,6.479329106890746e-05,9.160275546132474e-09,-4.379497746150017e-09,3.141661685995142e-10,2.4076919354170074e-09,7.961323368906519e-07,2.7754044467890316e-07,2.8062654067990544e-08,1.580671364694004e-08,16.6
400,12.0,89.8592855675191,126.99538618058179,224.00000002951558,1908.999999110854,3315.999999970375,0.14606922384929916,0.0015874692531883782,6.401670708234468e-05,-3.176508727719332e-07,-2.9675799678347926e-09,-5.542143810501765e-10,2.9107874921493405e-08,8.788567093891773e-07,2.0034974055837974e-07,-3.062587214971963e-08,-9.806098182480475e-09,16.6
500,12.0,89.82045462732506,126.99364896019432,224.00000002460007,1908.9999991607513,3316.0000000075615,0.1640969910024001,0.0035509320283055893,4.610925005835982e-05,-3.0563417733463765e-07,5.32576770946732e-09,1.5203616397499747e-10,9.193689646954672e-09,-8.115902385185683e-07,-6.722530610410502e-07,2.7820370370361635e-08,-1.855442345353555e-08,16.6
600,12.0,89.76308679446629,126.99405413330462,223.99999998534682,1909.0000003663506,3316.0000000008945,0.20334058050495707,0.005355375188922744,-1.5084249739327637e-05,-1.4181643343324418e-07,4.298553531799318e-09,1.433479358401069e-10,2.2364365928653153e-08,2.9640909077736278e-08,4.7660671427140987e-07,8.412292287830661e-09,2.4087328869939393e-08,16.6
700,12.0,89.73047685032333,126.9915247922232,224.00000002421257,1909.0000008749053,3315.999999990539,0.2543427800317428,0.008418827382504416,6.853144364481226e-05,-1.5649687981080367e-07,-2.197540787669783e-09,2.819761616068542e-10,-7.412050320613919e-10,-1.5931709844054116e-07,1.7935962285887205e-07,1.8978839672484526e-08,1.7588216444687673e-08,16.6
800,12.0,89.72105039653587,126.99045725239974,224.00000002810538,1909.000000062547,3315.9999999784286,0.272154392292111,0.007495524834010838,8.160758610640547e-05,1.5027786635064483e-07,-6.056917268311077e-09,3.411306349193353e-12,3.374562724713357e-08,-5.871126518009466e-07,-9.785769813317283e-08,1.9993598842741357e-08,-2.2978672013736136e-09,16.6
900,12.0,89.6556822275348,126.98834503060186,223.99999996576068,1909.0000008779011,3316.000000022282,0.32475381429403993,0.011451445169372867,3.784498239504471e-05,-3.6003030159868676e-07,4.456009640822874e-09,3.453802432954887e-10,-1.7869077995163602e-08,6.4729532991287806e-09,4.1420344440216213e-07,-1.3806330286697048e-09,-7.507765886093193e-09,16.6
