milliseconds,CycBt,Cdc20a,Cdh1,m,Cdc20t,IEP,CKIt,SK,CycB,Trimer,Mad
0,0.001478939192452099,0.00099621882024766,-0.009479780494090071,0.24990840327791897,0.0009706810417568783,0.001002037224362215,-0.038552364702651096,0.0008894511210775115,0.0006248794744689194,-4.6372691240427184e-05,1.0
100,0.004071553809031349,1.3579900325379397e-05,0.10072140667094903,0.2502118115457812,0.0014716563940377473,0.000997926487401454,0.05499246545556764,0.0015317127170553716,4.789964893924682e-05,0.005059442292470407,1.0
200,0.008678418757909622,-1.056015094124811e-05,0.21240522363800063,0.25037011503542855,0.002238481519651192,0.0009975385768467373,0.21077130275961706,0.0018833245684555676,3.9763422118902175e-05,0.008179569294221133,1.0
300,0.012531576790560009,1.3015266888287861e-07,0.26207694268520604,0.25032714620374535,0.002568262326309712,0.0009962698021654531,0.2936261404716788,0.0021920588004957736,4.894228183321911e-05,0.01223265036349328,1.0
400,0.016473530945826743,-1.0841330587292794e-05,0.38198505014078266,0.2503363854374888,0.0029393173714613832,0.0009900495259874858,0.3311097816132962,0.0025134876285439916,5.022775185913919e-05,0.016834761133151206,1.0
500,0.019898320850656247,-3.278526935949914e-07,0.4835575479355328,0.2507800199733845,0.0028246679624531483,0.0009903912762265594,0.44005099782127227,0.0028878474808031545,5.059368864361247e-05,0.01946345897665502,1.0
600,0.021770837087549743,8.998167301997186e-06,0.5516850372198712,0.2507525578317386,0.004383228733386336,0.0009880444519632077,0.5613496584753335,0.003198032310021307,4.009055259291677e-05,0.022714721869071405,1.0
700,0.024113235991971054,1.1153338728968607e-05,0.6527551721848078,0.25099244982574676,0.004457659666841983,0.000986816841143504,0.5794239962824542,0.003393517136211468,4.17247758697724e-05,0.024081296291985483,1.0
800,0.02619615654968033,-9.768675670350796e-06,0.7300496283604377,0.2510685277249815,0.0046604831945217026,0.000987444387528596,0.6698069575630378,0.0037166841159589907,3.950655434685402e-05,0.02742995327584875,1.0
900,0.028223870453764573,9.161053858338632e-06,0.8058536558775838,0.25121396806878254,0.005492188794372422,0.0009811756330218428,0.8129835754091161,0.004017060904336466,3.226135813646076e-05,0.028970628397258245,1.0
1000,0.028964980904815536,5.160088453738958e-06,0.9099625621538346,0.25140453337637464,0.006095241400947111,0.0009803760139693149,0.7889049862323283,0.004096830776150393,4.3596480969570616e-05,0.029584180131269053,1.0
