milliseconds,CycBt,Cdc20a,Cdh1,m,Cdc20t,IEP,CKIt,SK,CycB,Trimer,Mad
0,0.0008394017957000801,0.0010124362771603288,-0.005194310360183827,0.25005070559207565,0.000511173582277307,0.0010015469526351592,0.04190745352402921,0.001057809239640194,0.0006108494810322513,0.0007021300297849237,1.0
100,0.004544854838655364,-9.697705629267016e-06,0.11104645050079817,0.2500000767466881,0.0017490833363133197,0.0009986090445042869,0.12430369592024194,0.001429343670423333,5.681919677017346e-05,0.005570791179042763,1.0
200,0.008536585332942508,-1.0179877775019102e-05,0.19726584005404707,0.2501394428858018,0.0019173910099799566,0.0009940754352076265,0.214189344153862,0.0018428199004300277,4.082024078924675e-05,0.008804707661649072,1.0
300,0.011627027492908781,3.5486898350800824e-07,0.3005075624935137,0.2503509243733217,0.0028744044848084123,0.0009957584726988172,0.23986076533579057,0.002355822395576657,4.737415286772308e-05,0.011816935054555094,1.0
400,0.016160996149666377,1.485240303650728e-05,0.35486537476214197,0.2506497848562931,0.003324623303171881,0.0009938324122836576,0.35627567579846037,0.002655072955152775,4.3317136790814616e-05,0.015745698838820585,1.0
500,0.018660688936828092,-1.2295927007056373e-05,0.4825621258950837,0.25078381278014455,0.003799974949782925,0.0009885112896693548,0.4858355270560459,0.0028376904485503843,3.705231288503103e-05,0.01980796391799352,1.0
600,0.02236301826582251,-2.3882338753776844e-06,0.588570800815121,0.2507277609324073,0.003452088222505073,0.0009887274955351906,0.526300361208533,0.003303086010826685,4.449743036452318e-05,0.022374307643113198,1.0
700,0.023605744576472045,-8.01177707754158e-06,0.6454047567402078,0.25085520870888656,0.0043365427073609126,0.000988950209882643,0.6299096370003295,0.0034560222986864523,3.504741471502279e-05,0.02502699634480032,1.0
800,0.02581657879908706,-1.1154895516930334e-05,0.722060851551427,0.25087955124515526,0.0046354024677691275,0.0009828222524394974,0.7259315365213501,0.0037338703634928402,3.876178961459984e-05,0.026366564519433165,1.0
900,0.029099170871176038,-3.71527908859675e-06,0.8100049512888833,0.2509280285656847,0.005474325417024965,0.0009834052666028812,0.7556329255125472,0.004017774269328224,3.181063220038953e-05,0.028027982900874163,1.0
