milliseconds,E,R
0,1000000.0,2.0
100,1003688.1458287458,2.027664496502698
200,1007690.7963060929,2.0555180989039927
300,1011998.3869394837,2.0835550346993794
400,1016597.7156184391,2.1117673426563015
500,1021476.9249385885,2.140147905065347
600,1026624.1929292139,2.1686896654421908
700,1032026.8579893155,2.1973851176043646
800,1037671.7958095537,2.226226577935034
900,1043546.0848454412,2.255206627711114
1000,1049637.0217271338,2.284318122055806
1100,1055931.8488741827,2.3135540206227043
1200,1062417.8434021315,2.3429073867828563
1300,1069082.2565194496,2.372371642601536
1400,1075912.2851437149,2.4019401856433498
1500,1082895.0866045714,2.4316067103149286
1600,1090017.6885974214,2.461365254450449
1700,1097267.144462347,2.4912097846482406
1800,1104630.3475172431,2.5211347705855736
1900,1112094.0567374583,2.551135130694646
2000,1119645.0575763136,2.58120569421095
2100,1127270.1631896961,2.6113412070506117
2200,1134955.7022755877,2.6415381348168085
2300,1142688.3791557082,2.6717916083841233
2400,1150454.663874391,2.7020976445709755
2500,1158240.7148408676,2.7324535662846916
2600,1166032.888034858,2.762855822778186
2700,1173817.2882455373,2.793301900033264
2800,1181579.8475795481,2.8237899834874227
2900,1189306.5207893047,2.8543181466370897
3000,1196983.1495990546,2.8848853549635125
3100,1204595.4733398568,2.915490981578054
3200,1212129.1187665013,2.9461347160438605
3300,1219569.719760399,2.9768171447471383
3400,1226902.754994222,3.007539087477032
3500,1234113.6325118225,3.038301941943669
3600,1241187.741679687,3.069108078703805
3700,1248110.3359066502,3.0999600015496367
3800,1254866.6197295566,3.1308610307541906
3900,1261441.752274914,3.16181541216795
4000,1267820.7842401117,3.1928276051202653
4100,1273988.7326934468,3.2239030627569933
4200,1279930.5617733004,3.255048032058281
4300,1285631.137474845,3.286269147945462
4400,1291075.3444802843,3.317574419739023
4500,1296247.9772091336,3.3489723357099273
4600,1301133.7468607957,3.380471920315478
4700,1305717.3129249334,3.4120829902878236
4800,1309983.2687911012,3.4438160376817453
4900,1313916.433944674,3.475684492451201
5000,1317501.2677516486,3.5077001810862773
