milliseconds,Susceptible,Infected,Removed
0,32680016.45640501,723.5604598486575,63.5493039375714
100,32679979.389829293,743.2443120755755,68.89962367959181
200,32679995.658146348,743.8088310379376,68.06753167932715
300,32679976.224360757,766.3020484619769,66.3487340385242
400,32679937.874549586,750.6274490951841,79.89312039647444
500,32679922.603300426,778.7174394035404,84.42470019546397
600,32679921.891963042,779.7046419846998,79.29115529957757
700,32679923.545985833,802.018534489905,93.18426414779496
800,32679914.542059023,790.9815873780316,92.8175765916009
900,32679875.849262834,794.8916094676197,95.62519214829565
1000,32679864.329045955,819.2821727262034,101.08516801368947
1100,32679864.308539953,813.4570093638152,102.43045206755438
1200,32679869.46469201,842.2062673962583,108.68846826244838
1300,32679832.625706583,839.8117424050685,106.7909431065885
1400,32679823.87080255,841.9661068878233,117.55030481637196
1500,32679804.9394537,864.800209941646,115.1925352838177
1600,32679809.698949404,875.1942608335265,127.46605591915701
1700,32679763.636330806,864.5235733085352,136.44127139034478
1800,32679782.91774813,873.1748715157539,132.16596566011063
1900,32679748.72879941,883.7377773265634,132.08095357860165
2000,32679761.887537908,901.7980889802789,146.01037209691944
2100,32679746.64640028,906.8245486253131,152.5718125700943
2200,32679708.048210453,915.8971577678242,157.0700849094853
2300,32679705.325048942,937.808098550404,163.88290217314272
2400,32679674.220179934,949.9234091778209,159.32276218448916
2500,32679690.806325685,938.5224150346176,162.43645351684052
2600,32679676.731594197,956.9006874853931,171.11140660161726
2700,32679649.148434743,981.6346427324538,173.267314605333
2800,32679646.592742752,976.180633250906,187.31672532655543
2900,32679632.645126346,997.2879746268668,184.3994165529181
3000,32679603.76372243,1007.1916956044602,198.1888052198176
3100,32679587.05855609,1016.0881734863839,193.8263186485192
3200,32679557.805742238,1028.9412959743258,206.45228650608752
3300,32679553.280080948,1014.3419568224955,201.99279712224435
3400,32679559.325190883,1026.2137056917427,215.7781812805076
3500,32679536.083942898,1032.8419730558048,223.27620680237925
3600,32679505.186538614,1053.5047079893166,226.6334825533474
3700,32679498.229311116,1075.0460347407507,232.9295843752601
3800,32679483.71983616,1064.4857468659945,239.00159035702504
3900,32679472.3329914,1079.2309890780984,243.78831696320876
4000,32679450.874600638,1087.230423592281,245.36875050514521
4100,32679423.38634756,1115.7753555594993,249.38729848210326
4200,32679434.985524494,1119.0154975311357,256.7373259708763
4300,32679388.201891065,1120.5337858091932,262.9192957644163
4400,32679393.190139666,1134.655381083228,264.8476024300015
4500,32679398.27295594,1149.8553396756427,264.93329839974723
4600,32679355.495830473,1144.898091107666,274.50648566116877
4700,32679345.97034269,1170.8958143739874,279.66736339213156
4800,32679323.40534317,1180.8540562290964,283.65294820477425
4900,32679331.705631446,1186.5902930452846,297.6526831211056
5000,32679298.649432555,1188.3412316581885,303.0707718247866
