milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5.000035423712173e-08,1.301349654418648e-07,1.3718660580663843e-12,2.214525393087215e-07,1.7942577120040353e-11,1.26835374545994e-07,-1.131752148282558e-11,-7.817519612927904e-12,9.1165818307805e-08,9.588585397999005e-11,-8.031089886366138e-10
100,4.994589589775067e-08,1.2982474144331203e-07,5.475064595311958e-11,2.1154214926503726e-07,7.541329864340706e-11,1.2699164269481282e-07,1.4776292642737807e-11,1.450886642121574e-11,8.168961684739513e-08,4.461535720687247e-11,7.823215395872472e-09
200,4.993914810493151e-08,1.2964983093590499e-07,6.045023999684595e-11,2.0211560422356379e-07,1.9345643779405725e-10,1.2696482254374183e-07,-2.498531308559093e-12,5.7747712331534266e-11,7.411890066490153e-08,-1.0149438827722604e-10,1.8855700529922887e-08
300,4.993592958035059e-08,1.2943411294551276e-07,6.524161099863428e-11,1.9517093168516049e-07,2.773951089210068e-10,1.2702089819232154e-07,2.5920955142146935e-11,8.41291286981398e-11,6.668613555764937e-08,-7.238711785245473e-11,2.2999762003812324e-08
400,4.993409750319492e-08,1.2955803032005024e-07,6.551671764773263e-11,1.9174620864162533e-07,3.4437947173019344e-10,1.2682249199668668e-07,4.7765873661975786e-11,1.1332631845476082e-10,5.8700522267480105e-08,-1.7069202593401907e-11,2.9020192723969793e-08
500,4.9932434624259324e-08,1.292072117935558e-07,6.880732640132066e-11,1.8251331683708467e-07,4.387682190553754e-10,1.2657692288790945e-07,4.583537699695735e-11,1.3115515896613842e-10,5.4388019910781666e-08,1.005787989061566e-10,3.4388856684582164e-08
600,4.9930985220009864e-08,1.291751512530728e-07,7.054961862714025e-11,1.7983962551509743e-07,5.075414304870022e-10,1.2661950092431125e-07,9.552159507824539e-11,1.3694218789886403e-10,4.974331503072495e-08,1.4266208633234272e-10,3.9774635090730394e-08
700,4.992919336338942e-08,1.2911631723016978e-07,7.125982309803547e-11,1.7685318907609958e-07,5.568179258475689e-10,1.2640388767696116e-07,7.95549741037146e-11,1.7096975704397712e-10,4.651818932208203e-08,4.1419967100970846e-11,4.497520373454466e-08
800,4.9927922881240946e-08,1.2902802895517304e-07,7.264234776227795e-11,1.7363644462649373e-07,6.048675230937543e-10,1.264481073913755e-07,9.836312756030497e-11,1.737176625364136e-10,4.43288220100685e-08,1.1850446967207085e-10,4.698272485644052e-08
900,4.992610516294856e-08,1.2874571255056635e-07,7.49120503525858e-11,1.7019189857429852e-07,6.689067479425424e-10,1.2645077620986692e-07,1.5792350979536966e-10,1.8798524617675278e-10,4.053321084493158e-08,3.39085072301334e-10,4.9154914716787786e-08
1000,4.9924086279872575e-08,1.287357992027422e-07,7.52828579156748e-11,1.6740631695337988e-07,7.032562327156747e-10,1.262420083577572e-07,1.398509883624163e-10,2.1173502013158795e-10,3.5533515026893885e-08,2.9956807073878925e-10,5.263728356532762e-08
1100,4.992225546082007e-08,1.285546260072381e-07,7.680522040060098e-11,1.6271138967254373e-07,7.208447210344313e-10,1.2605378339678486e-07,2.3817996735754555e-10,2.403560593970096e-10,3.234641466580707e-08,4.832664012039602e-10,5.3454871852275135e-08
1200,4.992259217878798e-08,1.2845260355089668e-07,7.673425692034027e-11,1.5907771991949397e-07,7.633323102952896e-10,1.2622853514956865e-07,2.2716975022421297e-10,2.4097094266979615e-10,3.2835292672921126e-08,5.930845986209816e-10,5.8582876509708637e-08
1300,4.9919587735523135e-08,1.2839402503024603e-07,7.784334079937526e-11,1.605646743127266e-07,8.033839006795058e-10,1.2581338785502461e-07,2.8286372621112264e-10,2.506691161380525e-10,3.087259500990681e-08,5.95730872101774e-10,5.787509765337091e-08
1400,4.992091647391073e-08,1.2805638899687278e-07,8.037759300083477e-11,1.561046127492035e-07,8.074008538224121e-10,1.2571022661367694e-07,2.942714159655822e-10,2.653741524197763e-10,2.6990126651286352e-08,5.370296090327703e-10,5.96475010985927e-08
1500,4.9918797380008775e-08,1.2800540894421567e-07,8.187410526591664e-11,1.5577809882246914e-07,8.249638392786824e-10,1.256431432572772e-07,3.027950366975524e-10,2.9824302174049214e-10,2.4965597354892204e-08,6.953847285336771e-10,6.367818099810984e-08
1600,4.991709408338059e-08,1.2789860194380562e-07,8.107250859662226e-11,1.5449347070891146e-07,8.930893913647977e-10,1.2549174221031641e-07,3.658382541540803e-10,3.0407716740249076e-10,2.3202534750116536e-08,8.36486475653268e-10,6.281948587995335e-08
1700,4.991839665627631e-08,1.2784813622829628e-07,8.123194962668618e-11,1.5060056443490048e-07,8.866640654576737e-10,1.2547113002857015e-07,3.914098583607622e-10,3.0597917923148803e-10,2.3912697808493593e-08,7.961208537875036e-10,6.758207823110564e-08
1800,4.991709830808188e-08,1.2758750142619668e-07,8.200147785093011e-11,1.4853571914664357e-07,8.778060813901332e-10,1.2545960989221006e-07,3.688222736808105e-10,3.3315983178483504e-10,2.125627838531873e-08,8.545009796437407e-10,6.542304310454093e-08
1900,4.991625527921347e-08,1.275692444608579e-07,8.437270448413472e-11,1.5118877798634912e-07,9.36222402909911e-10,1.2526898950794053e-07,4.420123413861647e-10,3.317805635841729e-10,2.1174639856342703e-08,9.307894758572199e-10,6.701483594155429e-08
2000,4.991432762367433e-08,1.2740450199972957e-07,8.320204714661304e-11,1.4650948010421848e-07,9.237114999040938e-10,1.2525223823511756e-07,4.717036797283936e-10,3.6711149123799563e-10,2.159050363981911e-08,1.03992190254734e-09,6.95911001029372e-08
2100,4.991493971426927e-08,1.2716285625486093e-07,8.55495384708108e-11,1.4892892424260939e-07,9.165207744505102e-10,1.2511032729540465e-07,4.619976331228491e-10,3.713319847960379e-10,2.0146748960246902e-08,1.3194064535270973e-09,6.852022588599591e-08
2200,4.991330939607543e-08,1.271745335151942e-07,8.566198120944618e-11,1.4446582175230828e-07,9.324678490962815e-10,1.2484189285874673e-07,4.665880943617064e-10,3.7885411558006637e-10,2.0020233731358113e-08,1.400127998654926e-09,7.23728094883395e-08
2300,4.991361789378191e-08,1.2700193086804966e-07,8.472678554405375e-11,1.4461191633668761e-07,9.531273194871847e-10,1.2473844595202905e-07,4.851819484412848e-10,3.839826492681439e-10,1.7723629196476857e-08,1.5049882815959145e-09,7.276786071315553e-08
2400,4.991499469587392e-08,1.270219876833809e-07,8.500908806304735e-11,1.4424892875484827e-07,9.483627834755704e-10,1.2441793123944034e-07,5.653218648776068e-10,4.023937982581184e-10,1.5452535769288604e-08,1.498338964879313e-09,7.379070156597663e-08
2500,4.991242559015789e-08,1.2692518651760338e-07,8.519951849194019e-11,1.4555114312902696e-07,9.46792497483415e-10,1.2429683769814368e-07,5.587805257404435e-10,4.1042236962951234e-10,1.4711412755924792e-08,1.5224134118227415e-09,7.176878023278717e-08
2600,4.991225744246191e-08,1.2664364774004636e-07,8.816823782777465e-11,1.453302120635167e-07,9.793412192988e-10,1.2422446171786674e-07,5.960174037127703e-10,4.173173264994892e-10,1.4615307046645751e-08,1.6546970948669503e-09,7.478085568022244e-08
