milliseconds,PP,NP,STAB,UPS,EP1,EP2,ED,LP,BAS
0,-0.014237836773747499,-0.2259977190318246,-0.1056469722913099,-0.016269965464096158,0.1754802655551456,0.14003776554315076,0.010292393566887681,0.010008496761306282,0.9681386650943321
100,0.10354844905495192,0.33475521223806537,0.17095166637825754,0.04119498415254484,0.1951154029137884,0.1401279985570317,0.01068685645898718,0.00998842808784237,0.9410883563945793
200,0.32410155947901653,0.35788088694406744,0.2900749900112571,0.02495467893472123,0.1906302382906522,0.14067535724694002,0.010095265972393066,0.010002803396461923,0.946162766979353
300,0.22709000320175302,0.40831968637397575,0.17903516997714372,0.077660224744208,0.20538215105692523,0.14109725137622695,0.010556236326875626,0.009989729556000781,0.9351675212438927
400,0.4451483956534323,0.7730437646405989,0.5028293998584108,0.05566085768035975,0.21999906600922287,0.1407607867365224,0.009314853349464133,0.009999971814466784,0.9221112788203133
500,0.5928961125631141,1.0300950574341547,0.5386180417292113,0.12108700591059368,0.23365626287955685,0.14138175892126664,0.009539255993199615,0.009987041707322009,0.910276264390856
600,0.6841363632247078,1.0982409765355634,0.5186549257549606,0.12852125688170316,0.24209195232698516,0.13993700087391506,0.00997639156590605,0.00999703689972615,0.9051658278315667
700,0.6919788259506228,1.683435291505095,0.6138792565016702,0.13344833443164908,0.23704464539246162,0.1413798153140418,0.010854971183451547,0.009992278181496145,0.8953830976786505
800,0.8338959512038631,1.4485671597221654,0.8023789632081887,0.17177989180631884,0.2440067200034739,0.14169152532465787,0.009745775282374409,0.009999790775857009,0.8889733649948184
900,1.034746635274054,1.7013219393877883,0.8436914094704756,0.20816361564438726,0.2600176293661162,0.13977959627707376,0.010855012361147248,0.009987089139098317,0.8883976961975047
1000,1.0366285106467048,2.028332308103794,1.1356421796046676,0.22725630823927118,0.26327595682055593,0.13997019253550996,0.011211331738870834,0.010000015578509752,0.8735116597771615
1100,1.0554962023100418,2.0148985633655103,1.0230465990975555,0.2068679289735633,0.27548357230952125,0.14174616955886038,0.010105663453302915,0.009997601177861321,0.8652007332781497
1200,1.322512767873924,2.5752096660753474,1.15342458380722,0.21979874368050353,0.2905981647950665,0.1403681595433894,0.011413066078759616,0.009993925341538734,0.848500156900751
1300,1.2280678554411633,2.663760012482465,1.3153426151619754,0.2579611987024799,0.2964944362075991,0.14208715413717174,0.010421777719035701,0.009979608558651876,0.8446535811706868
1400,1.4135659931686715,2.5936869851568973,1.345368474997617,0.29304868998405065,0.30154569791866137,0.14068372792682077,0.011262879330666593,0.009994437742395754,0.8434198851610077
1500,1.6420564768086923,2.8661677218891026,1.629899508992261,0.30439415785117824,0.3078331868531859,0.14283040307360223,0.011070743158073933,0.009991728020113088,0.8237552948418404
1600,1.6889264574779679,3.4224781489591565,1.656429127164863,0.2959840744818066,0.3081850978789504,0.1426159237510243,0.011188083296121113,0.009992429414889934,0.8114796447931049
1700,1.7638615485220548,3.385946214066754,1.6224418144659796,0.32320175466048673,0.3151043695188558,0.14379787877014932,0.011494041537583665,0.009982323895408337,0.8145736327635335
1800,1.8645116920742555,3.7626605655307337,1.8294174033307011,0.33374771189456987,0.32139340432296987,0.14292296044344868,0.012816294663149905,0.009993449851389247,0.7959232710732478
1900,1.8386274618037126,3.919196524523028,1.9625531929119737,0.3985927293274345,0.33620831059238276,0.1448554219110889,0.013186565079617673,0.010003692394865857,0.789012846671866
2000,1.865956116568729,3.9450547834753706,1.96079270431835,0.39651050918816905,0.34027589217630955,0.14335836537591853,0.013780477195216427,0.00998732420316745,0.7948217703447714
2100,2.181190861586144,4.397984375367597,2.215650329694708,0.4079775339552588,0.35474811133707435,0.1454627363806113,0.013572450197395326,0.009994963548589912,0.7839574351859337
2200,2.2406234335210957,4.378366272250404,2.1413176654230703,0.4622813032604831,0.3632771038422183,0.14618864000711812,0.013568267352200855,0.01000206899357398,0.7755725497803663
2300,2.2011940431047616,4.325451784495785,2.266334529207801,0.44144794941787235,0.3550988451375464,0.145011560077583,0.014366745429275374,0.009993370037819306,0.7681640779592357
2400,2.4360806760033693,4.823288398608441,2.293224361340878,0.4560567583930544,0.36797798144366056,0.146311798324144,0.014435853645517187,0.010005029400103291,0.7598826337516563
2500,2.6496538658862825,4.9363810392886736,2.369675300510757,0.48491388230427473,0.3752941898059533,0.1483097075263787,0.0154518597882633,0.010001931470076365,0.7625763761760648
2600,2.648998814718253,5.267861927675786,2.5673089297382683,0.5297180275957694,0.3826117166666147,0.14929579165474471,0.01556924983650502,0.010002048755570574,0.7488187986357905
2700,2.588318712439446,5.164776788218947,2.6494495172378585,0.542239442515483,0.38548430107240605,0.14868892561074384,0.015451367813944971,0.010013879940839548,0.7482232200038688
2800,2.818942614776551,5.8025952986192415,2.7115102521596888,0.5376401144876994,0.3911841277490274,0.15036085050559853,0.016047323825904583,0.01003256078725404,0.7402599517404166
2900,2.875841378932309,5.484432530716507,2.7521001904169977,0.5759912125547526,0.4042219943432444,0.14979334852844728,0.01792149218757631,0.010027547426508238,0.7333512056829914
3000,3.11178581687764,6.032808678517225,2.9175897651237483,0.5757848878521623,0.4087046107719009,0.1507784581042783,0.01728787760709145,0.010038840962535173,0.7193442008957105
3100,3.100019256035275,6.013286366657151,3.165649589465284,0.6387314954883709,0.40182392125423727,0.15356084627619507,0.01822095424563705,0.010049986996083725,0.7108993995531101
3200,3.1229200589836106,6.120838338701443,3.2703083403563804,0.6374252481048106,0.414474857656059,0.1545508699321153,0.01970006922120596,0.010040477614968268,0.7096002966604956
3300,3.2078865404660917,6.387837441850907,3.259918917712769,0.6439419867937144,0.41356236954048897,0.15374091873943865,0.020434514507015996,0.010064579621759186,0.6857569596325396
3400,3.2478863259153923,6.729270413834607,3.4636286691316305,0.6713983356349975,0.432769325150325,0.1558257686838691,0.020580933757136585,0.010064764994482498,0.695768308086204
3500,3.3627095178623296,7.064968717881591,3.317051980534074,0.6663018960702769,0.4252291704319795,0.15733874857848237,0.02212449490679381,0.010074265790415043,0.6826629142444628
3600,3.443475767814786,6.926491198679758,3.565258879729308,0.7327326082049127,0.42741014627435864,0.15931684280233252,0.021875848320845583,0.010106133565739101,0.669173415003586
3700,3.664159392593024,7.139273694397357,3.5386590068806067,0.7385627245170235,0.42854644527051455,0.1588073905999512,0.023324153529067696,0.010118264612673344,0.6800620999000094
3800,3.9219462471098043,7.482589290531068,3.7708421457743913,0.7581586533806879,0.43527947823559704,0.16115085162107706,0.024350182418609315,0.010133395909079718,0.6602214182492026
3900,3.803141305495751,7.863189347005007,3.697179060632862,0.78566706045065,0.4369828235387597,0.16137141240448583,0.024625653498387034,0.010147101905457602,0.6613259227273313
