miliseconds,Galpha_GTP,APLC,IP3,Ca_ER,Ca_Cyt,PLC,DG
0,1.006112301775587,8.996551632819227,1.4376091901200865,999.837458990511,197.17977202834754,0.9617042954412872,0.984368156199421
100,0.9800520872761773,8.872823988325342,11.689329943422745,999.4462301894187,198.73526897096957,1.0893017195418593,12.374096603395056
200,0.9239955123003276,8.808042885825204,21.349673105161116,999.2713585972883,203.15330091889996,1.2548218006167648,20.953822327276157
300,0.8513767447234392,8.624842954312411,28.585314182153134,998.6662997024418,203.57027783474925,1.3000276395117447,28.586583492107202
400,0.7746854180706201,8.597732397820117,34.44929706155674,998.82128733278,214.93538497511312,1.4518004034335532,34.21730410588783
500,0.6908212165225357,8.514813884418622,38.43554742097,998.2124494882211,221.92626071433614,1.4964678972258363,38.921254102928614
600,0.615065024549382,8.350204637306613,41.991327397846774,996.7775541466409,226.02501814156017,1.6417746685555328,42.89821261800751
700,0.5645494648260528,8.240106137441337,45.80412991621412,996.2646455089999,241.86424418202031,1.7512673543123456,45.20198233550906
800,0.5129149770512464,8.156710274635504,47.97727368507609,995.51968170977,245.04775757832533,1.7678264508351678,47.76037553616113
900,0.4453342809175537,8.074719021468301,49.74469420934014,994.4224247651136,257.915762702531,1.981251280947088,49.24253443166429
1000,0.40975831778487004,8.014216041834876,50.67147624459833,993.8651704849121,269.4549268478505,1.9745112355142906,50.090588601085784
1100,0.36453595146010803,7.916787803216659,51.67774478483887,992.64048370021,274.73970830269064,2.0787658347890003,51.38122920216462
1200,0.31680745310772956,7.788884592806335,52.39855420655336,991.620926312241,282.275389912215,2.1940888817952726,51.87990655065141
1300,0.2941412391189861,7.75144667124969,52.91167563137505,990.0399841577395,292.1376598276336,2.343841143643818,52.601163958405394
1400,0.25033659328543933,7.556300020945441,52.23998155272159,989.524028178236,294.9841283031681,2.3805796667671206,52.673917424591316
1500,0.2396438717736316,7.491991999794045,52.2113082142641,988.9766453695037,310.59899310234766,2.4575285588543854,53.008344039432515
1600,0.21501504978286912,7.456668005842259,52.98490711995634,987.6763588276945,313.2019709913584,2.570234801882361,52.707461265986886
1700,0.17576028390385753,7.377866498246223,52.67766024586121,987.0992851474991,326.78849003220563,2.6088825628253347,52.50251998436183
1800,0.17689538400137522,7.272881280048647,51.88719819810244,985.935149334123,336.74389843249884,2.7101510193022964,52.170001123147735
1900,0.15530869772038455,7.143136407640546,51.6006202647342,984.9421239187377,342.4135053161649,2.785263857332768,52.19375258744949
2000,0.13929401686139267,7.118410624374143,51.35237228645813,984.6525820120038,352.03525204686656,2.872579539657919,51.45572147176013
2100,0.12431475062152873,6.936470236988998,50.6343092921259,983.3437923045256,355.2217924437769,2.9949638083861108,51.00476624727386
2200,0.10698641252921891,6.957902300474494,50.46428490060668,981.7077674679814,372.30245078623847,3.089563155954636,50.717492299048565
2300,0.12266704280146369,6.83712738745882,49.772199256740414,981.4862341419525,377.88957692047535,3.153923573424027,50.549393061211816
2400,0.10788160175733716,6.77087424770622,50.1212688262395,980.7040269392852,380.88058258949735,3.2789059847742696,49.40368440878334
2500,0.09521253037529792,6.608433485083624,48.71415045956296,979.6518932591007,395.93670103814327,3.2881797414284866,49.07130564789141
2600,0.10586991247950212,6.563564494640322,48.23348712467959,978.7908918580678,398.8351464476786,3.387262309369637,48.47792751128842
2700,0.08315096058714534,6.539286356647813,48.418315142502586,977.6568041815401,403.6060433061165,3.5142219500215663,48.11876676182912
2800,0.07819763125106345,6.405004887012377,48.05604583734941,976.3613541056136,416.3496730150818,3.531786615704235,47.38985899114918
2900,0.06970922190511893,6.411895227569086,46.849428428664154,975.4939891266622,424.50207451423154,3.6900525817424663,47.57436407002668
3000,0.07954193385459937,6.327074388518945,47.070996444352616,975.2430973938756,433.0208699456284,3.7619984123473236,46.298874500747004
3100,0.08706941026309414,6.169921066750289,46.210144890862196,973.510995253778,433.53625722495445,3.746811432768574,46.317715337883484
3200,0.08709925210952295,6.076328012996904,45.6651712145189,973.3165684178412,447.9759737863438,3.810994781018432,45.67061838759888
3300,0.06047169179798529,6.109596717634836,44.79634832241366,972.4012894998041,448.3949026591152,3.9967192929339563,44.555754338138655
