milliseconds,U,M,E
0,-155590.66733504017,1.0,0.03094087942984204
100,2913386.6899532536,1.0,0.04071482697586401
200,2928162.1016204637,1.0,0.07548573182130928
300,-300392.31934995414,1.0,0.1405422462699189
400,302486.99689898966,1.0,0.14267835316968172
500,-204839.54347192007,1.0,0.1745299812565189
600,513028.4352075823,1.0,0.24028975858832938
700,2900133.749998857,1.0,0.29798577825585176
800,3206736.3068431625,1.0,0.3018951192571165
900,2290802.800900664,1.0,0.3202945733766933
1000,1267343.9923225602,1.0,0.39327036063183957
1100,2640863.647497017,1.0,0.40683305388780255
1200,2625435.8714192174,1.0,0.45613306046330676
1300,1889797.8344414374,1.0,0.5147387859317369
1400,2221437.7047514515,1.0,0.5481140956692888
1500,2973876.0849669315,1.0,0.5417342723754269
1600,3153190.394401437,1.0,0.5831615176141265
1700,4002081.7871625456,1.0,0.6516830033690026
1800,3356663.3682604283,1.0,0.6672699961820994
1900,5720624.714358333,1.0,0.6439846155453262
2000,5937777.502275198,1.0,0.7314585482899637
2100,7089310.764436737,1.0,0.7173319692516539
2200,7907962.52386293,1.0,0.7911242798288379
2300,6616261.036131046,1.0,0.7639951349282984
2400,10581034.173604878,1.0,0.820110547286153
2500,10616897.501558598,1.0,0.8746594384753567
2600,9264539.764343152,1.0,0.8537012483933641
2700,10548358.899931109,1.0,0.9120356177944026
2800,13441998.999734553,1.0,0.9483639209077828
2900,11850648.32941204,1.0,0.9707538520237344
3000,15889014.61831504,1.0,0.9574134113029824
3100,15620687.775330467,1.0,1.0147930008676438
3200,16548383.424013572,1.0,1.0085792619060625
3300,19818245.61206574,1.0,1.0409943853095496
3400,20975940.712683428,1.0,1.0970668856888466
3500,23958427.88019482,1.0,1.0829558448942804
3600,25105894.153239716,1.0,1.0849097829884065
3700,27164875.00758916,1.0,1.108193745916955
3800,29140079.547912408,1.0,1.1133879016792387
3900,31590028.526685704,1.0,1.1083574654356405
4000,32907693.352041975,1.0,1.1768758032217874
4100,36783063.02494897,1.0,1.1405158566513456
4200,40052250.33250586,1.0,1.1730366029851702
4300,41823322.24626631,1.0,1.155274519989259
4400,45049389.21913677,1.0,1.194267775784798
4500,49428215.75024627,1.0,1.1626725334272732
4600,52537777.67511961,1.0,1.1847183573291222
4700,56340615.55718574,1.0,1.146132046770843
4800,56635249.542267404,1.0,1.1523931791201407
4900,62317114.547573894,1.0,1.16827933076773
5000,66789324.554606564,1.0,1.1197517901875624
