milliseconds,U,M,E
0,1994409.283631682,1.0,0.029414038732558136
100,2536960.892531828,1.0,0.04468636528670309
200,910521.9953872857,1.0,0.08676889041532407
300,2358749.6138483128,1.0,0.1485683106391582
400,905523.9785373633,1.0,0.11857891062894961
500,569381.8105482826,1.0,0.17467815500982928
600,1703149.6051228389,1.0,0.21772885734172936
700,1275442.7013388264,1.0,0.2992053894882555
800,505411.4334831843,1.0,0.33555256704981945
900,3245417.1435390534,1.0,0.3568008680345388
1000,2320312.6635891236,1.0,0.33943334567115563
1100,1203217.995764986,1.0,0.43572625138321885
1200,2781634.4445786993,1.0,0.47901460256969625
1300,1571960.1781096926,1.0,0.45649656550455614
1400,5124505.627127202,1.0,0.5219318064500182
1500,3861936.0906597245,1.0,0.5635706755247909
1600,3769661.3506478043,1.0,0.6136226672130388
1700,4891202.221465063,1.0,0.6077290607418805
1800,5278474.257505076,1.0,0.6239441339560393
1900,7152688.916647917,1.0,0.6869434074933154
2000,5244684.083473149,1.0,0.7037369208792039
2100,6032573.473514571,1.0,0.7046261423147459
2200,6816700.853744219,1.0,0.7854787389865374
2300,6308718.985544461,1.0,0.8204633797081862
2400,10365132.343117489,1.0,0.8557884833730259
2500,7950020.379891062,1.0,0.8169985630293528
2600,11716157.243278485,1.0,0.8862631451722562
2700,11350878.723729858,1.0,0.9364460642294533
2800,11070609.185161412,1.0,0.9687824467743328
2900,13832671.236681946,1.0,0.9458359329768594
3000,13377192.40806333,1.0,0.9677430711207163
3100,16131782.399197754,1.0,0.9651268226239649
3200,19400782.71823582,1.0,1.046969801946409
3300,20812035.604891066,1.0,1.0275039967208082
3400,20620549.824663665,1.0,1.0363362289344504
3500,21194094.295134783,1.0,1.0955463617302819
3600,25429152.76068123,1.0,1.0814413933187663
3700,28117310.489257794,1.0,1.0787379822887138
3800,29372626.64895122,1.0,1.1407789784177649
3900,31505942.724642325,1.0,1.1653756475672787
4000,33228124.91550442,1.0,1.1313019393437578
4100,35617670.2583633,1.0,1.1684682469251528
4200,39099281.107619,1.0,1.1681511103740598
4300,40725975.60476272,1.0,1.166535178063578
4400,45544936.278380014,1.0,1.1426941917862674
4500,47768956.56004012,1.0,1.1349325513804693
4600,51371850.93461253,1.0,1.1463304919840995
4700,54823904.146657005,1.0,1.1520819468359345
4800,56908526.29939903,1.0,1.196597495158688
4900,63291435.41995706,1.0,1.1886862839736503
5000,65218040.64947703,1.0,1.1417451919962909
