milliseconds,U,M,E
0,1965989.8246061644,1.0,0.015519221895933645
100,230099.51645550842,1.0,0.04580630089170453
200,2017746.5206387506,1.0,0.08249336730599323
300,145654.93064231193,1.0,0.0877581129161014
400,13324.85164809646,1.0,0.14958641213099627
500,2901968.7922704224,1.0,0.19337685212659453
600,885167.7463611074,1.0,0.22257789248254822
700,515462.17030857573,1.0,0.24231372120998937
800,1649447.772391621,1.0,0.2717046258844252
900,965908.6019606772,1.0,0.35079206571041466
1000,3720169.588498577,1.0,0.40510227828041157
1100,2311063.923131898,1.0,0.43045860708653283
1200,4043198.65778373,1.0,0.47570818607082854
1300,2775253.921308125,1.0,0.4672615345886176
1400,2446236.7724318495,1.0,0.4925074032543671
1500,4974632.196292891,1.0,0.5373512501668247
1600,5584599.221646404,1.0,0.5877876906287063
1700,3125987.2582643414,1.0,0.6082996007961895
1800,4330536.7886235425,1.0,0.6729645416458757
1900,5103982.570609666,1.0,0.6536523080693204
2000,6604154.002718063,1.0,0.7331867794082475
2100,8602946.93017073,1.0,0.774886034544165
2200,8068177.024169804,1.0,0.7690644597597831
2300,6318589.502357357,1.0,0.7775736339483801
2400,8138954.268648876,1.0,0.8337650917527787
2500,8292169.931440419,1.0,0.8488107106795286
2600,12338641.919367544,1.0,0.8489593253192991
2700,11822106.890718604,1.0,0.8859615029984046
2800,11890719.631852161,1.0,0.9164213059715376
2900,12203989.643513445,1.0,0.9940098718628794
3000,13259916.988776138,1.0,1.0101982690242763
3100,16496856.953649035,1.0,0.9846743514035313
3200,18499905.45263768,1.0,1.033606438269778
3300,20529304.742938716,1.0,1.056224260248271
3400,20220965.6954592,1.0,1.0378464311547357
3500,23833328.01279925,1.0,1.0692800672921716
3600,23032897.744247474,1.0,1.0605262646916624
3700,24744536.709444195,1.0,1.0976370451002042
3800,29693129.367145427,1.0,1.1409942707020169
3900,32013127.052779213,1.0,1.1740769869375995
4000,33555124.563855685,1.0,1.1358434818415533
4100,35499485.434056625,1.0,1.1689776326550858
4200,38331923.8991775,1.0,1.1525476108648665
4300,41929494.63840312,1.0,1.2000822920048095
4400,43068420.350307055,1.0,1.199512719554061
4500,47708440.52495128,1.0,1.1364896538821847
4600,50455787.129374586,1.0,1.1687247603479562
4700,53758559.54749934,1.0,1.1487147734066294
4800,56652036.34823144,1.0,1.127780631990004
4900,62883499.345614225,1.0,1.1268707867702035
5000,66736725.87569769,1.0,1.1650087574891383
