milliseconds,U,M,E
0,-813372.7834663421,1.0,-0.02735707103571912
100,2226204.5144656096,1.0,0.0360627542207735
200,3022875.471480285,1.0,0.07153290590118264
300,3034980.334644062,1.0,0.08675338326025286
400,2194661.0253845965,1.0,0.15119260791992706
500,1588337.8055242123,1.0,0.19152669851936496
600,2394727.4827026217,1.0,0.24445839206157827
700,2217834.757880541,1.0,0.28433952067847895
800,267408.6931062562,1.0,0.2691892863867599
900,591207.5717086068,1.0,0.3774336370605514
1000,3579937.146960087,1.0,0.3951882495774323
1100,3922369.4553939244,1.0,0.44717149888015884
1200,1963059.4514562823,1.0,0.45347052585468484
1300,1945764.4309810156,1.0,0.44909761863286823
1400,4531781.93710224,1.0,0.5012509956633651
1500,4379457.872804487,1.0,0.5713592975467451
1600,4665421.396939414,1.0,0.5853401147045713
1700,5088668.18845891,1.0,0.6252987561016998
1800,4546928.608769869,1.0,0.6473501599746307
1900,4927400.264705927,1.0,0.6961893156983777
2000,4860319.670556835,1.0,0.7183721350704928
2100,7543102.32235822,1.0,0.7069026967490086
2200,6800733.468925983,1.0,0.7785727783613308
2300,7551590.779904333,1.0,0.8043507638769337
2400,9589828.813706607,1.0,0.8058364892194628
2500,10023430.498787535,1.0,0.8816524061897723
2600,9115938.677145496,1.0,0.8511880247043936
2700,12055207.709662136,1.0,0.9272315917751961
2800,13365586.695520857,1.0,0.9496864486205997
2900,13999276.884785568,1.0,0.9693239178965051
3000,13799260.584711414,1.0,0.9445888315308617
3100,17355686.710945927,1.0,0.9827547039607838
3200,16178187.121249111,1.0,1.0131114833222936
3300,18710316.444762323,1.0,1.0109347116105634
3400,22258749.569467522,1.0,1.0290116283476207
3500,21953026.507215712,1.0,1.0480665204932123
3600,25895902.191131856,1.0,1.111842082357325
3700,24884221.602288388,1.0,1.106450840560317
3800,30122051.0671694,1.0,1.1624638766544058
3900,30816525.93342283,1.0,1.1471125301968288
4000,32693302.10673391,1.0,1.174328758742135
4100,35712246.5688551,1.0,1.165803210312443
4200,37327809.154036686,1.0,1.167778691761079
4300,41227122.40703458,1.0,1.1748910497627716
4400,45214964.40189034,1.0,1.18170677321493
4500,49214379.70985276,1.0,1.1851269991209474
4600,50772024.91187193,1.0,1.1629644100323666
4700,53317878.32069081,1.0,1.1958449987724484
4800,57640564.42153876,1.0,1.1320787271547335
4900,60095110.941771135,1.0,1.190436614968275
5000,64084154.92802617,1.0,1.136531484833072
