milliseconds,U,M,E
0,-97565.4386727023,1.0,-0.03507749533320077
100,2796273.1084717577,1.0,0.05892854782235486
200,787559.766055219,1.0,0.07055712402418164
300,1060267.0119233935,1.0,0.11541549365387242
400,2460569.8999254466,1.0,0.17507710262117077
500,2635345.2241814984,1.0,0.22057642157240437
600,2299115.033644149,1.0,0.22521087424971656
700,3242986.8635051837,1.0,0.2671427436035794
800,1025617.8287995474,1.0,0.2882040480649508
900,2222862.510310587,1.0,0.373001269357796
1000,2917136.9770979676,1.0,0.3788341164532245
1100,2379896.2338971663,1.0,0.4172418025940291
1200,3304279.730007045,1.0,0.46441858375241796
1300,3476362.216376747,1.0,0.46882822740172225
1400,2354854.4601463783,1.0,0.5311061342990993
1500,2310222.4053020477,1.0,0.5263867047998563
1600,5153487.65443457,1.0,0.5679964984126318
1700,5363150.974775697,1.0,0.5856182142347546
1800,4388108.2451500725,1.0,0.6770426257691959
1900,6491660.376511848,1.0,0.6466683525116673
2000,5448219.254356428,1.0,0.6811682761836879
2100,5065535.070908466,1.0,0.7659666020635391
2200,5888132.357837036,1.0,0.7367748674093233
2300,7525904.136347396,1.0,0.8322210129012149
2400,8688899.245621055,1.0,0.8179558559924625
2500,9704320.84458356,1.0,0.8418331382025763
2600,11399591.498508658,1.0,0.9123555980856425
2700,12375749.273177516,1.0,0.8974875878367633
2800,12651510.161708988,1.0,0.9068061565626527
2900,12667009.652749985,1.0,0.969807452010297
3000,14516247.37052325,1.0,0.9928434469569745
3100,16046477.22275916,1.0,0.9993993681607897
3200,18211109.118867524,1.0,0.9999537561438834
3300,18591013.741949752,1.0,1.0264857013919084
3400,19869246.854881894,1.0,1.0878774612634572
3500,21968344.87182023,1.0,1.0499993451950773
3600,24370501.30105521,1.0,1.07668994926303
3700,25995296.371906653,1.0,1.1217009905311148
3800,28079395.86678605,1.0,1.12293857222059
3900,29400499.23095519,1.0,1.1334397333167487
4000,34920460.27755947,1.0,1.144306248603477
4100,37550450.87757235,1.0,1.1342948810260784
4200,38741633.40379185,1.0,1.182013218075185
4300,39738402.69816268,1.0,1.1541638893780268
4400,43000296.81529,1.0,1.1946416206735264
4500,46799503.82699957,1.0,1.1474826442768136
4600,50234326.806586474,1.0,1.1611277609551665
4700,52693681.88087732,1.0,1.1506810938315064
4800,58460818.06624302,1.0,1.1737235623414546
4900,62948107.266846664,1.0,1.1329136055705717
5000,65412615.21018636,1.0,1.1459430606240986
