milliseconds,Population_of_Eggs,Population_of_Larvae,Population_of_Pupae
0,9990.146042156084,4982.786621505554,2976.4656850760994
100,9602.507014913737,4769.291546768834,2958.60897523846
200,9393.532067731123,4641.881354075769,2900.0543477553456
300,8962.64149385035,4473.344914076271,2876.5339504368844
400,8603.231004936422,4278.294231231387,2823.2435018598944
500,8518.792812270282,4190.250890139692,2788.0981525887632
600,8075.843609181745,4079.107838528013,2787.687038741502
700,7885.239742245623,3952.4606361739297,2709.363638484652
800,7501.811324845067,3845.2252263033156,2686.5822220109294
900,7263.103557516393,3791.8094261311653,2622.3131377345712
1000,7069.80961386683,3712.9143254729524,2608.481754981637
1100,6985.672578601127,3566.8439398496926,2577.1245166353056
1200,6776.8954398855185,3563.2669267081446,2535.7407410142832
1300,6376.026133244589,3453.365630409132,2500.80849089561
1400,6185.427538720601,3356.2238477027304,2463.0730920430633
1500,6023.64278370145,3316.5842452411557,2380.4266600058577
1600,5936.174004920404,3236.0547983848164,2345.445560559057
1700,5722.739734758353,3183.7672980011166,2332.1754430043134
1800,5619.505377629776,3115.6664403476,2271.25683653235
1900,5415.267649431423,3107.1255923084173,2237.9702376556297
2000,5163.901262247036,3003.4297742078265,2195.034527539483
2100,5142.574892234438,3011.9096301624977,2179.8589846470786
2200,4874.559549725017,2951.135130437573,2154.045520696814
2300,4728.954044769065,2918.916986224697,2091.869454789512
2400,4624.10857864132,2854.178594814303,2081.0120171721514
2500,4531.283247439106,2830.225585735484,2044.221997275063
2600,4418.021702606494,2742.0985696052735,2005.81663767816
2700,4258.226855125853,2688.256679358167,1991.1893576670627
2800,4157.6064944983455,2684.1123964251624,1940.5613925890502
2900,4128.021315367227,2594.2821878038494,1923.5561938073777
3000,3878.913254035698,2625.69670404996,1865.4385904804253
3100,3750.5212060116464,2581.2509265365934,1867.406824564251
3200,3809.734859643033,2520.6196851865643,1843.7835881456786
3300,3751.7977809855042,2442.486962260424,1788.1336673925234
3400,3622.2745157541754,2442.1758552197416,1773.4988717115975
3500,3434.6830863758996,2377.6184361639603,1753.0328587079664
3600,3355.478763021414,2390.0214026795948,1691.6133789676267
3700,3304.5327786738862,2304.267574635101,1694.3089242208043
3800,3224.0277419395143,2292.663719439415,1650.753814767882
3900,3265.269601576094,2263.851668283171,1617.0687855780063
4000,3142.4536529127026,2224.576388907755,1620.7143926780282
4100,2996.40557243358,2221.702485326333,1572.927704387104
4200,3073.5922786930523,2211.094559342379,1546.231836760396
4300,2853.898107151066,2127.309168357617,1542.9188939477015
4400,2910.9143802454214,2131.271937389176,1534.7542509646964
4500,2878.2863796091374,2067.7103570663985,1484.0024125641362
4600,2820.1775649068472,2047.9419552986776,1482.2098326726182
4700,2759.478430359802,2032.108960961836,1451.121614173318
4800,2539.9492713691748,2060.700823031899,1432.3907784463436
4900,2553.7265841714593,2001.4729706963126,1376.2827215976497
5000,2639.474644109011,1958.3703162980432,1387.5025083417327
