miliseconds,Susceptible,Exposed,Infected,Recovered,Total_population
0,315249025.9018156,14450785.810450006,438944.38391930325,-13181.952248830288,330052960.0
100,315327246.7731755,14174129.608291943,640426.5846047397,-6510.46428170344,330052960.0
200,315310231.07232314,13866176.13735839,748766.6058172258,6761.219815272098,330052960.0
300,315280179.6859825,13709532.535948938,1129826.3583821321,21303.214764248354,330052960.0
400,315237007.65552235,13408730.731445543,1334612.0822679377,3774.0418556879486,330052960.0
500,315165144.96265805,13133885.085051369,1620044.9284721168,43435.47763785905,330052960.0
600,315210650.1763081,13024701.688213542,1829957.4647030372,46110.13917241187,330052960.0
700,315199622.6113334,12767557.202510962,2176708.915960151,68573.42880225967,330052960.0
800,315070989.26470405,12582814.651444482,2274809.598653017,44045.25839093527,330052960.0
900,315066880.09968543,12392853.315378455,2448942.022194007,80754.6114737482,330052960.0
1000,315040446.6269393,12102117.303811342,2852882.3492038012,72896.11383022727,330052960.0
1100,314961806.701066,12000378.929028615,3064395.759639508,116121.54652370539,330052960.0
1200,314926622.6672731,11855948.563384037,3097195.0473458404,126359.14692853429,330052960.0
1300,314920172.32123375,11632656.891849814,3346548.308494752,127159.21409567798,330052960.0
1400,314796254.6905002,11491764.983726308,3528113.7504344997,171642.33547535638,330052960.0
1500,314740274.11735237,11282760.129056234,3841776.1900665187,173550.63547779687,330052960.0
1600,314749962.20216054,11102330.054048348,3913954.791656895,193119.81265404608,330052960.0
1700,314673258.83392376,10976204.628341155,4174991.4876504857,217914.57081087498,330052960.0
1800,314598410.9859915,10879384.353471689,4466229.243999204,243523.77990471313,330052960.0
1900,314441185.2331867,10704456.968321996,4694099.598130988,255435.85332496016,330052960.0
2000,314415995.60393417,10636905.746570231,4802073.223944182,311327.35496072663,330052960.0
2100,314409313.00151455,10437535.175299715,4965981.208845637,320541.58520303585,330052960.0
2200,314226420.36313534,10392278.333039325,5198872.789075853,365847.4759466491,330052960.0
2300,314144308.7695999,10216148.551910942,5358528.666562452,399815.2859571243,330052960.0
2400,314068656.40733516,10185661.320283756,5376244.23213467,423641.9651060353,330052960.0
2500,314078440.46757114,9939992.848836422,5562536.001817475,443935.5952480792,330052960.0
2600,313944226.8345492,9840831.028488021,5738555.0563801,463431.72774387524,330052960.0
2700,313819811.7307212,9854603.767987594,5881830.603911314,484779.38695203327,330052960.0
2800,313771284.6647783,9683522.227231145,5996911.063806826,538958.4577039024,330052960.0
2900,313649721.5649873,9605183.287684513,6157416.0981170125,560756.5341101838,330052960.0
3000,313510895.4976557,9503400.747278614,6276987.965693026,595529.1570639939,330052960.0
3100,313422272.32490754,9453643.826568818,6518853.862849315,621263.9654303388,330052960.0
3200,313297187.523917,9320862.758282961,6594821.955408115,689938.3661742259,330052960.0
3300,313242637.72264856,9321898.357481847,6870906.4343059175,686494.101417599,330052960.0
3400,313109557.9634522,9175805.703124104,6934881.728677543,762743.1002803368,330052960.0
3500,313001013.8620459,9122682.735948319,6956729.930502799,761755.7877911112,330052960.0
3600,312959331.5942685,9064771.773110284,7315388.976592145,806167.1181822295,330052960.0
3700,312793275.9121035,9013115.898339886,7277251.44958212,836885.6657566716,330052960.0
3800,312643776.59468144,9000134.382685577,7516209.158304927,881807.1110867327,330052960.0
3900,312602929.14708084,8994585.199566284,7495718.330065886,918184.4855592297,330052960.0
4000,312387772.49386305,8817854.405114278,7790288.651764195,963628.5638090657,330052960.0
4100,312336392.2766041,8867628.27818327,7815806.945970914,999790.2309382474,330052960.0
4200,312237796.0951053,8848714.447527356,7958798.744491465,1084045.7426998792,330052960.0
4300,312083675.0571587,8698670.912698334,8151793.194925421,1099134.003789284,330052960.0
4400,311941671.2463475,8706767.139562696,8299384.253142619,1160333.6505939746,330052960.0
4500,311832603.91186345,8676790.148729978,8462780.58348506,1182028.353157413,330052960.0
4600,311682145.68234104,8705220.613126706,8501792.106444668,1231395.1510578166,330052960.0
4700,311557683.72993696,8555984.442117428,8477940.63643258,1292147.738364772,330052960.0
4800,311378115.40462476,8653775.476569291,8632165.020054216,1331500.5984064513,330052960.0
4900,311228606.9337329,8636838.415163327,8834206.451722005,1391664.107781322,330052960.0
5000,311183607.49978507,8501678.80793536,8829576.283658572,1415974.0550976116,330052960.0
