milliseconds,As,Bs,Asyn,Bsyn
0,0.006,0.0,0.0,0.0
100,0.005999994046714906,1.7999988588322862e-10,4.167059621574034e-09,7.281243794261866e-17
200,0.005999988093440009,3.5999957287657646e-10,8.33411084678921e-09,2.725270124055821e-16
300,0.005999982140174784,5.399990711998098e-10,1.2501154107083566e-08,5.926230272370314e-16
400,0.005999976186919232,7.199983808529284e-10,1.6668189402457102e-08,1.0331004824369661e-15
500,0.005999970233675612,8.999974577626825e-10,2.0835214872425774e-08,1.6220761036406992e-15
600,0.005999964280442246,1.0799963346442407e-09,2.500223189800975e-08,2.3386791045915496e-15
700,0.0059999583272188,1.2599950180206916e-09,2.91692407545712e-08,3.1787480507483783e-15
800,0.005999952374005276,1.4399935078920355e-09,3.333624144211009e-08,4.142282942111198e-15
900,0.005999946420801671,1.619991804258273e-09,3.7503233960626445e-08,5.229283778680002e-15
1000,0.005999940467607987,1.7999899071194034e-09,4.167021831012028e-08,6.439750560454797e-15
1100,0.005999934514424222,1.9799878164754274e-09,4.583719449059156e-08,7.77368328743557e-15
1200,0.0059999285612503785,2.1599855323263444e-09,5.000416250204032e-08,9.231081959622337e-15
1300,0.005999922608086455,2.339983054672155e-09,5.417112234446653e-08,1.0811946577015095e-14
1400,0.005999916654932452,2.519980383512858e-09,5.83380740178702e-08,1.2516277139613832e-14
1500,0.005999910701788369,2.6999775188484547e-09,6.250501752225134e-08,1.434407364741856e-14
1600,0.005999904748654207,2.8799744606789444e-09,6.667195285760993e-08,1.629533610042927e-14
1700,0.005999898795529964,3.059971209004327e-09,7.0838880023946e-08,1.837006449864597e-14
1800,0.005999892842415642,3.239967763824604e-09,7.500579902125951e-08,2.0568258842068657e-14
1900,0.00599988688931124,3.4199641251397728e-09,7.91727098495505e-08,2.2889919130697326e-14
2000,0.0059998809362167595,3.599960292949835e-09,8.333961250881894e-08,2.5335045364531982e-14
2100,0.005999874983132199,3.7799562672547914e-09,8.750650699906484e-08,2.790363754357263e-14
2200,0.005999869030057558,3.959952048054641e-09,9.167339332028821e-08,3.0595695667819264e-14
2300,0.005999863076992837,4.139947635349383e-09,9.584027147248905e-08,3.3411219737271883e-14
2400,0.005999857123938037,4.319943029139019e-09,1.0000714145566734e-07,3.6350209751930494e-14
2500,0.005999851170894593,4.49993820140698e-09,1.0417400208786476e-07,3.9430515652904986e-14
2600,0.005999845217861854,4.6799331648648845e-09,1.0834085390535672e-07,4.264403860613366e-14
2700,0.0059998392648391175,4.859927933213689e-09,1.1250769748615716e-07,4.5982049442771824e-14
2800,0.005999833311826384,5.039922506453396e-09,1.1667453283026604e-07,4.944454816281948e-14
2900,0.005999827358823652,5.219916884583997e-09,1.2084135993768328e-07,5.303153476627658e-14
3000,0.005999821405830923,5.399911067605498e-09,1.2500817880840897e-07,5.674300925314312e-14
3100,0.005999815452848197,5.5799050555179e-09,1.2917498944244306e-07,6.057897162341915e-14
3200,0.0059998094998754735,5.759898848321202e-09,1.3334179183978564e-07,6.453942187710472e-14
3300,0.005999803546912752,5.939892446015402e-09,1.3750858600043662e-07,6.862436001419974e-14
3400,0.005999797593960033,6.119885848600502e-09,1.4167537192439596e-07,7.283378603470414e-14
3500,0.0059997916410173165,6.299879056076499e-09,1.4584214961166377e-07,7.716769993861804e-14
3600,0.005999785688084603,6.479872068443396e-09,1.5000891906223998e-07,8.162610172594148e-14
3700,0.005999779735161892,6.659864885701195e-09,1.5417568027612466e-07,8.620899139667436e-14
3800,0.005999773782249183,6.8398575078498915e-09,1.5834243325331773e-07,9.091636895081663e-14
3900,0.005999767829346477,7.019849934889487e-09,1.6250917799381925e-07,9.574823438836849e-14
4000,0.005999761876453773,7.1998421668199825e-09,1.6667591449762917e-07,1.0070458770932974e-13
4100,0.005999755923571072,7.379834203641376e-09,1.708426427647475e-07,1.0578542891370049e-13
4200,0.005999749970698374,7.559826045353671e-09,1.750093627951743e-07,1.1099075800148073e-13
4300,0.005999744017835678,7.739817691956863e-09,1.7917607458890944e-07,1.163205749726704e-13
4400,0.0059997380649829835,7.919809143450955e-09,1.8334277814595306e-07,1.2177487982726958e-13
4500,0.0059997321121402925,8.099800399835946e-09,1.8750947346630512e-07,1.2735367256527824e-13
4600,0.005999726159307604,8.279791461111837e-09,1.916761605499656e-07,1.3305695318669634e-13
4700,0.005999720206484919,8.45978232727863e-09,1.958428393969345e-07,1.3888472169152394e-13
4800,0.005999714253672235,8.639772998336318e-09,2.0000951000721182e-07,1.44836978079761e-13
4900,0.0059997083008695535,8.819763474284908e-09,2.041761723807976e-07,1.5091372235140753e-13
5000,0.0059997023480768755,8.999753755124395e-09,2.0834282651769172e-07,1.5711495450646347e-13
