miliseconds,m,h,c
0,3.650113622307851e-08,1.10005731395344e-05,0.02300344822951702
100,3.649255726974878e-08,1.100216510138293e-05,0.022990302532160476
200,3.649062962449131e-08,1.1002948178044264e-05,0.022982725483927827
300,3.6483403552953937e-08,1.100354506488357e-05,0.022974136552243857
400,3.648153484101495e-08,1.1005144192940334e-05,0.02296495575303721
500,3.647202650539858e-08,1.1008058689189957e-05,0.022958878131130487
600,3.6472994196478705e-08,1.1009698577895657e-05,0.022948294332236694
700,3.6468225892855175e-08,1.1009922640115232e-05,0.02294857022418092
800,3.6463663105069874e-08,1.1011921828499866e-05,0.022940203519651932
900,3.645366233750471e-08,1.1013839336905592e-05,0.022926347246283754
1000,3.645420734837298e-08,1.1015328017383928e-05,0.022922233165779418
1100,3.644715813499627e-08,1.101620149780632e-05,0.02291710585644852
1200,3.643982602907178e-08,1.1019142676800137e-05,0.02291266817951399
1300,3.6434645777794473e-08,1.1019199913862154e-05,0.02289750208633916
1400,3.643153091081153e-08,1.1021886955416676e-05,0.022894807905533898
1500,3.6425460924400385e-08,1.1022220848644667e-05,0.022885990075908663
1600,3.6418007936677244e-08,1.102433187018304e-05,0.02287365598752969
1700,3.6415231752088915e-08,1.1024913877648271e-05,0.02286742918243356
1800,3.640983267753464e-08,1.1028096714048223e-05,0.02285550396108655
1900,3.640728034144401e-08,1.1029284007111478e-05,0.02284873790519084
2000,3.6404326090166106e-08,1.1030615185465868e-05,0.022843284478335373
2100,3.639305468669322e-08,1.1031790361421573e-05,0.02283737927191332
2200,3.639183354954019e-08,1.1034466879710668e-05,0.02283504506031628
2300,3.6388189359171906e-08,1.1033936537187072e-05,0.02282266899516708
2400,3.638498222535824e-08,1.1036289105058551e-05,0.02281320072687424
2500,3.637395469798049e-08,1.103793909107752e-05,0.02280627067791642
2600,3.637359256178792e-08,1.1038801098588971e-05,0.02280070318482522
2700,3.6370199619519006e-08,1.104180556994009e-05,0.02279154420952104
2800,3.63618450927671e-08,1.1042173877157586e-05,0.02278639419014971
2900,3.635876096136956e-08,1.1043507391328318e-05,0.02278143982071855
3000,3.634898016669421e-08,1.1044915807573849e-05,0.022770157077025732
3100,3.634989022142974e-08,1.104604781063686e-05,0.022760779463708004
3200,3.634483837949485e-08,1.1047918597695432e-05,0.022748350545376585
3300,3.6340226009279424e-08,1.1050336507594006e-05,0.022749770395761492
3400,3.633089671276348e-08,1.1051881409665907e-05,0.02273227531106931
3500,3.6330337664646855e-08,1.1052177472166764e-05,0.022728684280435996
3600,3.6322872542848744e-08,1.1055268723749689e-05,0.022725551194137217
3700,3.631477083410506e-08,1.1056624517725488e-05,0.022711154225889565
3800,3.630963567384311e-08,1.1057604264206127e-05,0.022710936661625394
3900,3.630542711853858e-08,1.1059001244505679e-05,0.022699575154853154
4000,3.630369181390337e-08,1.1060764679927654e-05,0.02268589093465299
4100,3.629654184500748e-08,1.1061186091304761e-05,0.022681203701186092
4200,3.62937743265489e-08,1.1062433198773304e-05,0.022676120620659306
4300,3.628818375217672e-08,1.1064516595813315e-05,0.022669314608417965
4400,3.6282736919551815e-08,1.1066315382894754e-05,0.022665634795353662
4500,3.627549742109157e-08,1.1067914163620165e-05,0.02265502394381898
4600,3.627106402398494e-08,1.1068687760167075e-05,0.022646317228178097
4700,3.626977287423888e-08,1.1071683237067227e-05,0.02264011178122148
4800,3.6263930975863956e-08,1.1071965118438707e-05,0.02262835272010844
4900,3.62581126608511e-08,1.107459848889523e-05,0.02262313646951918
5000,3.625415060031218e-08,1.1074852532320537e-05,0.022617407856759683
